,conv_date,conv_userID,conv_dayofweek,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level
0,2013-03-27,42,3,60,60.0,60.0,60.0,,60.0,60.0,60.0,1.0,
1,2013-03-31,42,0,3481,978.0,50.0,267.7692307692308,272.9518131606609,81.0,182.0,293.0,13.0,
2,2013-04-01,42,1,17160,1896.0,50.0,418.5365853658537,440.04028778970775,141.0,242.0,565.0,41.0,
3,2013-04-02,42,2,34415,5627.0,60.0,1110.1612903225807,1310.630054510023,176.0,645.0,1346.0,31.0,2.0
4,2013-04-03,42,3,29129,4860.0,41.0,662.0227272727273,893.4577328568439,111.0,262.0,935.5,44.0,2.0
5,2013-04-04,42,4,18855,5244.0,51.0,1047.5,1473.0904788313342,113.5,463.5,1240.0,18.0,1.0
6,2013-04-05,42,5,36861,5799.0,40.0,921.525,1402.0881860319116,108.25,298.0,736.0,40.0,2.0
7,2013-04-06,42,6,26333,4075.0,60.0,711.7027027027027,852.9041194278152,212.0,473.0,786.0,37.0,2.0
8,2013-04-07,42,0,1926,1341.0,222.0,642.0,609.4431884925781,292.5,363.0,852.0,3.0,
9,2013-04-08,42,1,13393,1938.0,40.0,382.6571428571429,462.2337034862943,106.0,181.0,337.5,35.0,1.0
10,2013-04-09,42,2,26322,4054.0,70.0,674.9230769230769,800.5102775439184,217.0,434.0,826.5,39.0,2.0
11,2013-04-10,42,3,24040,5203.0,51.0,616.4102564102565,917.08074367438,111.0,263.0,856.5,39.0,
12,2013-04-11,42,4,32069,4347.0,30.0,1034.483870967742,1005.7601394291364,302.5,776.0,1280.0,31.0,
13,2013-04-12,42,5,20556,2823.0,51.0,708.8275862068965,744.8513307540696,232.0,484.0,878.0,29.0,
14,2013-04-13,42,6,21261,2622.0,60.0,685.8387096774194,760.6169906408961,166.0,343.0,932.0,31.0,2.0
15,2013-04-14,42,0,4385,1522.0,60.0,438.5,547.0212772623911,90.25,151.0,786.25,10.0,1.0
16,2013-04-15,42,1,4457,1181.0,61.0,278.5625,275.8475348811368,151.0,201.0,257.0,16.0,
17,2013-04-16,42,2,9653,2885.0,60.0,965.3,1132.319943989134,164.25,277.0,1766.75,10.0,
18,2013-04-17,42,3,19023,3601.0,81.0,760.92,891.7105715047529,211.0,393.0,959.0,25.0,
19,2013-04-18,42,4,10524,1872.0,70.0,751.7142857142857,515.8263614481477,391.5,690.5,1050.5,14.0,
20,2013-04-19,42,5,19616,7797.0,90.0,1032.421052631579,1860.9978898963936,182.0,303.0,928.0,19.0,
21,2013-04-21,42,0,6671,1159.0,40.0,333.55,311.4959617884738,80.0,267.5,481.5,20.0,
22,2013-04-22,42,1,10743,3399.0,40.0,370.44827586206895,643.5008927847563,111.0,151.0,363.0,29.0,
23,2013-04-23,42,2,5617,1705.0,201.0,624.1111111111111,517.1814102528349,252.0,564.0,605.0,9.0,1.0
24,2013-04-26,42,5,16293,3550.0,61.0,708.3913043478261,884.275704596214,181.0,464.0,605.0,23.0,2.0
25,2013-04-27,42,6,9543,2673.0,71.0,867.5454545454545,896.3214115077653,312.5,495.0,982.5,11.0,
26,2013-04-28,42,0,26135,2228.0,50.0,442.96610169491527,452.7770238360728,151.0,293.0,509.5,59.0,
27,2013-04-29,42,1,28240,2955.0,70.0,656.7441860465116,666.9634491671318,156.0,363.0,943.0,43.0,1.0
28,2013-04-30,42,2,25566,2754.0,20.0,623.560975609756,714.6556880337724,172.0,293.0,846.0,41.0,
29,2013-05-01,42,3,18556,1997.0,60.0,742.24,682.2908886000653,131.0,484.0,1483.0,25.0,
30,2013-05-03,42,5,2693,748.0,182.0,538.6,220.05408426111975,514.0,564.0,685.0,5.0,
31,2013-05-04,42,6,7906,947.0,70.0,439.22222222222223,301.1621715866242,176.0,409.0,673.25,18.0,
32,2013-05-05,42,0,18427,1503.0,70.0,267.05797101449275,267.79913917501955,131.0,182.0,292.0,69.0,
33,2013-05-06,42,1,6765,2652.0,50.0,451.0,650.8885136049469,101.0,202.0,539.0,15.0,
34,2013-05-07,42,2,16759,2964.0,222.0,1289.1538461538462,970.6732067791788,574.0,867.0,2249.0,13.0,
35,2013-05-08,42,3,11937,1552.0,40.0,497.375,393.9468969400516,149.25,418.5,682.75,24.0,1.0
36,2013-05-11,42,6,3124,1371.0,61.0,347.1111111111111,427.4088921759948,71.0,141.0,343.0,9.0,
37,2013-05-12,42,0,12849,1976.0,60.0,377.9117647058824,460.89388561445617,121.0,202.0,383.0,34.0,
38,2013-05-13,42,1,9842,2309.0,30.0,578.9411764705883,680.285001909883,80.0,333.0,911.0,17.0,1.0
39,2013-05-14,42,2,29260,4925.0,50.0,812.7777777777778,1033.5801057105516,146.75,477.5,1086.0,36.0,2.0
40,2013-05-15,42,3,23630,3299.0,50.0,472.6,558.9941768890964,111.0,378.0,603.25,50.0,2.0
41,2013-05-18,42,6,2179,1977.0,202.0,1089.5,1255.114536606122,645.75,1089.5,1533.25,2.0,
42,2013-05-19,42,0,14837,2682.0,41.0,285.3269230769231,386.2116518765959,100.0,186.5,365.5,52.0,2.0
43,2013-05-20,42,1,878,636.0,242.0,439.0,278.6000717874997,340.5,439.0,537.5,2.0,
44,2013-05-21,42,2,5578,1472.0,51.0,557.8,518.1009768589731,189.0,448.5,655.75,10.0,2.0
45,2013-05-22,42,3,2281,1695.0,101.0,456.2,693.0481224272958,151.0,162.0,172.0,5.0,2.0
