,conv_date,conv_userID,conv_dayofweek,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level
0,2013-03-27,0,3,22971,5829.0,61.0,1093.857142857143,1464.581622365728,232.0,464.0,1464.0,21.0,1.0
1,2013-03-28,0,4,20902,4165.0,41.0,995.3333333333334,1275.8226888299694,172.0,312.0,1330.0,21.0,1.0
2,2013-03-29,0,5,28747,5052.0,40.0,898.34375,1443.6225404566514,107.75,327.0,695.75,32.0,1.0
3,2013-03-30,0,6,31682,5800.0,90.0,990.0625,1205.2122269943889,277.75,540.0,1169.75,32.0,2.0
4,2013-03-31,0,0,35861,9127.0,50.0,1630.0454545454545,2154.3982361068392,381.0,881.5,1727.5,22.0,2.0
5,2013-04-01,0,1,29885,5407.0,30.0,1067.321428571429,1595.8177992530032,128.5,307.5,1357.75,28.0,
6,2013-04-02,0,2,27139,5706.0,50.0,714.1842105263158,1054.3845356098238,131.0,363.0,848.0,38.0,1.0
7,2013-04-03,0,3,31605,5245.0,51.0,957.7272727272727,1286.883062692743,191.0,383.0,999.0,33.0,1.0
8,2013-04-04,0,4,13367,3180.0,51.0,556.9583333333334,777.7117762282234,101.0,221.5,549.0,24.0,1.0
9,2013-04-05,0,5,34972,5579.0,71.0,1249.0,1469.326376269071,343.0,569.5,1434.0,28.0,1.0
10,2013-04-06,0,6,22603,5821.0,61.0,645.8,1065.4863236486674,141.0,282.0,529.0,35.0,1.0
11,2013-04-07,0,0,23055,3438.0,50.0,743.7096774193549,885.264864077352,146.0,504.0,943.0,31.0,2.0
12,2013-04-08,0,1,28539,5044.0,41.0,771.3243243243244,1255.4788164515396,121.0,252.0,807.0,37.0,0.0
13,2013-04-09,0,2,21795,5306.0,41.0,838.2692307692307,1489.920227601258,83.5,202.0,569.5,26.0,1.0
14,2013-04-10,0,3,22402,4801.0,40.0,658.8823529411765,1217.6644998621744,135.75,223.0,504.0,34.0,1.0
15,2013-04-11,0,4,27686,4542.0,51.0,838.969696969697,1207.5509949078885,121.0,293.0,817.0,33.0,
16,2013-04-12,0,5,31550,5188.0,60.0,901.4285714285714,1301.398055615446,161.0,343.0,781.5,35.0,1.0
17,2013-04-13,0,6,23283,4339.0,30.0,485.0625,705.2450730291669,118.5,226.5,572.5,48.0,
18,2013-04-14,0,0,15696,3368.0,30.0,373.7142857142857,633.7340861797342,83.5,156.0,325.25,42.0,0.0
19,2013-04-15,0,1,30994,4852.0,50.0,885.5428571428571,1288.062369307826,125.5,282.0,1079.0,35.0,0.0
