,conv_date,conv_userID,conv_dayofweek,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level
0,2013-03-27,1,3,12201,3045.0,60.0,1016.75,1047.6814336255256,229.25,665.5,1368.5,12.0,2.0
1,2013-03-28,1,4,23672,3247.0,41.0,622.9473684210526,739.7838233316257,133.5,353.0,846.5,38.0,2.0
2,2013-03-29,1,5,37867,4460.0,81.0,841.4888888888889,1112.0881795936505,211.0,464.0,776.0,45.0,1.0
3,2013-03-30,1,6,25678,7412.0,71.0,1069.9166666666667,1552.2441234678845,119.25,559.5,1606.5,24.0,0.0
4,2013-03-31,1,0,23377,3621.0,60.0,649.3611111111111,879.9937387042763,118.5,322.5,746.0,36.0,1.0
5,2013-04-01,1,1,33712,4134.0,80.0,732.8695652173913,839.4966907140296,153.75,499.0,903.0,46.0,1.0
6,2013-04-02,1,2,12109,1573.0,50.0,345.9714285714286,337.2871429608942,111.0,242.0,479.0,35.0,
7,2013-04-03,1,3,38904,10174.0,71.0,1496.3076923076924,2172.0322607038925,158.5,771.0,1714.0,26.0,1.0
8,2013-04-04,1,4,42080,3391.0,61.0,1001.904761904762,1009.1053707344264,211.25,570.0,1399.5,42.0,2.0
9,2013-04-05,1,5,34691,5841.0,40.0,846.1219512195122,1239.392798815653,101.0,343.0,1018.0,41.0,2.0
10,2013-04-06,1,6,35015,5296.0,81.0,1061.060606060606,1204.8050137728185,303.0,686.0,1413.0,33.0,2.0
11,2013-04-07,1,0,28714,5980.0,50.0,897.3125,1444.0069796431264,141.0,282.5,953.5,32.0,1.0
12,2013-04-08,1,1,41290,3569.0,70.0,794.0384615384615,838.588121611194,222.0,418.0,1084.0,52.0,
13,2013-04-09,1,2,28540,6879.0,60.0,920.6451612903226,1284.028129193103,221.5,554.0,1028.5,31.0,1.0
14,2013-04-10,1,3,40579,4529.0,60.0,989.7317073170732,969.4483231299708,353.0,646.0,1513.0,41.0,1.0
15,2013-04-11,1,4,31335,6000.0,50.0,921.6176470588236,1261.0730162866928,182.25,413.5,960.25,34.0,1.0
16,2013-04-12,1,5,46086,6990.0,30.0,1152.15,1503.4387003270288,158.75,479.5,1487.5,40.0,1.0
17,2013-04-13,1,6,33926,3106.0,40.0,1028.060606060606,966.3409381331836,211.0,606.0,1829.0,33.0,2.0
18,2013-04-14,1,0,23294,3076.0,50.0,803.2413793103449,937.0567011039108,181.0,373.0,970.0,29.0,1.0
19,2013-04-15,1,1,31178,3278.0,63.0,708.5909090909091,658.0350707477817,216.75,509.5,902.25,44.0,
20,2013-04-16,1,2,25010,3066.0,61.0,532.1276595744681,624.0780893523025,151.0,302.0,696.0,47.0,1.0
21,2013-04-17,1,3,39884,3066.0,70.0,699.719298245614,620.3194094976384,242.0,464.0,1059.0,57.0,1.0
22,2013-04-18,1,4,33878,4720.0,80.0,891.5263157894736,1198.7900372220386,126.25,358.0,1240.75,38.0,
23,2013-04-19,1,5,43196,6496.0,51.0,1079.9,1526.242794140784,158.5,333.0,1346.25,40.0,2.0
24,2013-04-20,1,6,16804,2471.0,50.0,400.0952380952381,458.4991852812832,90.25,232.0,545.0,42.0,2.0
25,2013-04-21,1,0,28036,4333.0,60.0,467.26666666666665,675.7909331374124,101.0,221.5,476.5,60.0,
26,2013-04-22,1,1,31670,6121.0,40.0,609.0384615384615,955.471076947838,208.5,363.5,622.5,52.0,
27,2013-04-23,1,2,20900,2712.0,50.0,870.8333333333334,833.3119707406765,264.25,630.5,1255.0,24.0,
28,2013-04-24,1,3,20059,2633.0,60.0,668.6333333333333,626.3766347061065,177.0,524.5,965.25,30.0,
