date,home_time,recreational_activities,school_time,working,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,3598.0,4798.0,4805.0,1200.0,0.0,0.0,0,1.0,7800.0,10
01:05:2013 ,23950.0,0.0,13227.0,44390.0,1200.0,0.0,2,1.0,14400.0,10
02:04:2013 ,11998.0,0.0,0.0,73892.0,0.0,0.0,1,1.0,10500.0,10
02:05:2013 ,28877.0,0.0,2361.0,53995.0,0.0,0.0,3,1.0,6900.0,10
03:04:2013 ,26397.0,1202.0,6000.0,54000.0,0.0,0.0,2,1.0,14400.0,10
03:05:2013 ,15599.0,3600.0,0.0,61213.0,3600.0,3588.0,4,1.0,6000.0,10
04:04:2013 ,20401.0,0.0,15599.0,49016.0,0.0,0.0,3,0.0,6900.0,10
04:05:2013 ,57600.0,0.0,2400.0,45600.0,0.0,1200.0,5,0.0,0.0,10
05:04:2013 ,11999.0,0.0,14400.0,60707.0,0.0,0.0,4,0.0,6000.0,10
05:05:2013 ,24000.0,0.0,0.0,57600.0,1200.0,0.0,-1,0.0,0.0,10
06:04:2013 ,79166.0,1200.0,6000.0,1200.0,0.0,0.0,5,0.0,0.0,10
06:05:2013 ,15600.0,0.0,0.0,49200.0,4800.0,0.0,0,1.0,7800.0,10
07:04:2013 ,3598.0,4798.0,1201.0,88803.0,0.0,0.0,-1,0.0,0.0,10
07:05:2013 ,12600.0,10200.0,0.0,63000.0,0.0,0.0,1,1.0,10500.0,10
08:04:2013 ,9600.0,0.0,4800.0,58800.0,0.0,0.0,0,1.0,7800.0,10
08:05:2013 ,30600.0,7800.0,0.0,48000.0,1200.0,0.0,2,1.0,14400.0,10
09:04:2013 ,25200.0,0.0,0.0,60000.0,0.0,0.0,1,1.0,10500.0,10
09:05:2013 ,18498.0,21585.0,2400.0,46203.0,6600.0,0.0,3,1.0,6900.0,10
10:04:2013 ,9598.0,0.0,9600.0,66002.0,1200.0,0.0,2,1.0,14400.0,10
10:05:2013 ,17098.0,4701.0,0.0,55715.0,0.0,0.0,4,1.0,6000.0,10
11:04:2013 ,26400.0,0.0,1200.0,55201.0,0.0,3599.0,3,1.0,6900.0,10
11:05:2013 ,22199.0,0.0,4199.0,63601.0,601.0,0.0,5,0.0,0.0,10
12:04:2013 ,18001.0,7200.0,0.0,61200.0,1200.0,0.0,4,1.0,6000.0,10
12:05:2013 ,17399.0,3000.0,7799.0,51602.0,600.0,600.0,-1,0.0,0.0,10
13:04:2013 ,11996.0,0.0,0.0,79206.0,0.0,0.0,5,0.0,0.0,10
13:05:2013 ,14398.0,0.0,6000.0,67134.0,0.0,600.0,0,1.0,7800.0,10
14:04:2013 ,8379.0,0.0,0.0,79221.0,0.0,0.0,-1,0.0,0.0,10
14:05:2013 ,12601.0,16800.0,0.0,52202.0,2997.0,0.0,1,1.0,10500.0,10
15:04:2013 ,12000.0,0.0,1196.0,68133.0,0.0,0.0,0,1.0,7800.0,10
15:05:2013 ,19803.0,8397.0,600.0,58800.0,0.0,0.0,2,1.0,14400.0,10
16:04:2013 ,28413.0,0.0,6000.0,55205.0,0.0,0.0,1,1.0,10500.0,10
16:05:2013 ,11401.0,10799.0,0.0,60001.0,3600.0,0.0,3,1.0,6900.0,10
17:04:2013 ,21600.0,0.0,1200.0,60000.0,0.0,0.0,2,1.0,14400.0,10
17:05:2013 ,7798.0,11400.0,0.0,67802.0,0.0,0.0,4,1.0,6000.0,10
18:04:2013 ,10798.0,2399.0,8400.0,63603.0,0.0,0.0,3,0.0,6900.0,10
18:05:2013 ,23402.0,598.0,0.0,58801.0,1200.0,4199.0,5,0.0,0.0,10
19:04:2013 ,14400.0,1200.0,1200.0,70800.0,0.0,0.0,4,1.0,6000.0,10
19:05:2013 ,20999.0,4200.0,0.0,57657.0,1006.0,0.0,-1,0.0,0.0,10
20:04:2013 ,75602.0,0.0,2398.0,15600.0,0.0,0.0,5,0.0,0.0,10
20:05:2013 ,5999.0,13200.0,6600.0,66001.0,0.0,0.0,0,1.0,7800.0,10
21:04:2013 ,34800.0,0.0,57600.0,0.0,0.0,0.0,-1,0.0,0.0,10
21:05:2013 ,67471.0,12599.0,1200.0,600.0,0.0,0.0,1,1.0,10500.0,10
22:04:2013 ,16445.0,8400.0,1203.0,50400.0,0.0,0.0,0,1.0,7800.0,10
22:05:2013 ,13200.0,1800.0,0.0,71400.0,0.0,0.0,2,1.0,14400.0,10
23:04:2013 ,22796.0,1200.0,0.0,67159.0,0.0,0.0,1,1.0,10500.0,10
23:05:2013 ,5398.0,9602.0,0.0,71400.0,0.0,0.0,3,1.0,6900.0,10
24:04:2013 ,7140.0,25378.0,0.0,46726.0,0.0,0.0,2,1.0,14400.0,10
24:05:2013 ,0.0,1800.0,0.0,4200.0,369876.0,0.0,4,1.0,6000.0,10
25:04:2013 ,8390.0,1200.0,7275.0,67102.0,1200.0,0.0,3,0.0,6900.0,10
26:04:2013 ,69485.0,3580.0,0.0,14360.0,0.0,0.0,4,1.0,6000.0,10
27:03:2013 ,7197.0,0.0,4776.0,36027.0,0.0,0.0,2,1.0,14400.0,10
27:04:2013 ,25147.0,1166.0,7156.0,56453.0,0.0,0.0,5,0.0,0.0,10
28:03:2013 ,7200.0,4799.0,7200.0,66001.0,0.0,0.0,3,0.0,6900.0,10
28:04:2013 ,5929.0,0.0,21660.0,53340.0,1213.0,7935.0,-1,0.0,0.0,10
28:05:2013 ,14896.0,3600.0,0.0,35400.0,600.0,0.0,1,1.0,10500.0,10
29:03:2013 ,10799.0,14399.0,0.0,62402.0,0.0,0.0,4,1.0,6000.0,10
29:04:2013 ,21708.0,2337.0,14417.0,38416.0,1122.0,0.0,0,0.0,7800.0,10
29:05:2013 ,64797.0,12000.0,0.0,18603.0,0.0,0.0,2,1.0,14400.0,10
30:03:2013 ,4797.0,0.0,4802.0,231191.0,0.0,3598.0,5,0.0,0.0,10
30:04:2013 ,51396.0,5982.0,0.0,29002.0,3620.0,0.0,1,1.0,10500.0,10
30:05:2013 ,0.0,12600.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,10
