date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,33601.0,39600.0,4800.0,8399.0,0.0,0.0,0,0.0,0.0,31,"0,0,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Baker Memorial Library,Baker Memorial Library,Berry Library,Baker Memorial Library,Haldeman Center"
01:05:2013,38400.0,0.0,44400.0,4800.0,0.0,0.0,2,0.0,0.0,31,"Collis Student Center,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Berry Library,Haldeman Center"
02:04:2013,59126.0,0.0,24874.0,2401.0,0.0,0.0,1,0.0,0.0,31,"Haldeman Center,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Collis Student Center"
02:05:2013,66000.0,0.0,14359.0,3600.0,1241.0,0.0,3,0.0,0.0,31,"Haldeman Center,Collis Student Center,Collis Student Center,Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,40800.0,0.0,22800.0,15599.0,0.0,7200.0,2,0.0,0.0,31,"Collis Student Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Phi,Alpha Phi,Alpha Phi,0,Alpha Phi,Alpha Phi,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0"
03:05:2013,53999.0,0.0,27601.0,2400.0,1200.0,1200.0,4,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Phi Delta Alpha,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library,Haldeman Center"
04:04:2013,36610.0,0.0,20990.0,12000.0,2400.0,14400.0,3,0.0,0.0,31,"Haldeman Center,Haldeman Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Alpha Phi,Alpha Phi,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Berry Library,Baker Memorial Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,76918.0,0.0,6000.0,6036.0,0.0,0.0,5,0.0,0.0,31,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,49200.0,0.0,26400.0,12257.0,0.0,0.0,4,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Berry Library,Baker Memorial Library,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Baker Memorial Library,Baker Memorial Library,Haldeman Center"
05:05:2013,73200.0,0.0,14400.0,0.0,1200.0,0.0,-1,0.0,0.0,31,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Berry Library,Dartmouth College"
