date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,50411.0,1200.0,4800.0,9595.0,0.0,0.0,0,0.0,7800.0,33,"Nugget Arcade,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Parkhurst Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Parkhurst Hall,Dartmouth College,Middle Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,0"
01:05:2013,60001.0,1199.0,8400.0,18000.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Simon Pearce,0"
02:04:2013,76800.0,0.0,1200.0,6000.0,0.0,0.0,1,0.0,3900.0,33,"0,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall"
02:05:2013,43201.0,0.0,3598.0,38401.0,0.0,0.0,3,0.0,3900.0,33,"Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sanborn House,Wentworth Hall,Wentworth Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Robinson Hall,Life Sciences Greenhouse,0"
03:04:2013,62400.0,0.0,3600.0,21600.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,0,Carson Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center,0"
03:05:2013,58801.0,0.0,3600.0,25199.0,0.0,0.0,4,0.0,6000.0,33,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Parkhurst Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0"
04:04:2013,58802.0,0.0,0.0,26398.0,0.0,0.0,3,0.0,3900.0,33,"Dartmouth College,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Collis Student Center,Collis Student Center,Haldeman Center,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Parkhurst Hall,Dartmouth College,Parkhurst Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,169533.0,0.0,1200.0,3600.0,31200.0,0.0,5,0.0,0.0,33,"0,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Observatory Parking Lot,Wentworth Hall,Middle Massachusetts Hall"
05:04:2013,61195.0,0.0,6001.0,14405.0,1200.0,4799.0,4,0.0,6000.0,33,"Robinson Hall,Collis Student Center,Dartmouth College,Middle Massachusetts Hall,Mass Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Dartmouth College,0,0,Sphinx Secret Society,Sphinx Secret Society,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Middle Massachusetts Hall,Haldeman Center,Dartmouth College"
06:04:2013,80401.0,0.0,0.0,9600.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Byrne Dining Hall,Byrne Dining Hall,Dartmouth College"
06:05:2013,46200.0,0.0,6000.0,2400.0,0.0,0.0,0,1.0,7800.0,33,"Middle Massachusetts Hall,Collis Student Center,Collis Student Center,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,0,0"
07:04:2013,74400.0,0.0,7199.0,0.0,0.0,0.0,-1,0.0,0.0,33,"Alumni Gymnasium,Red Rolfe Field at Biondi Park,Red Rolfe Field at Biondi Park,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall"
07:05:2013,54603.0,0.0,2404.0,33165.0,0.0,598.0,1,0.0,3900.0,33,"0,Middle Massachusetts Hall,Dartmouth College,Kappa Kappa Gamma,0,Alumni Gymnasium,Wilson Hall,McNutt Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Collis Student Center,Middle Massachusetts Hall,Middle Massachusetts Hall,Sudikoff Hall"
08:04:2013,46800.0,0.0,0.0,40800.0,0.0,0.0,0,0.0,7800.0,33,"Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Middle Massachusetts Hall,Dartmouth College,Parkhurst Hall,Middle Massachusetts Hall,Parkhurst Hall,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
