date,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,39599.0,7201.0,1200.0,39600.0,0.0,0,1.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot"
01:05:2013,116111.0,0.0,0.0,0.0,1200.0,2,1.0,17100.0,26,"Four Seasons | Sotheby's,The Lodge"
02:04:2013,39597.0,12003.0,1200.0,1200.0,0.0,1,1.0,13200.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Sudikoff Hall"
02:05:2013,0.0,0.0,0.0,0.0,950627.0,3,1.0,9900.0,26,Four Seasons | Sotheby's
03:04:2013,50642.0,14399.0,4800.0,16801.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts,Moore Psychology Building"
04:04:2013,22801.0,52427.0,9600.0,1200.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,The Lodge,Alumni Gymnasium,Alumni Gymnasium,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Brace Commons,Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,10800.0,16797.0,7203.0,51810.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Baker Memorial Library,Baker Memorial Library,Moore Psychology Building"
06:04:2013,65996.0,13201.0,2402.0,8401.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Lodge Parking Lot,Dartmouth College,Berry Library,Berry Library,Dartmouth College"
07:04:2013,105607.0,0.0,0.0,1200.0,0.0,-1,0.0,0.0,26,"Dartmouth College,Lodge Parking Lot,Dartmouth College"
08:04:2013,46540.0,2405.0,4801.0,9590.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Baker Memorial Library,Carpenter Hall,Dartmouth College,Dartmouth College,Moore Psychology Building"
09:04:2013,42001.0,36892.0,2401.0,12000.0,0.0,1,1.0,13200.0,26,"Moore Psychology Building,Baker Memorial Library,Baker Memorial Library,Berry Library,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium"
10:04:2013,14400.0,8400.0,10800.0,1200.0,43591.0,2,1.0,17100.0,26,"Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Four Seasons | Sotheby's,Lodge Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Library,Baker Memorial Library,Baker Memorial Library,Moore Psychology Building"
11:04:2013,58987.0,15598.0,1200.0,10802.0,0.0,3,1.0,9900.0,26,"Moore Psychology Building,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,West Stands,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse"
12:04:2013,69430.0,12002.0,4799.0,0.0,0.0,4,0.0,3000.0,26,"The Lodge,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Moore Psychology Building"
