date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,78002.0,3598.0,4799.0,4801.0,1200.0,0.0,0,1.0,6900.0,17,"Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Alumni Gym,0,Dartmouth College,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
01:05:2013,66707.0,0.0,0.0,1200.0,0.0,0.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College"
02:04:2013,81600.0,0.0,0.0,1200.0,0.0,0.0,1,1.0,9600.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
02:05:2013,92768.0,0.0,1199.0,2400.0,0.0,0.0,3,1.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College"
03:04:2013,72000.0,6000.0,0.0,6000.0,0.0,0.0,2,1.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,66001.0,1201.0,3598.0,1200.0,0.0,0.0,4,1.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College"
04:04:2013,82800.0,0.0,0.0,3600.0,0.0,0.0,3,1.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,154140.0,3600.0,0.0,2401.0,4798.0,0.0,5,0.0,0.0,17,"Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,88253.0,0.0,0.0,6000.0,5999.0,0.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
05:05:2013,19200.0,0.0,0.0,0.0,600.0,0.0,-1,0.0,0.0,17,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
