date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,14516.0,2400.0,3484.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,1,"0,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College"
01:05:2013,76801.0,1200.0,1199.0,0.0,1201.0,0.0,0.0,2,0.0,0.0,1,"King Arthur Baking Company,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Baker Memorial Library,Dartmouth College"
01:06:2013,24596.0,0.0,0.0,0.0,607.0,3000.0,0.0,5,0.0,0.0,1,"0,0,Farm-Way Inc.,0,0,0,Kendal at Hanover"
02:04:2013,48005.0,39598.0,1197.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,"Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,0"
02:05:2013,3600.0,0.0,104386.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,"Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
03:04:2013,19209.0,0.0,1200.0,7200.0,3600.0,51591.0,0.0,2,0.0,0.0,1,"King Arthur Baking Company,Commercial Drive,White River Junction Historic District,0,Dartmouth College,Dartmouth College,0,Class of 1978 Life Sciences Center,Dartmouth College,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Dartmouth College"
03:05:2013,0.0,2400.0,0.0,102000.0,0.0,0.0,0.0,4,0.0,0.0,1,"Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras International Station,St Pancras International Station,St Pancras International Station"
04:04:2013,24000.0,58800.0,2400.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,1,"Dartmouth College,Dartmouth College,Byrne II Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hopkins Center for the Arts,0,Baker Memorial Library,Dartmouth College,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center"
04:05:2013,0.0,0.0,0.0,1200.0,0.0,50706.0,0.0,5,0.0,0.0,1,"Midland Road,8"
05:04:2013,68402.0,2399.0,6000.0,8400.0,0.0,1199.0,0.0,4,0.0,0.0,1,"Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,0,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth Co-Op,South Block Parking Garage"
05:05:2013,10796.0,79200.0,0.0,2400.0,0.0,0.0,0.0,-1,0.0,0.0,1,"0,0,Place du Lieutenant Henri Karcher,Issé Izakaya,Musée d'Orsay,0"
06:04:2013,69600.0,1200.0,0.0,1200.0,0.0,19200.0,0.0,5,0.0,0.0,1,"South Block Parking Garage,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0"
06:05:2013,62400.0,0.0,0.0,0.0,9561.0,170601.0,0.0,0,0.0,0.0,1,"Boulevard du Montparnasse,0,Aéroport de Paris-Charles-de-Gaulle"
07:04:2013,9750.0,88010.0,0.0,4650.0,0.0,0.0,0.0,-1,0.0,0.0,1,"0,0,0,0,Berry Sports Center"
08:04:2013,56400.0,1200.0,4800.0,3600.0,0.0,0.0,0.0,0,0.0,0.0,1,"0,0,0,0,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,South Block Parking Garage"
08:05:2013,0.0,0.0,0.0,0.0,0.0,78770.0,0.0,2,0.0,0.0,1,Heathrow Terminal 5
09:04:2013,79200.0,1200.0,4800.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,1,"South Block Parking Garage,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Baker Memorial Library,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College"
09:05:2013,12002.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,"0,Dartmouth College,Dartmouth College"
10:04:2013,74401.0,1200.0,5999.0,73201.0,0.0,1200.0,0.0,2,0.0,0.0,1,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,0,South Block Parking Garage,South Block Parking Garage"
10:05:2013,73196.0,1196.0,6006.0,4800.0,0.0,1201.0,0.0,4,0.0,0.0,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
11:04:2013,10800.0,1198.0,2400.0,2401.0,0.0,0.0,0.0,3,0.0,0.0,1,"South Block Parking Garage,South Block Parking Garage,Six South Street,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,76799.0,0.0,0.0,0.0,25200.0,0.0,0.0,5,0.0,0.0,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,0,King Arthur Baking Company"
