date,school_time,travel_time,home_time,date_in_week,cut_class,class_schedule,volunteer,location_names
03:04:2013,67200.0,6000.0,0.0,2,0.0,11700.0,40,"Sudikoff Hall,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
04:04:2013,88800.0,0.0,1200.0,3,0.0,7800.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:04:2013,97200.0,0.0,1200.0,4,0.0,9000.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall"
06:04:2013,70800.0,0.0,2400.0,5,0.0,0.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall"
07:04:2013,274523.0,0.0,0.0,-1,0.0,0.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:04:2013,8407.0,80398.0,8401.0,2,0.0,11700.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street"
11:04:2013,200061.0,0.0,0.0,3,0.0,7800.0,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
13:04:2013,0.0,57600.0,1200.0,5,0.0,0.0,40,"North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street"
14:04:2013,0.0,69600.0,6000.0,-1,0.0,0.0,40,"North Main Street,0,North Main Street,North Main Street,North Main Street"
15:04:2013,0.0,88800.0,0.0,0,1.0,11700.0,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
16:04:2013,18000.0,62400.0,0.0,1,0.0,3900.0,40,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
17:04:2013,8400.0,145200.0,1200.0,2,0.0,11700.0,40,"Sudikoff Hall,North Main Street,0,North Main Street"
18:04:2013,0.0,0.0,2400.0,3,1.0,7800.0,40,0
19:04:2013,0.0,97200.0,3600.0,4,1.0,9000.0,40,"North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
20:04:2013,0.0,70800.0,6000.0,5,0.0,0.0,40,"North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
21:04:2013,0.0,126000.0,1200.0,-1,0.0,0.0,40,"North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
22:04:2013,0.0,90000.0,0.0,0,1.0,11700.0,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
23:04:2013,0.0,114000.0,0.0,1,1.0,3900.0,40,"North Main Street,North Main Street,North Main Street,North Main Street"
24:04:2013,0.0,14400.0,0.0,2,1.0,11700.0,40,"North Main Street,North Main Street"
25:04:2013,0.0,73205.0,0.0,3,1.0,7800.0,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
28:03:2013,102679.0,0.0,0.0,3,0.0,7800.0,40,Sudikoff Hall
29:03:2013,1203.0,71997.0,0.0,4,1.0,9000.0,40,"Sudikoff Hall,0"
30:03:2013,0.0,351816.0,0.0,5,0.0,0.0,40,North Main Street
