,userID,date,dayofweek,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,level
0,36,2013-03-27,3,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
1,36,2013-03-28,4,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
2,36,2013-03-29,5,14077.0,2400.0,878.0,1407.7,532.52982180448,1200.0,1200.0,1200.0,10.0,
3,36,2013-03-30,6,14413.0,7200.0,1200.0,2402.1666666666665,2398.704518415444,1200.25,1206.5,2103.0,6.0,1
4,36,2013-03-31,0,19217.0,6000.0,17.0,1747.0,1550.1028998102029,1200.0,1200.0,1800.0,11.0,1
5,36,2013-04-01,1,14499.0,5894.0,5.0,1812.375,1771.9583143677908,1165.25,1200.0,1704.75,8.0,
6,36,2013-04-02,2,6780.0,1202.0,778.0,1130.0,172.44593355599892,1200.0,1200.0,1200.0,6.0,
7,36,2013-04-03,3,8098.0,1577.0,613.0,1156.857142857143,282.4307753364404,1150.5,1200.0,1203.5,7.0,1
8,36,2013-04-04,4,10826.0,2406.0,1200.0,1353.25,425.38344047291196,1200.0,1204.0,1206.0,8.0,1
9,36,2013-04-05,5,11888.0,4802.0,1115.0,1698.2857142857142,1368.9539454495557,1185.5,1200.0,1200.0,7.0,1
10,36,2013-04-06,6,19012.0,4794.0,1108.0,1901.2,1300.2450880079834,1196.25,1200.0,2100.0,10.0,1
11,36,2013-04-07,0,13196.0,2400.0,1196.0,1319.6,379.61594627553075,1200.0,1200.0,1200.0,10.0,1
12,36,2013-04-08,1,17957.0,6000.0,1148.0,1632.4545454545455,1448.6428382204056,1198.5,1202.0,1204.5,11.0,0
13,36,2013-04-09,2,8206.0,2400.0,1099.0,1367.6666666666667,508.00892380613425,1129.5,1200.0,1200.75,6.0,1
14,36,2013-04-10,3,7831.0,1828.0,1200.0,1305.1666666666667,256.13622677525854,1200.0,1200.5,1201.75,6.0,1
15,36,2013-04-11,4,12517.0,2405.0,561.0,1564.625,714.2166413031033,1195.75,1202.5,2366.75,8.0,1
16,36,2013-04-12,5,14975.0,2405.0,515.0,1247.9166666666667,416.8122442655649,1199.75,1205.5,1207.5,12.0,1
17,36,2013-04-13,6,10826.0,3600.0,1.0,1546.5714285714287,1140.539471353046,1173.5,1205.0,1836.5,7.0,1
18,36,2013-04-14,0,32629.0,4801.0,1107.0,2175.266666666667,1294.7037977118644,1205.0,1397.0,2445.0,15.0,1
19,36,2013-04-15,1,15139.0,2458.0,892.0,1261.5833333333333,388.0298625652725,1171.0,1196.5,1200.5,12.0,1
20,36,2013-04-16,2,8605.0,2401.0,1200.0,1721.0,624.6707132561922,1200.0,1407.0,2397.0,5.0,1
21,36,2013-04-17,3,7160.0,1201.0,1.0,795.5555555555555,595.994150791581,1.0,1193.0,1200.0,9.0,1
22,36,2013-04-18,4,303167.0,299585.0,1182.0,75791.75,149195.50024129415,1195.5,1200.0,75796.25,4.0,1
23,36,2013-04-22,1,246000.0,246000.0,246000.0,246000.0,,246000.0,246000.0,246000.0,1.0,
24,36,2013-04-25,4,20945.0,2404.0,578.0,1396.3333333333333,543.4145571774656,1200.0,1200.0,1201.0,15.0,
25,36,2013-04-26,5,9602.0,1226.0,1175.0,1200.25,13.6355627470439,1200.0,1200.0,1200.25,8.0,
26,36,2013-04-27,6,18003.0,2400.0,1200.0,1500.25,542.5699996732722,1200.0,1200.0,1501.5,12.0,
27,36,2013-04-28,0,23885.0,5995.0,1196.0,2388.5,1599.6263626234722,1200.0,1746.0,3299.25,10.0,
28,36,2013-04-29,1,22796.0,2401.0,1196.0,1424.75,483.20120032963496,1200.0,1200.0,1201.5,16.0,1
29,36,2013-04-30,2,28808.0,10800.0,1200.0,3200.8888888888887,3393.789049294477,1200.0,1200.0,4802.0,9.0,1
30,36,2013-05-01,3,24356.0,3598.0,1200.0,1873.5384615384614,774.567364768296,1202.0,1532.0,2400.0,13.0,1
31,36,2013-05-02,4,15606.0,3602.0,1200.0,1734.0,1057.9239103073528,1200.0,1200.0,1204.0,9.0,1
32,36,2013-05-03,5,70544.0,47749.0,1197.0,7838.222222222223,15474.347706589911,1200.0,1200.0,2395.0,9.0,1
33,36,2013-05-04,6,40018.0,25261.0,14757.0,20009.0,7427.449629583495,17383.0,20009.0,22635.0,2.0,
34,36,2013-05-05,0,11893.0,3600.0,1197.0,1982.1666666666667,972.6784497801247,1200.0,1748.0,2374.0,6.0,
35,36,2013-05-06,1,20340.0,7198.0,1157.0,2905.714285714286,2586.2756178390136,1189.0,1202.0,4202.5,7.0,1
36,36,2013-05-07,2,10595.0,2400.0,1089.0,1324.375,437.1014715470212,1176.5,1200.0,1200.0,8.0,1
37,36,2013-05-08,3,26793.0,6880.0,741.0,3827.5714285714284,2706.482333038148,1147.0,4800.0,6039.0,7.0,1
38,36,2013-05-09,4,19206.0,2400.0,1200.0,1746.0,626.1584464015478,1200.0,1204.0,2400.0,11.0,1
39,36,2013-05-10,5,23392.0,8989.0,1200.0,2924.0,2959.806267791381,1200.0,1204.0,3298.75,8.0,
40,36,2013-05-11,6,17499.0,9240.0,1118.0,2187.375,2849.901448797334,1183.25,1200.5,1202.75,8.0,
41,36,2013-05-12,0,29560.0,20840.0,1173.0,4222.857142857143,7350.95817855449,1189.0,1201.0,1984.0,7.0,
42,36,2013-05-13,1,8553.0,1206.0,155.0,1069.125,369.3799582698398,1195.5,1200.0,1200.5,8.0,
43,36,2013-05-14,2,8500.0,3598.0,1200.0,2125.0,1158.031087665612,1200.0,1851.0,2776.0,4.0,
44,36,2013-05-15,3,16798.0,8395.0,519.0,2099.75,2937.9721748171814,598.5,604.0,1713.0,8.0,
45,36,2013-05-16,4,15875.0,4198.0,578.0,1443.1818181818182,1192.1270752886892,601.0,922.0,1797.0,11.0,1
46,36,2013-05-17,5,17812.0,1800.0,521.0,890.6,425.60228531242393,597.0,601.0,1196.5,20.0,1
47,36,2013-05-18,6,6328.0,1800.0,480.0,904.0,595.7180541162069,545.0,605.0,1176.5,7.0,1
48,36,2013-05-19,0,13532.0,2396.0,46.0,902.1333333333333,617.1775464236559,599.0,603.0,1197.0,15.0,1
49,36,2013-05-20,1,9507.0,2400.0,489.0,864.2727272727273,566.1840850658186,599.0,602.0,919.0,11.0,1
50,36,2013-05-21,2,7785.0,4430.0,493.0,1112.142857142857,1463.6875154407594,532.5,596.0,600.5,7.0,2
51,36,2013-05-22,3,11721.0,3000.0,487.0,837.2142857142857,664.492539585536,549.0,600.0,666.0,14.0,2
52,36,2013-05-23,4,17189.0,2400.0,516.0,1074.3125,588.093498093628,600.0,851.0,1347.75,16.0,1
53,36,2013-05-24,5,49111.0,23397.0,518.0,3069.4375,6032.913546745055,581.5,937.5,1802.25,16.0,1
54,36,2013-05-25,6,7708.0,2766.0,494.0,856.4444444444445,742.2346514262034,513.0,561.0,600.0,9.0,
55,36,2013-05-26,0,30916.0,15994.0,498.0,2810.5454545454545,4483.323284431681,599.5,1800.0,2682.5,11.0,
56,36,2013-05-27,1,11920.0,5997.0,517.0,1192.0,1699.3422910709373,600.0,600.0,603.5,10.0,
57,36,2013-05-28,2,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,
58,36,2013-05-29,3,4589.0,1213.0,501.0,655.5714285714286,248.83385162450406,539.5,588.0,604.0,7.0,
59,36,2013-05-30,4,55801.0,46196.0,598.0,9300.166666666666,18096.697194976397,1503.75,2400.5,2851.0,6.0,
