,userID,date,dayofweek,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,level
0,18,2013-03-27,3,7766.0,2407.0,448.0,1294.3333333333333,629.5251120222819,1198.5,1200.5,1284.25,6.0,2
1,18,2013-03-28,4,28773.0,4800.0,1197.0,1918.2,1089.286542388444,1200.5,1202.0,2399.5,15.0,
2,18,2013-03-29,5,13046.0,2402.0,1086.0,1449.5555555555557,540.1738403308492,1196.0,1200.0,1204.0,9.0,1
3,18,2013-03-30,6,14390.0,1203.0,1195.0,1199.1666666666667,2.5878504008094625,1197.0,1200.0,1200.25,12.0,2
4,18,2013-03-31,0,11950.0,2400.0,1107.0,1327.7777777777778,405.86444097068227,1198.0,1200.0,1204.0,9.0,
5,18,2013-04-01,1,7086.0,1203.0,1090.0,1181.0,44.67661580737735,1196.0,1197.5,1201.25,6.0,
6,18,2013-04-02,2,5896.0,1202.0,1144.0,1179.2,29.48219801846531,1150.0,1200.0,1200.0,5.0,
7,18,2013-04-03,3,14477.0,2400.0,1146.0,1316.090909090909,360.98322801633174,1199.0,1201.0,1231.0,11.0,1
8,18,2013-04-04,4,23715.0,3565.0,1082.0,1581.0,745.3696110942927,1176.5,1197.0,1853.5,15.0,
9,18,2013-04-05,5,9271.0,1207.0,1091.0,1158.875,55.22276316364993,1093.5,1196.0,1197.25,8.0,1
10,18,2013-04-06,6,10528.0,1202.0,1094.0,1169.7777777777778,45.35630545408702,1154.0,1195.0,1196.0,9.0,
11,18,2013-04-08,1,14365.0,2401.0,1151.0,1436.5,508.32169385581454,1200.25,1202.5,1203.75,10.0,1
12,18,2013-04-09,2,23949.0,3599.0,1150.0,1596.6,742.2732265528259,1199.5,1201.0,1800.5,15.0,1
13,18,2013-04-10,3,15601.0,1202.0,1197.0,1200.076923076923,1.5525000516123695,1200.0,1200.0,1201.0,13.0,
14,18,2013-04-11,4,7202.0,2402.0,1200.0,1800.5,693.3981540211944,1200.0,1800.0,2400.5,4.0,
15,18,2013-04-12,5,3500.0,1202.0,1098.0,1166.6666666666667,59.47548514584251,1149.0,1200.0,1201.0,3.0,
16,18,2013-04-13,6,2398.0,1200.0,1198.0,1199.0,1.4142135623730951,1198.5,1199.0,1199.5,2.0,
17,18,2013-04-14,0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
18,18,2013-04-15,1,4796.0,1201.0,1196.0,1199.0,2.160246899469287,1198.25,1199.5,1200.25,4.0,0
19,18,2013-04-16,2,8353.0,1203.0,1.0,1044.125,421.78140496165616,1185.0,1198.5,1200.5,8.0,
20,18,2013-04-17,3,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
