date,home_time,school_time,travel_time,orthers,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,43200.0,15601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0
01:05:2013,49201.0,15600.0,9600.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,2.0
01:06:2013,14400.0,9600.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,57.0,
02:04:2013,0.0,1199.0,0.0,0.0,82800.0,0.0,1.0,0.0,0.0,57.0,
02:05:2013,51600.0,45602.0,2399.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,3.0
03:04:2013,85221.0,26402.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,1.0
03:05:2013,2398.0,43204.0,0.0,50400.0,0.0,0.0,4.0,0.0,0.0,57.0,2.0
04:04:2013,10636.0,0.0,0.0,42000.0,0.0,0.0,3.0,0.0,0.0,57.0,1.0
04:05:2013,59598.0,3598.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,
05:04:2013,42003.0,44076.0,0.0,2563.0,0.0,1201.0,4.0,0.0,0.0,57.0,1.0
05:05:2013,88606.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,
06:04:2013,245999.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,1.0
06:05:2013,77997.0,1224.0,4798.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0
07:05:2013,43609.0,54044.0,2641.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,1.0
08:04:2013,34805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0
08:05:2013,0.0,496190.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,1.0
09:04:2013,44405.0,20392.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,2.5
10:04:2013,59998.0,27602.0,0.0,1198.0,0.0,0.0,2.0,0.0,0.0,57.0,1.0
11:04:2013,137999.0,16801.0,0.0,3600.0,0.0,0.0,3.0,0.0,0.0,57.0,4.0
12:04:2013,2400.0,33600.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,1.0
13:04:2013,60002.0,1200.0,1200.0,2400.0,0.0,0.0,5.0,0.0,0.0,57.0,1.0
13:05:2013,1198.0,21600.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,
14:04:2013,158400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,1.0
14:05:2013,54000.0,32400.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,
15:04:2013,1200.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0
15:05:2013,45599.0,8401.0,14400.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,1.0
16:04:2013,52800.0,30000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,2.0
