date,home_time,school_time,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,14400.0,3600.0,0.0,0.0,1.0,7800.0,4.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",1.0
02:04:2013,155768.0,3600.0,0.0,1.0,0.0,0.0,4.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,0",3.0
03:04:2013,8398.0,4802.0,0.0,2.0,1.0,7800.0,4.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",1.6666666666666667
04:04:2013,158400.0,0.0,0.0,3.0,1.0,7800.0,4.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,0",1.0
05:04:2013,14400.0,4800.0,0.0,4.0,1.0,6000.0,4.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",2.0
06:04:2013,80400.0,0.0,0.0,5.0,0.0,0.0,4.0,"Dartmouth College,0,0,0,0",1.0
07:04:2013,160800.0,0.0,0.0,-1.0,0.0,0.0,4.0,"0,0,0,0",1.0
07:05:2013,90573.0,1201.0,1199.0,1.0,0.0,0.0,4.0,"0,Dartmouth College,Dartmouth College,Sudikoff Hall,Dana Parking Lot,0",2.0
08:04:2013,8401.0,4799.0,0.0,0.0,1.0,7800.0,4.0,"0,Vail,Class of 1978 Life Sciences Center,Dartmouth College",1.0
08:05:2013,507600.0,1200.0,0.0,2.0,1.0,7800.0,4.0,"Dartmouth College,Sudikoff Hall,0",1.5
09:04:2013,159600.0,0.0,0.0,1.0,0.0,0.0,4.0,"Dartmouth College,Dartmouth College,Dartmouth College,0",1.0
10:04:2013,9601.0,3600.0,1200.0,2.0,1.0,7800.0,4.0,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",
11:04:2013,250799.0,0.0,0.0,3.0,1.0,7800.0,4.0,"Dartmouth College,Dartmouth College,Dartmouth College,0",
13:04:2013,8400.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,Dartmouth College",
13:05:2013,1201.0,0.0,0.0,0.0,1.0,7800.0,4.0,0,
14:04:2013,164400.0,0.0,0.0,-1.0,0.0,0.0,4.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",
14:05:2013,161087.0,0.0,0.0,1.0,0.0,0.0,4.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",
15:04:2013,7200.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,0",2.0
15:05:2013,4800.0,0.0,0.0,2.0,1.0,7800.0,4.0,"0,Dartmouth College,0",
16:04:2013,159601.0,0.0,0.0,1.0,0.0,0.0,4.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,0",2.6666666666666665
17:04:2013,13199.0,0.0,0.0,2.0,1.0,7800.0,4.0,"0,Dartmouth College,0,0",1.0
18:04:2013,94800.0,0.0,0.0,3.0,1.0,7800.0,4.0,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College",1.0
19:04:2013,238219.0,0.0,0.0,4.0,1.0,6000.0,4.0,"Dartmouth College,0,0",
21:04:2013,16800.0,0.0,0.0,-1.0,0.0,0.0,4.0,"0,Dartmouth College,Dartmouth College,Dartmouth College",
22:04:2013,81600.0,0.0,0.0,0.0,1.0,7800.0,4.0,"Dartmouth College,Rauner Hall,0,0,0",1.0
23:04:2013,251915.0,1200.0,0.0,1.0,0.0,0.0,4.0,"0,Dartmouth College,Sudikoff Hall,0",
25:04:2013,5987.0,0.0,0.0,3.0,1.0,7800.0,4.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse",3.0
26:04:2013,82756.0,4857.0,0.0,4.0,1.0,6000.0,4.0,"Sudikoff Hall,Sudikoff Hall,0,0,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,0",3.0
27:03:2013,7199.0,2399.0,0.0,2.0,1.0,7800.0,4.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",1.0
27:04:2013,201600.0,4800.0,0.0,5.0,0.0,0.0,4.0,"0,Sudikoff Hall,Sudikoff Hall,0",3.0
28:03:2013,81600.0,3600.0,0.0,3.0,1.0,7800.0,4.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.5
29:03:2013,84000.0,2400.0,1200.0,4.0,1.0,6000.0,4.0,"0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,0",1.5
29:04:2013,54000.0,0.0,0.0,0.0,1.0,7800.0,4.0,"0,0,0,0",3.0
30:03:2013,241200.0,0.0,0.0,5.0,0.0,0.0,4.0,"0,Dartmouth College,Dartmouth College,0",1.0
30:04:2013,603601.0,0.0,0.0,1.0,0.0,0.0,4.0,"Dartmouth College,Dartmouth College,0,0,0,0,0,0,Dartmouth College,0",3.0
