date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,cut_class,class_schedule,volunteer,level
01:04:2013,52811.0,1200.0,4800.0,7195.0,0.0,0.0,0.0,1.0,7800.0,33.0,4.0
01:05:2013,78001.0,1199.0,7200.0,1200.0,0.0,0.0,2.0,1.0,7800.0,33.0,3.0
02:04:2013,82800.0,0.0,1200.0,0.0,0.0,0.0,1.0,1.0,3900.0,33.0,2.0
02:05:2013,79201.0,0.0,1199.0,4800.0,0.0,0.0,3.0,0.0,3900.0,33.0,2.0
03:04:2013,75600.0,0.0,4800.0,7200.0,0.0,0.0,2.0,1.0,7800.0,33.0,2.0
03:05:2013,70801.0,0.0,4800.0,11999.0,0.0,0.0,4.0,0.0,6000.0,33.0,
04:04:2013,62482.0,0.0,0.0,22718.0,0.0,0.0,3.0,0.0,3900.0,33.0,2.0
04:05:2013,204333.0,0.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,
05:04:2013,70795.0,0.0,6001.0,9604.0,1200.0,0.0,4.0,0.0,6000.0,33.0,1.0
06:04:2013,74400.0,0.0,0.0,15601.0,0.0,0.0,5.0,0.0,0.0,33.0,2.5
06:05:2013,48600.0,0.0,3600.0,2400.0,0.0,0.0,0.0,1.0,7800.0,33.0,3.0
07:04:2013,74400.0,0.0,7199.0,0.0,0.0,0.0,-1.0,0.0,0.0,33.0,
07:05:2013,76201.0,0.0,4803.0,9168.0,0.0,598.0,1.0,0.0,3900.0,33.0,3.0
08:04:2013,49200.0,0.0,0.0,38400.0,0.0,0.0,0.0,0.0,7800.0,33.0,4.0
08:05:2013,73803.0,0.0,5400.0,3596.0,0.0,0.0,2.0,1.0,7800.0,33.0,3.0
09:04:2013,84000.0,0.0,1200.0,0.0,0.0,0.0,1.0,1.0,3900.0,33.0,4.0
09:05:2013,47400.0,0.0,0.0,0.0,45600.0,0.0,3.0,1.0,3900.0,33.0,3.0
10:04:2013,78000.0,0.0,2400.0,8400.0,0.0,0.0,2.0,0.0,7800.0,33.0,2.5
10:05:2013,41404.0,1199.0,4200.0,32397.0,0.0,0.0,4.0,0.0,6000.0,33.0,
11:04:2013,78000.0,0.0,1200.0,4800.0,0.0,0.0,3.0,0.0,3900.0,33.0,3.0
11:05:2013,160199.0,0.0,1201.0,4200.0,12000.0,0.0,5.0,0.0,0.0,33.0,
12:04:2013,74400.0,0.0,13200.0,1200.0,0.0,0.0,4.0,1.0,6000.0,33.0,4.0
13:04:2013,78000.0,0.0,6000.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,1.0
13:05:2013,75601.0,0.0,1199.0,4200.0,0.0,0.0,0.0,1.0,7800.0,33.0,
14:04:2013,69600.0,7200.0,9908.0,0.0,0.0,0.0,-1.0,0.0,0.0,33.0,4.0
14:05:2013,82200.0,0.0,0.0,2400.0,0.0,0.0,1.0,1.0,3900.0,33.0,
15:04:2013,84000.0,0.0,3600.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,1.0
15:05:2013,87000.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7800.0,33.0,3.0
16:04:2013,78000.0,0.0,6000.0,1200.0,0.0,0.0,1.0,1.0,3900.0,33.0,4.0
16:05:2013,77668.0,0.0,599.0,9000.0,1533.0,0.0,3.0,0.0,3900.0,33.0,3.0
17:04:2013,55202.0,0.0,26403.0,7197.0,0.0,0.0,2.0,1.0,7800.0,33.0,2.5
17:05:2013,20056.0,0.0,0.0,600.0,0.0,0.0,4.0,1.0,6000.0,33.0,3.0
18:04:2013,67199.0,0.0,7201.0,8398.0,1200.0,0.0,3.0,0.0,3900.0,33.0,4.0
19:04:2013,73200.0,0.0,4800.0,9600.0,0.0,0.0,4.0,0.0,6000.0,33.0,
20:04:2013,95999.0,0.0,3601.0,1200.0,0.0,0.0,5.0,0.0,0.0,33.0,5.0
21:04:2013,85199.0,0.0,0.0,0.0,1201.0,0.0,-1.0,0.0,0.0,33.0,
22:04:2013,63568.0,0.0,8432.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,
23:04:2013,80497.0,0.0,1103.0,3600.0,0.0,0.0,1.0,1.0,3900.0,33.0,
24:04:2013,73053.0,0.0,14400.0,1200.0,0.0,0.0,2.0,1.0,7800.0,33.0,
25:04:2013,79205.0,0.0,0.0,4800.0,0.0,0.0,3.0,0.0,3900.0,33.0,
26:04:2013,77997.0,0.0,6000.0,4798.0,0.0,0.0,4.0,1.0,6000.0,33.0,
27:04:2013,83999.0,0.0,3601.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,
28:03:2013,184036.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,33.0,
28:04:2013,92400.0,7199.0,4800.0,0.0,1201.0,0.0,-1.0,0.0,0.0,33.0,
29:04:2013,60069.0,0.0,1131.0,3600.0,0.0,0.0,0.0,1.0,7800.0,33.0,2.0
30:03:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,1.0
30:04:2013,62402.0,1200.0,3600.0,17998.0,0.0,0.0,1.0,0.0,3900.0,33.0,2.75
31:03:2013,1200.0,79200.0,0.0,0.0,6000.0,0.0,-1.0,0.0,0.0,33.0,1.0
