date,home_time,recreational_activities,school_time,working,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,3598.0,4798.0,4805.0,1200.0,0.0,0.0,0.0,1.0,7800.0,10.0,"Alpha Theta,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",2.5
01:05:2013,23950.0,0.0,13227.0,44390.0,1200.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Dartmouth College,0,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,0,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
02:04:2013,11998.0,0.0,0.0,73892.0,0.0,0.0,1.0,1.0,10500.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta",4.0
02:05:2013,28877.0,0.0,2361.0,53995.0,0.0,0.0,3.0,1.0,6900.0,10.0,"Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Sigma Delta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Anonymous Hall",1.0
03:04:2013,26397.0,1202.0,6000.0,54000.0,0.0,0.0,2.0,1.0,14400.0,10.0,"Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",3.0
03:05:2013,15599.0,3600.0,0.0,61213.0,3600.0,3588.0,4.0,1.0,6000.0,10.0,"0,0,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Dartmouth College,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,0,Alpha Theta,Dartmouth College",1.0
04:04:2013,20401.0,0.0,15599.0,49016.0,0.0,0.0,3.0,0.0,6900.0,10.0,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.5
04:05:2013,57600.0,0.0,2400.0,45600.0,0.0,1200.0,5.0,0.0,0.0,10.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,0,0,0,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Collis Student Center,Collis Student Center,Alpha Theta,Alpha Theta,Dartmouth College",
05:04:2013,11999.0,0.0,14400.0,60707.0,0.0,0.0,4.0,0.0,6000.0,10.0,"Alpha Theta,Alpha Theta,Dartmouth College,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,Dartmouth College,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College",1.1666666666666667
05:05:2013,24000.0,0.0,0.0,57600.0,1200.0,0.0,-1.0,0.0,0.0,10.0,"63 South Main Street Parking Deck,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College",
