,date,volunteer,level,home_time,school_time,travel_time,orthers,shopping,working,recreational_activities,date_in_week,cut_class,class_schedule,date_in_week,cut_class,level,stay_userID,stay_dayofweek,stay_dur_sum,stay_max,stay_min,stay_mean,stay_std,stay_25%,stay_med or 50%,stay_75%,stay_freq,stay_level,conv_userID,conv_dayofweek,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level
0,2013-05-01,43,3.0,69599.0,14400.0,0.0,0.0,0.0,0,0.0,2,0.0,3900.0,2,0.0,3.0,43,3,2.6825,0.6797222222222222,0.3238888888888889,0.3832142857142857,0.1308988647261546,0.3333333333333333,0.3333333333333333,0.3394444444444444,7.0,0.0,43,3,16262,2330.0,40.0,580.7857142857143,642.7448867303337,128.5,297.5,867.25,28.0,0.0
1,2013-04-02,43,1.5,70803.0,5997.0,0.0,1199.0,0.0,0,0.0,1,0.0,0.0,1,0.0,1.5,43,2,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,1.0,43,2,25753,4790.0,31.0,628.1219512195122,832.3135585559673,111.0,352.0,867.0,41.0,1.0
2,2013-05-02,43,1.0,81824.0,4800.0,0.0,0.0,0.0,0,0.0,3,0.0,3900.0,3,0.0,1.0,43,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,43,4,22480,1936.0,30.0,749.3333333333334,566.0017870894983,254.5,600.5,1096.5,30.0,1.0
3,2013-04-03,43,2.0,79201.0,7202.0,0.0,0.0,0.0,0,1197.0,2,0.0,3900.0,2,0.0,2.0,43,3,0.6661111111111111,0.3336111111111111,0.3325,0.3330555555555555,0.0007856742013183,0.3327777777777778,0.3330555555555555,0.3333333333333333,2.0,1.0,43,3,20927,2420.0,81.0,804.8846153846154,747.0088260213839,171.0,458.5,1454.25,26.0,1.0
4,2013-05-03,43,1.0,81600.0,4800.0,0.0,0.0,0.0,0,0.0,4,0.0,3000.0,4,0.0,1.0,43,5,2.327777777777778,0.3333333333333333,0.3302777777777778,0.3325396825396826,0.0010568774791237,0.3325,0.3327777777777778,0.3331944444444444,7.0,1.0,43,5,17959,4195.0,60.0,427.5952380952381,680.007893050454,133.5,272.0,370.5,42.0,1.0
5,2013-04-04,43,1.75,79200.0,7200.0,0.0,0.0,0.0,0,0.0,3,0.0,3900.0,3,0.0,1.75,43,4,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,1.0,43,4,20979,3308.0,80.0,839.16,931.2195713149504,162.0,403.0,1341.0,25.0,1.0
6,2013-05-04,43,,85734.0,3600.0,0.0,0.0,0.0,0,0.0,5,0.0,0.0,5,0.0,,43,6,1.146388888888889,0.1697222222222222,0.1522222222222222,0.1637698412698412,0.0070141999250013,0.1609722222222222,0.1666666666666666,0.1679166666666666,7.0,,43,6,13505,1826.0,61.0,482.32142857142856,460.06086985121215,128.5,328.0,646.0,28.0,
7,2013-04-05,43,1.4,76800.0,7199.0,0.0,2401.0,0.0,0,0.0,4,0.0,3000.0,4,0.0,1.4,43,5,26.449166666666667,25.7825,0.3333333333333333,8.81638888888889,14.693083225651652,0.3333333333333333,0.3333333333333333,13.057916666666666,3.0,1.0,43,5,20682,4730.0,60.0,574.5,862.3873342563156,131.0,232.0,615.25,36.0,1.0
8,2013-05-05,43,,85672.0,10799.0,0.0,0.0,0.0,0,0.0,-1,0.0,0.0,-1,0.0,,43,0,1.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,8.0,,43,0,3486,2128.0,50.0,387.3333333333333,668.711634413519,80.0,110.0,352.0,9.0,
9,2013-04-06,43,2.8,5584.0,0.0,0.0,0.0,0.0,0,157616.0,5,0.0,0.0,5,0.0,2.8,43,6,26.960833333333333,26.960833333333333,26.960833333333333,26.960833333333333,,26.960833333333333,26.960833333333333,26.960833333333333,1.0,1.0,43,6,25674,3571.0,30.0,503.4117647058824,670.7384639774459,116.0,212.0,656.5,51.0,1.0
