,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive
0,1,0.0,0.0,0.0,11,2,False,1.0
1,1,50.55264272610306,0.0428049472701973,3.624466322624669e-05,11,22,True,2.0
2,1,50.58008718580464,0.0414590878572169,3.398285889935813e-05,11,42,True,2.0
6,1,0.0548889190053491,4.574076583779093e-05,3.8117304864825775e-08,13,2,False,1.0
7,1,20740.597181994726,17.269439785174626,0.0143792171400288,13,22,True,2.0
8,1,0.0,0.0,0.0,13,22,False,1.0
9,1,12115.825687646851,5.05879986958115,0.0021122337660046,14,2,True,2.0
19,1,0.0,0.0,0.0,18,2,False,1.0
20,1,8624.832154346273,7.187360128621894,0.0059894667738515,18,22,True,2.0
21,1,7227.181501054615,6.022651250878846,0.005018876042399,18,42,True,2.0
22,1,187.62538844711636,0.1563544903725969,0.0001302954086438,19,2,True,2.0
23,1,221.91363866900917,0.1849280322241742,0.0001541066935201,19,22,True,2.0
27,1,1.5922475418169424,0.0013268729515141,1.105727459595099e-06,20,42,False,1.0
28,1,300.30154124853425,0.2502512843737785,0.0002085427369781,21,2,True,2.0
29,1,6.49244617351524,0.0054103718112627,4.50864317605225e-06,21,22,False,1.0
30,1,24.638361961576077,0.0205319683013133,1.710997358442783e-05,21,42,True,2.0
31,1,10.445574879926744,0.0087046457332722,7.253871444393572e-06,22,2,False,1.0
32,1,268.4253538321755,0.2373345303555928,0.0002098448544258,22,21,True,2.0
33,1,799.0000501495512,0.6286389064905988,0.0004946018147054,22,42,True,2.0
34,1,795.3035652287119,0.6638594033628648,0.0005541397356952,23,2,True,2.0
39,1,12.68307820094527,0.010569231834121,8.807693195100881e-06,0,42,False,1.0
40,1,323.7046858890411,0.2697539049075342,0.0002247949207562,1,2,True,2.0
43,1,9.402373307022796,0.0078353110891856,6.529425907654721e-06,2,2,False,1.0
44,1,597.856991599569,0.4965589631225656,0.0004124243879755,2,22,True,2.0
45,1,286.0118483826508,0.2397417002369243,0.0002009569993603,2,42,True,2.0
46,1,0.9745652038932467,0.0008101123889386,6.734101321186136e-07,3,2,False,1.0
47,1,26.05244802880671,0.0217103733573389,1.809197779778244e-05,3,22,True,2.0
49,1,0.4392402362716937,0.0003660335302264,3.050279418553429e-07,4,2,False,1.0
50,1,45.94182620958775,0.0382848551746564,3.190404597888038e-05,4,22,True,2.0
52,1,17.00685748278665,0.0141723812356555,1.1810317696379616e-05,5,2,False,1.0
53,1,51.29650660659408,0.0426050719323871,3.538627236909228e-05,5,22,True,2.0
54,1,1378.926845422687,1.1529488674102737,0.000964004069741,5,42,True,2.0
55,1,8624.310709708938,7.186925591424115,0.00598910465952,6,2,True,2.0
56,1,2039.2358249934664,1.707902700999553,0.0014304042721939,6,22,True,2.0
57,1,723.1946867520259,0.5966952860990312,0.000492322843316,6,42,True,2.0
58,1,3331.7518730289044,2.804504943627024,0.0023606943969924,7,2,True,2.0
59,1,569.9937754656501,0.4726316546149668,0.0003919002111235,7,22,True,2.0
63,1,0.0960556095906326,8.004634132552717e-05,6.670528443793931e-08,8,42,False,1.0
64,1,20740.844379837406,17.255278186220803,0.0143554727006828,9,2,True,2.0
65,1,12116.278796578235,10.09689899714853,0.0084140824976237,9,22,True,2.0
70,1,0.0,0.0,0.0,11,2,False,1.0
71,1,12116.278796578235,10.09689899714853,0.0084140824976237,11,22,True,2.0
74,1,0.0,0.0,0.0,12,22,False,1.0
75,1,12116.278796578235,10.09689899714853,0.0084140824976237,12,42,True,2.0
76,1,12116.278796578235,10.09689899714853,0.0084140824976237,13,2,True,2.0
77,1,0.0,0.0,0.0,13,22,False,1.0
78,1,6058.8832786465255,5.0490693988721045,0.0042075578323934,13,42,True,2.0
79,1,6058.8832786465255,5.0490693988721045,0.0042075578323934,14,2,True,2.0
80,1,12116.278796578235,10.09689899714853,0.0084140824976237,14,22,True,2.0
81,1,0.0,0.0,0.0,14,42,False,1.0
82,1,12116.278796578235,10.09689899714853,0.0084140824976237,15,2,True,2.0
83,1,12116.278796578235,10.09689899714853,0.0084140824976237,15,22,True,2.0
84,1,12116.278796578235,10.09689899714853,0.0084140824976237,15,42,True,2.0
87,1,0.0,0.0,0.0,16,42,False,1.0
88,1,12116.278796578235,10.09689899714853,0.0084140824976237,17,2,True,2.0
89,1,0.0,0.0,0.0,18,48,False,1.0
90,1,1204.2604002498458,1.003550333541538,0.0008362919446179,19,8,True,2.0
91,1,22.277935822942265,0.0185649465191185,1.5470788765932126e-05,19,28,True,2.0
96,1,2.278583012043332,0.0018988191767027,1.5823493139189805e-06,21,8,False,1.0
97,1,42.18127298751463,0.0351510608229288,2.929255068577405e-05,21,28,True,2.0
98,1,0.0,0.0,0.0,21,48,False,1.0
99,1,64.88473309370794,0.0540706109114232,4.505884242618607e-05,22,8,True,2.0
100,1,31.032603493033687,0.0265917767720939,2.2786441107192797e-05,22,28,True,2.0
101,1,55.90483537695401,0.045340499089176,3.6772505344019465e-05,22,48,True,2.0
102,1,525.5783676307117,0.437981973025593,0.0003649849775213,23,8,True,2.0
105,1,19.23028106458483,0.0160252342204873,1.3354361850406133e-05,0,8,False,1.0
