date,home_time,school_time,travel_time,date_in_week,cut_class,volunteer
01:04:2013 ,4800.0,12000.0,0.0,0,0.0,4
02:04:2013 ,154568.0,4800.0,0.0,1,0.0,4
03:04:2013 ,9598.0,3602.0,0.0,2,1.0,4
04:04:2013 ,153600.0,6000.0,0.0,3,1.0,4
05:04:2013 ,0.0,19200.0,0.0,4,0.0,4
06:04:2013 ,79205.0,0.0,0.0,5,0.0,4
07:04:2013 ,160796.0,0.0,0.0,-1,0.0,4
07:05:2013 ,86974.0,3601.0,1199.0,1,0.0,4
08:04:2013 ,0.0,13199.0,0.0,0,0.0,4
08:05:2013 ,502801.0,7200.0,0.0,2,1.0,4
09:04:2013 ,152400.0,7200.0,0.0,1,0.0,4
10:04:2013 ,8399.0,4801.0,1200.0,2,1.0,4
11:04:2013 ,248400.0,3600.0,0.0,3,1.0,4
13:04:2013 ,0.0,7200.0,0.0,5,0.0,4
14:04:2013 ,148802.0,15600.0,0.0,-1,0.0,4
14:05:2013 ,140399.0,21889.0,0.0,1,0.0,4
15:04:2013 ,7198.0,0.0,0.0,0,0.0,4
15:05:2013 ,3599.0,0.0,0.0,2,0.0,4
16:04:2013 ,154923.0,6000.0,0.0,1,0.0,4
17:04:2013 ,10677.0,0.0,0.0,2,0.0,4
18:04:2013 ,92400.0,3600.0,0.0,3,1.0,4
19:04:2013 ,238223.0,0.0,0.0,4,0.0,4
21:04:2013 ,16798.0,0.0,0.0,-1,0.0,4
22:04:2013 ,82798.0,0.0,0.0,0,0.0,4
23:04:2013 ,247116.0,4800.0,0.0,1,0.0,4
25:04:2013 ,4786.0,0.0,0.0,3,0.0,4
26:04:2013 ,83956.0,4857.0,0.0,4,1.0,4
27:03:2013 ,0.0,9601.0,0.0,2,0.0,4
27:04:2013 ,205200.0,4800.0,0.0,5,0.0,4
28:03:2013 ,75598.0,8401.0,0.0,3,0.0,4
29:03:2013 ,87600.0,0.0,1200.0,4,0.0,4
29:04:2013 ,49200.0,0.0,0.0,0,0.0,4
30:03:2013 ,236400.0,6000.0,0.0,5,0.0,4
30:04:2013 ,600000.0,4800.0,0.0,1,0.0,4
