date,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,64800.0,9599.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10500.0,13,"0,0,0,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
01:05:2013,61198.0,38403.0,1199.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,13,"Dartmouth College,Dartmouth College,0,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0"
01:06:2013,23750.0,0.0,0.0,12602.0,0.0,0.0,0.0,5,0.0,0.0,13,"0,Mobil,0,0,0,Pulsifer Building,0"
02:04:2013,84002.0,3598.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Vail,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:05:2013,69600.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,13500.0,13,"0,0,0,Life Sciences Greenhouse"
03:04:2013,42000.0,6000.0,0.0,0.0,38400.0,0.0,0.0,2,1.0,10500.0,13,"Dartmouth College,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
03:05:2013,70804.0,15596.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Remsen Medical Sciences Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
04:04:2013,77934.0,4866.0,0.0,1200.0,0.0,1200.0,0.0,3,1.0,13500.0,13,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,La Casa,Bildner Hall,0,Big Green Real Estate,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Bildner Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,98231.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,13,"Dartmouth College,0,0,0,0"
05:04:2013,63600.0,9600.0,0.0,13200.0,0.0,0.0,0.0,4,0.0,3000.0,13,"Dartmouth College,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
