date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,7199.0,7201.0,33600.0,40800.0,0.0,0.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Dana Circle Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot"
01:05:2013,1240008.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,17100.0,26,The Lodge
02:04:2013,0.0,13199.0,39601.0,0.0,0.0,0.0,0.0,1,0.0,13200.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,Bartlett Hall,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall"
03:04:2013,14400.0,14399.0,41042.0,16801.0,0.0,0.0,0.0,2,0.0,17100.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts,Moore Psychology Building"
04:04:2013,24002.0,48827.0,11999.0,0.0,1200.0,0.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Four Seasons | Sotheby's,The Lodge,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Morton Hall,Brace Commons,Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,13197.0,12000.0,10803.0,50610.0,0.0,0.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,The Lodge,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Moore Psychology Building"
06:04:2013,8398.0,13201.0,66000.0,2402.0,0.0,1199.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth Hall,Alumni Gymnasium,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Bartlett Hall,Observatory Road,Lodge Parking Lot,Dartmouth College,Berry Library,Berry Library,Bartlett Hall"
07:04:2013,0.0,104407.0,0.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,26,"Lodge Parking Lot,0"
08:04:2013,2406.0,1200.0,50140.0,9590.0,0.0,0.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Lodge Parking Lot,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building"
09:04:2013,1199.0,35693.0,44402.0,12000.0,0.0,0.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Baker Memorial Library,Dartmouth College,Berry Library,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Alumni Gymnasium"
10:04:2013,19198.0,3602.0,10800.0,44791.0,0.0,0.0,0.0,2,1.0,17100.0,26,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Class of 1978 Life Sciences Center,Berry Library,Dartmouth College,Dartmouth College,Moore Psychology Building"
11:04:2013,12000.0,16798.0,48187.0,7201.0,2401.0,0.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Baker Memorial Library,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,West Stands,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Four Seasons | Sotheby's,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
12:04:2013,14401.0,12002.0,58629.0,1199.0,0.0,0.0,0.0,4,0.0,3000.0,26,"The Lodge,Wentworth Hall,Alumni Gymnasium,Hanover Inn Valet Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Dartmouth College,Dartmouth College,Collis Student Center,Bartlett Hall,Bartlett Hall,Moore Psychology Building"
13:04:2013,0.0,127838.0,14399.0,33600.0,0.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Moore Psychology Building,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Alumni Gymnasium"
15:04:2013,22799.0,10800.0,50400.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,26,"The Lodge,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Berry Library,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,The Lodge,Moore Psychology Building"
15:05:2013,0.0,0.0,41998.0,2404.0,3599.0,0.0,0.0,2,0.0,17100.0,26,"Sudikoff Hall,Bartlett Hall,Four Seasons | Sotheby's,Lodge Parking Lot,Moore Psychology Building"
16:04:2013,6000.0,28798.0,43200.0,7202.0,0.0,0.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,West Stands,Alumni Gymnasium,The Lodge,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Bartlett Hall,Alumni Gymnasium,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Reed Hall"
16:05:2013,775906.0,8400.0,8396.0,2400.0,10804.0,0.0,0.0,3,0.0,9900.0,26,"Moore Psychology Building,Alumni Gymnasium,Lodge Parking Lot,Four Seasons | Sotheby's,Carson Hall,Dartmouth Outing Club House,Dartmouth College,House Center B,House Center B,Dartmouth College"
17:04:2013,0.0,0.0,2406.0,85357.0,0.0,0.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Moore Psychology Building"
18:04:2013,36000.0,12568.0,6000.0,15602.0,15600.0,0.0,0.0,3,1.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Vox Lane Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,Four Seasons | Sotheby's,4 Currier Place Parking Lot,Lodge Parking Lot,4 Currier Place Parking Lot,Lodge Parking Lot,The Lodge,Four Seasons | Sotheby's,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,2399.0,14400.0,50400.0,19201.0,0.0,0.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Alumni Gymnasium,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,0,Lodge Parking Lot,Dartmouth College,Lodge Parking Lot,Bartlett Hall,South Fayerweather Hall,Bartlett Hall,Moore Psychology Building"
20:04:2013,28800.0,1200.0,7200.0,67807.0,0.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,The Lodge,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Lodge Parking Lot"
21:04:2013,57600.0,1200.0,4806.0,2400.0,1200.0,0.0,10801.0,-1,0.0,0.0,26,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Beta Alpha Omega,Dartmouth College,0,Lodge Parking Lot,Four Seasons | Sotheby's,The Lodge"
22:04:2013,10800.0,5999.0,57600.0,2400.0,0.0,0.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Life Sciences Greenhouse,Lodge Parking Lot,The Lodge,Moore Psychology Building"
23:04:2013,0.0,37461.0,26400.0,22788.0,0.0,1215.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Lodge Parking Lot,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Observatory Road,Lodge Parking Lot"
24:04:2013,66001.0,5998.0,1199.0,8400.0,0.0,3600.0,0.0,2,1.0,17100.0,26,"Alumni Gymnasium,Observatory Road,Observatory Road,The Lodge,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Hanover Public Parking Garage,The Lodge,The Lodge,Hopkins Center for the Arts"
25:04:2013,140966.0,9600.0,0.0,4800.0,0.0,0.0,0.0,3,1.0,9900.0,26,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
25:05:2013,13200.0,1199.0,61630.0,0.0,0.0,0.0,0.0,5,0.0,0.0,26,"Berry Library,Dartmouth College,Andres Hall,Bartlett Hall"
26:04:2013,8399.0,0.0,7200.0,1200.0,0.0,0.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building"
26:05:2013,0.0,0.0,157296.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,26,Sudikoff Hall
27:04:2013,0.0,10800.0,8400.0,91200.0,0.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,Lodge Parking Lot,Parker House,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot"
28:03:2013,0.0,4799.0,72539.0,6003.0,1200.0,0.0,0.0,3,0.0,9900.0,26,"Sudikoff Hall,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Four Seasons | Sotheby's,Lodge Parking Lot,Moore Psychology Building,Sudikoff Hall,Dana Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,0.0,2400.0,0.0,0.0,91924.0,0.0,0.0,-1,0.0,0.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Four Seasons | Sotheby's"
28:05:2013,0.0,0.0,121577.0,0.0,0.0,0.0,0.0,1,0.0,13200.0,26,Sudikoff Hall
29:03:2013,0.0,69556.0,9604.0,7200.0,0.0,0.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Moore Psychology Building"
29:04:2013,4800.0,2400.0,43200.0,3600.0,0.0,0.0,0.0,0,0.0,3900.0,26,"Bartlett Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts"
29:05:2013,0.0,0.0,0.0,4799.0,0.0,0.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall"
30:03:2013,0.0,25201.0,2400.0,72000.0,0.0,0.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Moore Psychology Building,Hopkins Center for the Arts,Lodge Parking Lot,Alumni Gymnasium"
30:04:2013,1200.0,7200.0,22800.0,62400.0,1200.0,0.0,0.0,1,0.0,13200.0,26,"Hopkins Center for the Arts,Four Seasons | Sotheby's,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Parker House,Lodge Parking Lot"
31:03:2013,0.0,0.0,104399.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,26,Wilson Hall
