date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,64194.0,3058.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
01:05:2013,154800.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Dartmouth College,Dartmouth College,Dartmouth College,0"
01:06:2013,1165.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"0,0"
02:04:2013,88857.0,1143.0,0.0,0.0,0.0,0.0,1,0.0,0.0,52,"Sudikoff Hall,Dartmouth College,0,Dartmouth College"
02:05:2013,28801.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,52,"Hood Museum of Art,Dartmouth College"
03:04:2013,154801.0,7199.0,0.0,0.0,0.0,0.0,2,0.0,0.0,52,"Sudikoff Hall,Dartmouth College,Anonymous Hall,0"
03:05:2013,62400.0,0.0,0.0,1199.0,0.0,0.0,4,0.0,0.0,52,"Coldwell Banker,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
04:04:2013,3600.0,4718.0,0.0,0.0,0.0,0.0,3,0.0,0.0,52,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,209007.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,52,"Dartmouth College,0,Dartmouth College"
05:04:2013,96082.0,2400.0,0.0,0.0,0.0,0.0,4,0.0,0.0,52,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
06:04:2013,158401.0,0.0,0.0,0.0,1199.0,0.0,5,0.0,0.0,52,"Dartmouth College,Dartmouth College,Dartmouth College,0,0"
06:05:2013,163623.0,0.0,673.0,0.0,0.0,0.0,0,0.0,0.0,52,"0,0,Hood Museum of Art,Dartmouth College"
