date,home_time,recreational_activities,school_time,working,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,1200.0,4798.0,7203.0,0.0,0.0,0.0,0,1.0,7800.0,10
01:05:2013 ,15630.0,8260.0,13287.0,44390.0,0.0,0.0,2,1.0,14400.0,10
02:04:2013 ,3600.0,3599.0,4799.0,73892.0,0.0,0.0,1,1.0,10500.0,10
02:05:2013 ,27606.0,0.0,1233.0,53960.0,1235.0,1199.0,3,1.0,6900.0,10
03:04:2013 ,20399.0,3600.0,9600.0,54000.0,0.0,0.0,2,1.0,14400.0,10
03:05:2013 ,10799.0,4800.0,2400.0,63613.0,3588.0,2400.0,4,1.0,6000.0,10
04:04:2013 ,32400.0,0.0,3600.0,49016.0,0.0,0.0,3,1.0,6900.0,10
04:05:2013 ,55200.0,2400.0,1200.0,46800.0,1200.0,0.0,5,0.0,0.0,10
05:04:2013 ,16799.0,3600.0,6000.0,60707.0,0.0,0.0,4,0.0,6000.0,10
05:05:2013 ,24000.0,0.0,0.0,57600.0,0.0,1200.0,-1,0.0,0.0,10
06:04:2013 ,83962.0,2405.0,1200.0,0.0,0.0,1200.0,5,0.0,0.0,10
06:05:2013 ,9600.0,4800.0,2400.0,49200.0,0.0,3600.0,0,1.0,7800.0,10
07:04:2013 ,1199.0,7197.0,0.0,90003.0,0.0,0.0,-1,0.0,0.0,10
07:05:2013 ,6000.0,12000.0,4800.0,63000.0,0.0,0.0,1,1.0,10500.0,10
08:04:2013 ,6000.0,3600.0,4800.0,57600.0,0.0,0.0,0,1.0,7800.0,10
08:05:2013 ,14402.0,10800.0,13198.0,48000.0,0.0,1200.0,2,1.0,14400.0,10
09:04:2013 ,19201.0,2399.0,3600.0,60000.0,0.0,0.0,1,1.0,10500.0,10
09:05:2013 ,38997.0,3000.0,1200.0,46203.0,0.0,6600.0,3,1.0,6900.0,10
10:04:2013 ,14398.0,0.0,3600.0,67202.0,0.0,1200.0,2,1.0,14400.0,10
10:05:2013 ,12628.0,7179.0,3000.0,53993.0,0.0,0.0,4,1.0,6000.0,10
