date,home_time,school_time,travel_time,recreational_activities,orthers,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:05:2013,600.0,8405.0,38997.0,0.0,0.0,0.0,0.0,2,0.0,10800.0,14,"Anonymous Hall,Vail Dartmouth Medical School,North Main Street,North Main Street,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:04:2013,0.0,237600.0,0.0,0.0,0.0,0.0,0.0,1,0.0,6900.0,14,Sudikoff Hall
02:05:2013,0.0,300370.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,14,Sudikoff Hall
04:04:2013,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,14,"Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,0.0,114000.0,0.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:05:2013,80887.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,0
06:04:2013,0.0,0.0,318003.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,0
06:05:2013,12600.0,0.0,41769.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"North Main Street,North Main Street,Life Sciences Greenhouse,0"
07:05:2013,1800.0,326629.0,0.0,0.0,0.0,0.0,0.0,1,0.0,6900.0,14,"0,0,Sudikoff Hall,Sudikoff Hall"
10:04:2013,46797.0,54001.0,0.0,0.0,0.0,0.0,0.0,2,0.0,10800.0,14,"Dartmouth College,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:05:2013,4803.0,26398.0,0.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,14,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
11:04:2013,28800.0,14400.0,43200.0,2399.0,0.0,0.0,0.0,3,0.0,6900.0,14,"Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,0,North Main Street"
11:05:2013,43293.0,11699.0,18200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,14,"Anonymous Hall,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall,Sudikoff Hall,0,0"
12:04:2013,1204.0,185122.0,0.0,0.0,0.0,0.0,0.0,4,0.0,9000.0,14,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
12:05:2013,56986.0,44353.0,17987.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0"
13:05:2013,15600.0,0.0,32401.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,"0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Hayden Court Southbound,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dewey Parking Lot"
14:04:2013,12000.0,54000.0,34800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,14,"0,North Main Street,North Main Street,0,0,North Main Street,Sudikoff Hall"
14:05:2013,15600.0,10800.0,27000.0,0.0,34800.0,0.0,0.0,1,0.0,6900.0,14,"Dartmouth-Hitchcock Women's Health Resource Center,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,Sudikoff Hall"
15:04:2013,121200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10800.0,14,0
