date,home_time,school_time,orthers,shopping,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,42000.0,16800.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,"0,Moore Psychology Building"
01:05:2013,61200.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,57,"0,Dartmouth College"
01:06:2013,0.0,24000.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,57,"Moore Psychology Building,0,0"
02:04:2013,0.0,0.0,0.0,82800.0,0.0,0.0,0.0,1,0.0,0.0,57,Hanover Park
02:05:2013,51600.0,46802.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,57,"Moore Psychology Building,0,Moore Psychology Building"
03:04:2013,136821.0,26402.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,57,"Moore Psychology Building,0"
03:05:2013,0.0,45602.0,51598.0,0.0,1200.0,0.0,0.0,4,0.0,0.0,57,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Nugget Arcade,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building"
04:04:2013,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,57,Sanborn House
04:05:2013,49983.0,0.0,0.0,0.0,0.0,9615.0,0.0,5,0.0,0.0,57,"0,0,Hood Museum of Art,0,0"
05:04:2013,50401.0,35678.0,1364.0,0.0,0.0,2400.0,0.0,4,0.0,0.0,57,"0,Boloco,Moore Psychology Building,Dartmouth College,Dartmouth College,Moore Psychology Building,Collis Student Center,Tuk Tuk Thai Cuisine,0,Moore Psychology Building,Moore Psychology Building"
05:05:2013,0.0,0.0,88606.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,57,0
06:04:2013,0.0,297600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,57,Sudikoff Hall
06:05:2013,77997.0,1224.0,0.0,0.0,4798.0,0.0,0.0,0,0.0,0.0,57,"0,0,Moore Psychology Building,0,South Block Parking Garage,South Block Parking Garage"
07:05:2013,43609.0,550234.0,0.0,0.0,2641.0,0.0,0.0,1,0.0,0.0,57,"Moore Psychology Building,Native American House Parking Lot,0,Moore Psychology Building"
09:04:2013,38399.0,3596.0,0.0,0.0,1204.0,6000.0,0.0,1,0.0,0.0,57,"0,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,Berry Library"
10:04:2013,57599.0,21603.0,1198.0,0.0,8401.0,0.0,0.0,2,0.0,0.0,57,"Native American House Parking Lot,Dartmouth College,Dartmouth College,Moore Psychology Building,Emerson House,0,Moore Psychology Building"
11:04:2013,140400.0,16799.0,2400.0,0.0,0.0,0.0,0.0,3,0.0,0.0,57,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Emerson House,0,0,Emerson House,0"
12:04:2013,0.0,34800.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,57,Moore Psychology Building
13:04:2013,220802.0,0.0,2400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,57,"Dartmouth College,0,0"
13:05:2013,1200.0,27600.0,0.0,0.0,0.0,1198.0,0.0,0,0.0,0.0,57,"Hopkins Center for the Arts,Dartmouth College,Moore Psychology Building"
14:05:2013,55200.0,27600.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,57,"0,Dartmouth College,Moore Psychology Building"
15:04:2013,0.0,13201.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,Moore Psychology Building
15:05:2013,45599.0,7201.0,0.0,0.0,14400.0,0.0,0.0,2,0.0,0.0,57,"Native American House Parking Lot,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building"
16:04:2013,53999.0,26400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,57,"Dartmouth College,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building"
16:05:2013,61199.0,45602.0,0.0,0.0,2400.0,0.0,0.0,3,0.0,0.0,57,"Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Native American House,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building"
17:04:2013,54000.0,39592.0,0.0,0.0,1200.0,8.0,0.0,2,0.0,0.0,57,"Hanover Inn Dartmouth,Collis Student Center,Native American House Parking Lot,Moore Psychology Building,0,Moore Psychology Building"
17:05:2013,50400.0,24000.0,0.0,0.0,0.0,1199.0,0.0,4,0.0,0.0,57,"Dartmouth College,Dartmouth College,0,Hood Museum of Art,Moore Psychology Building"
18:04:2013,43200.0,45603.0,8401.0,3599.0,2400.0,0.0,0.0,3,0.0,0.0,57,"Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,0,Hanover Park,0,Moore Psychology Building"
18:05:2013,238005.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,57,0
19:04:2013,33599.0,9603.0,0.0,0.0,0.0,17998.0,0.0,4,0.0,0.0,57,"Berry Library,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,0,Moore Psychology Building,Hanover Inn Dartmouth,Moore Psychology Building"
20:04:2013,3597.0,14400.0,0.0,0.0,98400.0,0.0,0.0,5,0.0,0.0,57,"Dartmouth College,Dartmouth College,Moore Psychology Building,Native American House Parking Lot"
20:05:2013,0.0,37200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57,Moore Psychology Building
21:04:2013,136677.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,57,0
