date,home_time,school_time,travel_time,recreational_activities,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,51605.0,2400.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,20,"Berry Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Goldstein Hall,Dartmouth College"
01:05:2013,43200.0,1200.0,3600.0,0.0,0.0,0.0,2,1.0,11700.0,20,"Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
01:06:2013,10800.0,1200.0,18000.0,0.0,0.0,0.0,5,0.0,0.0,20,"Gilman Parking Lot,Dartmouth College,Dartmouth College,Sudikoff Hall,Gilman Parking Lot"
02:04:2013,61239.0,4800.0,0.0,20399.0,0.0,0.0,1,1.0,7800.0,20,"Dartmouth College,Dartmouth College,Bildner Hall,Alumni Gymnasium,Bildner Hall,Guarini Institute for International Education,Black Family Visual Arts Center,Collis Student Center,Collis Student Center"
02:05:2013,60001.0,0.0,25200.0,0.0,0.0,0.0,3,1.0,3900.0,20,"Dartmouth College,Gilman Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,The Lodge,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,46800.0,26400.0,0.0,14400.0,0.0,0.0,2,0.0,11700.0,20,"Berry Hall,Berry Hall,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Berry Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bildner Hall,Berry Hall,Parker House,Dartmouth College"
03:05:2013,29999.0,3600.0,39602.0,14400.0,0.0,0.0,4,1.0,9000.0,20,"Hood Museum of Art,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Gilman Parking Lot,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Gilman Parking Lot,Dartmouth College,Gilman Parking Lot,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
04:04:2013,66000.0,3600.0,0.0,16800.0,0.0,0.0,3,0.0,3900.0,20,"Dartmouth College,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Berry Hall,Black Family Visual Arts Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
04:05:2013,247218.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Berry Hall"
05:04:2013,63600.0,6000.0,4800.0,10800.0,0.0,0.0,4,1.0,9000.0,20,"Black Family Visual Arts Center,Sudikoff Hall,0,0,Berry Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Dartmouth College"
06:04:2013,66000.0,26400.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Dartmouth College,0,Berry Hall,0,Robinson Hall"
06:05:2013,9535.0,0.0,2394.0,0.0,0.0,0.0,0,1.0,11700.0,20,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
07:04:2013,27600.0,42000.0,0.0,10800.0,0.0,0.0,-1,0.0,0.0,20,"Black Family Visual Arts Center,Collis Student Center,Berry Hall,Class of 1953 Commons,Black Family Visual Arts Center,Black Family Visual Arts Center"
07:05:2013,10820.0,55254.0,30000.0,0.0,0.0,0.0,1,0.0,7800.0,20,"Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Dartmouth College,The Lodge,Dartmouth College,Sudikoff Hall"
08:04:2013,54000.0,32400.0,0.0,0.0,0.0,0.0,0,0.0,11700.0,20,"Collis Student Center,Class of 1953 Commons,Sudikoff Hall,Bildner Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Dartmouth College"
08:05:2013,8311.0,37181.0,31195.0,0.0,0.0,0.0,2,0.0,11700.0,20,"Berry Hall,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Gilman Parking Lot,Dartmouth College"
09:04:2013,57600.0,12000.0,3600.0,12000.0,0.0,0.0,1,0.0,7800.0,20,"Dartmouth College,Bildner Hall,Bildner Hall,Class of 1953 Commons,Class of 1953 Commons,Black Family Visual Arts Center,0,Collis Student Center,Parkhurst Hall,Berry Hall,Black Family Visual Arts Center,South Block Parking Garage,South Block Parking Garage"
09:05:2013,7183.0,26435.0,32401.0,19241.0,0.0,0.0,3,0.0,3900.0,20,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall,Gilman Parking Lot,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts"
10:04:2013,51600.0,3600.0,0.0,33600.0,0.0,0.0,2,1.0,11700.0,20,"Sudikoff Hall,Berry Hall,Berry Hall,Black Family Visual Arts Center,Sudikoff Hall,0,Berry Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
10:05:2013,8342.0,22801.0,44562.0,11935.0,0.0,0.0,4,0.0,9000.0,20,"Black Family Visual Arts Center,Hood Museum of Art,Sudikoff Hall,Gilman Parking Lot,Dartmouth College,Collis Student Center,Gilman Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Gilman Parking Lot,Gilman Parking Lot,Dartmouth College"
11:04:2013,61200.0,6000.0,0.0,16800.0,0.0,0.0,3,0.0,3900.0,20,"Berry Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Class of 1953 Commons,Class of 1953 Commons,Berry Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,32413.0,0.0,60000.0,0.0,0.0,0.0,5,0.0,0.0,20,"Dartmouth College,Berry Hall,Dartmouth College,Gilman Parking Lot"
12:04:2013,49200.0,26400.0,0.0,12000.0,0.0,0.0,4,0.0,9000.0,20,"Berry Hall,Black Family Visual Arts Center,Collis Student Center,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Berry Hall,Dartmouth College"
12:05:2013,1200.0,19200.0,68400.0,2400.0,0.0,0.0,-1,0.0,0.0,20,"Sudikoff Hall,Gilman Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Gilman Parking Lot,Sudikoff Hall,Gilman Parking Lot"
