date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,81604.0,6000.0,2400.0,0.0,0.0,0.0,0,1.0,3900.0,5,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
01:05:2013,61198.0,3601.0,12000.0,7201.0,0.0,0.0,2,0.0,3900.0,5,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth College,Ledyard Parking Lot,Floren Varsity House,Floren Varsity House,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,79200.0,1195.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,5,"Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,North Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
02:05:2013,70801.0,1199.0,2400.0,10800.0,0.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,McNutt Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:04:2013,70802.0,3598.0,9600.0,0.0,2400.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,0,0,Alumni Gymnasium"
03:05:2013,177414.0,3599.0,0.0,0.0,10800.0,0.0,4,1.0,3000.0,5,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Friends of Dartmouth Rowing Boathouse,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,68403.0,7197.0,7200.0,0.0,3600.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,North Hall,North Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Bartlett Hall,0,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,73198.0,3600.0,9602.0,0.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,0,0,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,64800.0,0.0,0.0,1388.0,3599.0,0.0,-1,0.0,0.0,5,"Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Topliff Hall,Dartmouth College"
06:04:2013,102000.0,0.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,The Lodge,Martha E. Diebold Real Estate,Dartmouth College"
