date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,7200.0,19196.0,8400.0,40800.0,0.0,0.0,0,0.0,0.0,32,"0,0,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Sudikoff Hall"
01:05:2013,67074.0,0.0,20516.0,0.0,0.0,0.0,2,0.0,0.0,32,"Wilder Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,76872.0,2343.0,1138.0,15641.0,0.0,0.0,1,0.0,0.0,32,"Dartmouth College,0,North Main Street,Sudikoff Hall,Dartmouth College,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,0,0"
02:05:2013,36000.0,31303.0,0.0,18000.0,0.0,0.0,3,0.0,0.0,32,"Irving,Scott Avenue,0,North Main Street,0"
03:04:2013,34806.0,0.0,0.0,44400.0,0.0,0.0,2,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
03:05:2013,203894.0,0.0,4016.0,0.0,0.0,0.0,4,0.0,0.0,32,"0,Dartmouth College,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse"
04:04:2013,40248.0,0.0,7761.0,35991.0,0.0,0.0,3,0.0,0.0,32,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,0,Sudikoff Hall,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dewey Parking Lot"
05:04:2013,15597.0,0.0,15603.0,55200.0,0.0,0.0,4,0.0,0.0,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Dartmouth College,Dartmouth College,0,North Main Street,Dartmouth College,North Main Street,0,North Main Street,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College"
05:05:2013,104400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,32,"0,0"
06:04:2013,38400.0,0.0,2400.0,51928.0,0.0,0.0,5,0.0,0.0,32,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,0"
06:05:2013,25212.0,0.0,4800.0,0.0,0.0,0.0,0,0.0,0.0,32,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Sudikoff Hall,Guarini Institute for International Education"
07:04:2013,25201.0,2399.0,0.0,46800.0,2400.0,2400.0,-1,0.0,0.0,32,"Roberts Flowers of Hanover,Roberts Flowers of Hanover,Dartmouth College,Dartmouth College,0,Berry Sports Center,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street"
07:05:2013,80400.0,0.0,7200.0,0.0,0.0,0.0,1,0.0,0.0,32,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,0"
08:04:2013,49392.0,0.0,7200.0,28608.0,0.0,1520.0,0,0.0,0.0,32,"0,North Main Street,0,0,North Main Street,Sudikoff Hall,Dartmouth College,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Roberts Flowers of Hanover"
08:05:2013,33598.0,0.0,6002.0,45600.0,0.0,0.0,2,0.0,0.0,32,"North Main Street,Wilder Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dewey Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
