,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,51601.0,2400.0,6000.0,2399.0,0.0,0.0,0.0,1.0,11700.0,28.0,"Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Thornton Hall,Bartlett Hall,Dartmouth College",19079.0,4327.0,50.0,596.21875,950.6187368566344,151.75,307.5,534.25,32.0,,4801.0,1201.0,1200.0,1200.25,0.5,1200.0,1200.0,1200.25,4.0,
01:05:2013,75600.0,0.0,7200.0,0.0,0.0,0.0,2.0,1.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Bartlett Hall",25813.0,3976.0,60.0,526.795918367347,663.3564897421244,171.0,303.0,697.0,49.0,,4797.0,1200.0,1197.0,1199.25,1.5,1199.25,1200.0,1200.0,4.0,
01:06:2013,7203.0,0.0,2397.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall",6362.0,666.0,80.0,276.60869565217394,191.26130130137165,151.0,201.0,322.5,23.0,,,,,,,,,,,
02:04:2013,88800.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,28.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall",14858.0,6286.0,41.0,512.3448275862069,1163.39669796991,111.0,192.0,322.0,29.0,,6000.0,2400.0,1200.0,1500.0,600.0,1200.0,1200.0,1500.0,4.0,
02:05:2013,60000.0,0.0,26400.0,0.0,0.0,0.0,3.0,0.0,7800.0,28.0,"Bartlett Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Wentworth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",17402.0,3630.0,30.0,457.9473684210527,734.6058309629591,101.0,231.5,451.25,38.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
03:04:2013,62404.0,0.0,20396.0,0.0,1200.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,Dartmouth Hall,Dartmouth Hall,Thornton Hall,Bartlett Hall,Thornton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wide Babelki Bowl,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Bartlett Hall,Bartlett Hall,Dartmouth College",27180.0,4044.0,40.0,604.0,1025.8267619118471,141.0,262.0,424.0,45.0,1.0,8352.0,2400.0,1152.0,1392.0,494.190246767376,1200.0,1200.0,1200.0,6.0,1.0
03:05:2013,78728.0,0.0,9600.0,0.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Ripley Hall,Ripley Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall",17151.0,4854.0,51.0,686.04,999.0679189457876,171.0,282.0,767.0,25.0,,,,,,,,,,,
04:04:2013,76801.0,2400.0,7199.0,0.0,0.0,0.0,3.0,0.0,7800.0,28.0,"Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Hopkins Center for the Arts,0,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",21600.0,4054.0,40.0,514.2857142857143,833.4134419103128,163.5,262.5,353.0,42.0,1.0,7200.0,2400.0,1200.0,1440.0,536.6563145999495,1200.0,1200.0,1200.0,5.0,1.0
04:05:2013,108054.0,0.0,13195.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,"Bartlett Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Collis Student Center,Robinson Hall,Robinson Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall",9559.0,1210.0,50.0,318.6333333333333,292.1279223020383,121.0,191.5,454.0,30.0,,,,,,,,,,,
05:04:2013,68400.0,0.0,18000.0,0.0,0.0,0.0,4.0,0.0,9000.0,28.0,"Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Bartlett Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College",31013.0,4347.0,71.0,886.0857142857143,1291.4495816131343,171.5,302.0,714.0,35.0,1.0,8400.0,2400.0,1200.0,1400.0,489.8979485566357,1200.0,1200.0,1200.0,6.0,1.0
05:05:2013,72000.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall",7616.0,2502.0,50.0,331.1304347826087,493.05995434335887,136.0,192.0,343.0,23.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
06:04:2013,130800.0,0.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,28.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall",12351.0,1180.0,41.0,352.8857142857143,278.0415512143476,130.5,232.0,575.0,35.0,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
06:05:2013,58800.0,0.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College",29954.0,4266.0,60.0,525.5087719298245,799.2492040035139,131.0,262.0,475.0,57.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
07:04:2013,73200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,28.0,"Ripley Hall,Ripley Hall",4204.0,524.0,71.0,262.75,146.24978632463024,146.0,237.0,350.75,16.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
08:04:2013,148732.0,0.0,9600.0,0.0,0.0,0.0,0.0,0.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Thornton Hall,Bartlett Hall,Ripley Hall",26446.0,4296.0,40.0,508.5769230769231,671.1180705025405,169.5,332.5,526.75,52.0,0.0,7200.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,6.0,3.0
08:05:2013,69604.0,0.0,10796.0,0.0,0.0,0.0,2.0,0.0,11700.0,28.0,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College",19191.0,4155.0,40.0,834.3913043478261,1174.6233724874012,141.5,333.0,660.5,23.0,2.0,3523.0,1203.0,1120.0,1174.3333333333333,47.07794954470015,1160.0,1200.0,1201.5,3.0,4.0
