,home_time,school_time,shopping,orthers,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,76801.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",15688.0,4339.0,60.0,461.4117647058824,761.3447480031257,143.5,201.5,506.5,34.0,1.0,,,,,,,,,,2.2
01:05:2013,82800.0,0.0,1200.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",17850.0,4316.0,40.0,1275.0,1351.10006461971,151.5,912.5,2035.0,14.0,,2357.0,1200.0,1157.0,1178.5,30.405591591021544,1167.75,1178.5,1189.25,2.0,
01:06:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,Ripley Hall,,,,,,,,,,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
02:04:2013,85204.0,0.0,0.0,1198.0,0.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hanover Post Office,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",29935.0,3016.0,61.0,610.9183673469388,718.12057473933,142.0,313.0,716.0,49.0,1.0,1201.0,1201.0,1201.0,1201.0,,1201.0,1201.0,1201.0,1.0,2.5
02:05:2013,84000.0,0.0,0.0,0.0,1200.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",19594.0,3177.0,40.0,477.9024390243902,704.8778193729055,131.0,232.0,363.0,41.0,1.0,,,,,,,,,,1.0
03:04:2013,78000.0,8401.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",20076.0,4418.0,60.0,627.375,982.1312490306888,82.5,131.0,829.25,32.0,2.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,3.5
03:05:2013,86401.0,0.0,1199.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Observatory Road,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",17601.0,1785.0,61.0,419.07142857142856,445.2837622458971,153.5,254.0,479.0,42.0,1.0,,,,,,,,,,1.0
04:04:2013,79201.0,4800.0,0.0,0.0,1199.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Ripley Hall,Smith Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",25323.0,3338.0,41.0,684.4054054054054,841.4349997824305,222.0,312.0,626.0,37.0,1.0,5799.0,2361.0,1038.0,1449.75,612.2811854042226,1159.5,1200.0,1490.25,4.0,1.75
04:05:2013,91200.0,3600.0,0.0,0.0,3600.0,1200.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Sphinx Secret Society,Ripley Hall,Ripley Hall,Dartmouth College,Alumni Gymnasium,South Fayerweather Hall,Dartmouth College",9819.0,1756.0,40.0,288.79411764705884,383.7099424882673,91.0,146.0,355.25,34.0,,2316.0,1200.0,1116.0,1158.0,59.39696961966999,1137.0,1158.0,1179.0,2.0,
05:04:2013,81603.0,5997.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Guarini Institute for International Education,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",22062.0,4065.0,30.0,432.5882352941176,739.9487056944038,156.0,282.0,404.0,51.0,1.0,999.0,999.0,999.0,999.0,,999.0,999.0,999.0,1.0,1.25
