,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,2400.0,16800.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",19963.0,5033.0,80.0,1330.8666666666666,1746.690497838153,237.0,454.0,1524.0,15.0,,13194.0,10795.0,1199.0,4398.0,5539.964530572375,1199.5,1200.0,5997.5,3.0,
01:05:2013,8432.0,63475.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Reed Hall,House Center B",14716.0,3855.0,50.0,490.53333333333336,810.3664872624983,88.25,262.0,370.5,30.0,0.0,3440.0,1262.0,980.0,1146.6666666666667,147.8422582800105,1089.0,1198.0,1230.0,3.0,3.0
02:04:2013,19200.0,69600.0,6000.0,1200.0,0.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,Mass Parking Lot,House Center B,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",7130.0,1301.0,51.0,297.0833333333333,273.1147101998284,116.0,227.0,342.25,24.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
02:05:2013,74396.0,2457.0,3640.0,0.0,0.0,0.0,3.0,1.0,6900.0,18.0,"House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sanborn House",7833.0,1189.0,50.0,313.32,304.586977178386,131.0,211.0,332.0,25.0,0.0,3682.0,1301.0,1098.0,1227.3333333333333,112.36695837003568,1190.5,1283.0,1292.0,3.0,3.0
03:04:2013,7188.0,63612.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Kemeny Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hallgarten Hall,Hallgarten Hall",24953.0,8713.0,40.0,1663.5333333333333,2266.627225847334,206.5,797.0,2370.5,15.0,,9601.0,9601.0,9601.0,9601.0,,9601.0,9601.0,9601.0,1.0,
03:05:2013,7238.0,77928.0,2434.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"House Center B,House Center B,Dartmouth College,House Center B,House Center B,Wentworth Hall,Wentworth Hall,Dartmouth College,Guarini Institute for International Education,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",20260.0,3792.0,60.0,1013.0,1361.4018703643603,117.75,211.5,1530.75,20.0,,5073.0,1326.0,1200.0,1268.25,54.432680134884656,1239.75,1273.5,1302.0,4.0,
04:04:2013,66000.0,13200.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",14039.0,2935.0,51.0,539.9615384615385,579.7375599886025,148.5,433.0,706.0,26.0,,1205.0,1200.0,1.0,401.6666666666667,691.3785745402682,2.5,4.0,602.0,3.0,
04:05:2013,0.0,178473.0,1101.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Hopkins Center for the Arts,House Center B",8833.0,1412.0,51.0,401.5,337.14526330860497,156.0,287.5,559.75,22.0,0.0,,,,,,,,,,3.0
05:04:2013,39600.0,43200.0,0.0,3600.0,0.0,0.0,4.0,0.0,6000.0,18.0,"0,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Kemeny Hall",22598.0,5274.0,50.0,941.5833333333334,1472.0516566038518,224.25,363.0,738.5,24.0,,2228.0,1201.0,1.0,742.6666666666666,648.2347825698134,513.5,1026.0,1113.5,3.0,
06:04:2013,0.0,84002.0,0.0,4799.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,House Center B,Sudikoff Hall,House Center B,House Center B,Mass Parking Lot,House Center B,House Center B,Sudikoff Hall",22099.0,5608.0,61.0,960.8260869565216,1318.9930957216056,161.0,433.0,1175.0,23.0,,11860.0,8402.0,1.0,1694.2857142857142,3013.6310166909793,1.0,1057.0,1199.0,7.0,
06:05:2013,68481.0,10120.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",13173.0,3742.0,51.0,878.2,1155.484759125549,146.5,505.0,787.0,15.0,,1684.0,669.0,505.0,561.3333333333334,93.27557736799774,507.5,510.0,589.5,3.0,
07:04:2013,42000.0,59999.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Sudikoff Hall,House Center B,House Center B,Dartmouth College",7855.0,3307.0,61.0,1122.142857142857,1377.7321254597389,125.5,404.0,1916.0,7.0,,1006.0,1006.0,1006.0,1006.0,,1006.0,1006.0,1006.0,1.0,
08:04:2013,2400.0,74400.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"House Center B,Dartmouth College,House Center B,House Center B,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,House Center B",9935.0,3924.0,353.0,1655.8333333333333,1471.0860500550832,541.75,1129.5,2572.25,6.0,,,,,,,,,,,
08:05:2013,3600.0,66001.0,0.0,5399.0,0.0,0.0,2.0,0.0,14400.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Mass Parking Lot,Collis Student Center,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall,House Center B",21090.0,4024.0,50.0,620.2941176470588,927.2473283019676,123.5,362.5,586.5,34.0,0.0,3005.0,660.0,512.0,601.0,55.74047003748713,600.0,600.0,633.0,5.0,3.0
09:04:2013,1200.0,150000.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Dartmouth College,House Center B",5898.0,1190.0,70.0,368.625,379.8696048207419,97.75,196.5,487.0,16.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
