,home_time,orthers,school_time,travel_time,working,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:05:2013,8402.0,81598.0,6000.0,63600.0,4800.0,0.0,0.0,2.0,1.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot,F Lot Parking,Maynard Parking Lot,Wheelock Office Park,Life Sciences Greenhouse,Lebanon Street",18556.0,1997.0,60.0,742.24,682.2908886000653,131.0,484.0,1483.0,25.0,,8004.0,1198.0,1.0,1000.5,411.344832748111,1086.5,1159.5,1198.0,8.0,
02:04:2013,0.0,0.0,64800.0,0.0,15601.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Sudikoff Hall,Wheelock Office Park",34415.0,5627.0,60.0,1110.1612903225807,1310.630054510023,176.0,645.0,1346.0,31.0,2.0,27053.0,14398.0,1197.0,3864.714285714286,4745.835567958001,1200.0,2400.0,3329.0,7.0,5.0
02:05:2013,1200.0,0.0,0.0,0.0,4800.0,0.0,0.0,3.0,1.0,6900.0,43.0,"Wheelock Office Park,Life Sciences Greenhouse",,,,,,,,,,,11709.0,2329.0,1099.0,1301.0,387.1117409741017,1159.0,1196.0,1200.0,9.0,
03:04:2013,0.0,0.0,64799.0,0.0,6000.0,8385.0,1215.0,2.0,0.0,14400.0,43.0,"Six South Street,Six South Street,Chew & Co. Design,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Wheelock Office Park,Class of 1978 Life Sciences Center",29129.0,4860.0,41.0,662.0227272727273,893.4577328568439,111.0,262.0,935.5,44.0,2.0,4804.0,1204.0,1200.0,1201.0,2.0,1200.0,1200.0,1201.0,4.0,5.0
03:05:2013,62399.0,2400.0,12001.0,0.0,12000.0,0.0,0.0,4.0,0.0,6000.0,43.0,"Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park",2693.0,748.0,182.0,538.6,220.05408426111975,514.0,564.0,685.0,5.0,,5972.0,1200.0,1.0,995.3333333333334,487.2599579964136,1178.25,1200.0,1200.0,6.0,
04:04:2013,0.0,0.0,26420.0,38395.0,17863.0,0.0,0.0,3.0,0.0,6900.0,43.0,"Anonymous Hall,Anonymous Hall,0,0,Dana Circle Parking Lot,Anonymous Hall,Anonymous Hall,Anonymous Hall,Vail Dartmouth Medical School,Wheelock Office Park,Class of 1978 Life Sciences Center",18855.0,5244.0,51.0,1047.5,1473.0904788313342,113.5,463.5,1240.0,18.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.5
04:05:2013,15703.0,0.0,155790.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall",7906.0,947.0,70.0,439.22222222222223,301.1621715866242,176.0,409.0,673.25,18.0,,6053.0,2404.0,1163.0,1513.25,596.1629391366089,1189.25,1243.0,1567.0,4.0,
05:04:2013,4795.0,1200.0,57606.0,0.0,26843.0,0.0,0.0,4.0,0.0,6000.0,43.0,"Hanover Post Office,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wheelock Office Park,Anonymous Hall,Wheelock Office Park,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall",36861.0,5799.0,40.0,921.525,1402.0881860319116,108.25,298.0,736.0,40.0,2.0,8788.0,7589.0,1199.0,4394.0,4518.412331782039,2796.5,4394.0,5991.5,2.0,4.0
06:04:2013,4798.0,0.0,70801.0,0.0,10800.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Wheelock Office Park",26333.0,4075.0,60.0,711.7027027027027,852.9041194278152,212.0,473.0,786.0,37.0,2.0,6002.0,2410.0,1192.0,1500.5,606.3450612756183,1198.0,1200.0,1502.5,4.0,4.0
06:05:2013,14707.0,0.0,1202.0,48891.0,26400.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Wheelock Office Park,Sudikoff Hall,Byrne II Hall,0,Wheelock Office Park,Wheelock Office Park,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College",6765.0,2652.0,50.0,451.0,650.8885136049469,101.0,202.0,539.0,15.0,,20049.0,6003.0,980.0,2506.125,2194.1727655314658,1191.25,1200.0,3227.25,8.0,
