,level,resp_time
1,1.0,2013-03-31 22:14:09
6,1.0,2013-03-30 22:00:20
7,1.0,2013-04-04 00:14:49
8,1.0,2013-04-03 00:57:25
9,1.0,2013-04-03 07:12:13
10,1.0,2013-04-04 06:10:14
11,1.0,2013-04-05 07:08:29
12,3.0,2013-04-06 00:45:20
13,2.0,2013-04-06 07:28:27
14,2.0,2013-04-07 02:08:11
15,3.0,2013-04-08 02:53:16
16,1.0,2013-04-09 04:57:14
17,1.0,2013-04-09 08:24:56
18,2.0,2013-04-13 03:52:47
19,2.0,2013-04-16 04:24:06
20,1.0,2013-04-10 01:00:08
21,1.0,2013-04-18 09:35:06
22,1.0,2013-04-10 22:08:06
23,2.0,2013-04-17 04:08:34
24,2.0,2013-04-11 22:24:52
25,2.0,2013-04-12 22:08:32
26,3.0,2013-04-12 18:39:06
27,2.0,2013-04-14 02:32:31
28,2.0,2013-04-17 08:55:44
29,1.0,2013-04-14 23:37:38
30,2.0,2013-04-15 23:18:27
31,2.0,2013-04-16 08:59:24
32,1.0,2013-04-20 08:49:12
33,1.0,2013-04-29 21:59:12
34,1.0,2013-04-29 04:31:17
35,1.0,2013-04-30 01:35:35
36,1.0,2013-04-30 04:11:53
37,1.0,2013-05-01 05:07:59
39,1.0,2013-05-03 05:10:25
40,1.0,2013-05-07 19:25:16
41,1.0,2013-05-09 05:38:45
42,1.0,2013-05-16 02:37:15
43,1.0,2013-05-07 04:37:01
44,1.0,2013-05-06 04:24:22
45,1.0,2013-05-08 08:07:51
46,1.0,2013-05-08 18:32:13
47,1.0,2013-05-16 19:58:40
48,1.0,2013-05-07 08:07:37
49,1.0,2013-05-17 02:57:55
50,1.0,2013-05-17 20:02:30
51,1.0,2013-05-19 19:46:47
52,1.0,2013-05-18 03:08:53
53,1.0,2013-05-19 05:23:35
54,1.0,2013-05-18 19:29:11
55,1.0,2013-05-20 07:52:56
56,1.0,2013-05-20 23:28:58
57,4.0,2013-05-22 05:22:55
58,4.0,2013-05-21 19:29:53
59,1.0,2013-05-23 12:15:00
60,1.0,2013-05-23 23:24:05
61,1.0,2013-05-24 05:27:56
