,level,resp_time
2,1.0,2013-04-02 00:30:46
6,1.0,2013-04-03 17:35:22
7,1.0,2013-03-27 23:51:51
8,1.0,2013-03-28 23:28:45
9,1.0,2013-03-28 18:22:22
10,1.0,2013-03-28 18:22:26
11,2.0,2013-03-29 02:32:31
12,2.0,2013-03-29 06:00:45
13,1.0,2013-03-29 17:21:13
14,1.0,2013-03-29 22:13:59
15,1.0,2013-04-03 06:01:17
16,1.0,2013-03-30 17:15:33
17,4.0,2013-03-31 22:00:06
18,4.0,2013-03-30 22:57:55
19,4.0,2013-03-30 06:04:13
20,1.0,2013-03-30 17:15:33
21,1.0,2013-03-30 17:15:33
22,1.0,2013-03-31 17:12:21
23,4.0,2013-04-01 02:39:37
24,1.0,2013-04-03 00:42:57
25,1.0,2013-04-04 06:31:55
26,1.0,2013-04-05 00:03:12
27,1.0,2013-04-08 20:01:31
28,1.0,2013-04-05 06:01:51
29,1.0,2013-04-06 01:10:06
30,1.0,2013-04-06 01:10:52
31,4.0,2013-04-06 09:21:42
32,1.0,2013-04-07 02:02:18
33,4.0,2013-04-07 04:16:11
34,1.0,2013-04-08 02:52:37
35,1.0,2013-04-09 09:03:19
36,1.0,2013-04-09 23:15:05
37,1.0,2013-04-10 02:36:10
38,1.0,2013-04-10 22:01:03
39,1.0,2013-04-12 22:41:08
40,1.0,2013-04-13 22:01:39
41,1.0,2013-04-14 21:59:55
42,1.0,2013-04-17 08:33:31
43,1.0,2013-04-18 04:01:18
44,1.0,2013-04-18 08:07:10
45,1.0,2013-04-20 05:03:43
46,1.0,2013-04-26 17:59:33
47,1.0,2013-04-30 04:00:37
48,1.0,2013-05-01 05:01:08
