,level,resp_time
9,5.0,2013-04-03 06:57:11
10,4.0,2013-04-04 00:14:30
11,5.0,2013-04-03 02:36:18
12,5.0,2013-04-02 12:10:05
13,5.0,2013-04-03 02:27:25
14,1.0,2013-04-04 06:35:44
15,4.0,2013-04-05 00:58:47
16,4.0,2013-04-05 06:29:02
17,4.0,2013-04-06 00:11:58
18,2.0,2013-04-08 02:07:51
19,4.0,2013-04-09 05:53:57
20,4.0,2013-04-13 23:14:39
21,4.0,2013-04-13 23:13:46
22,1.0,2013-04-14 22:11:55
23,1.0,2013-04-23 09:48:54
24,4.0,2013-04-26 19:05:02
25,1.0,2013-04-29 00:51:40
26,1.0,2013-04-29 04:26:40
27,4.0,2013-05-08 09:15:06
28,3.0,2013-05-08 04:30:12
29,1.0,2013-05-13 19:40:39
30,1.0,2013-05-13 19:40:26
31,4.0,2013-05-14 17:41:49
32,4.0,2013-05-14 17:42:43
33,5.0,2013-05-15 21:34:15
34,1.0,2013-05-08 19:54:20
35,4.0,2013-05-19 19:51:08
36,4.0,2013-05-21 05:00:39
37,4.0,2013-05-22 11:06:59
