,level,resp_time
2,1.0,2013-03-30 22:00:45
6,1.0,2013-03-27 07:23:24
7,1.0,2013-03-29 20:34:22
8,1.0,2013-03-27 19:28:55
9,4.0,2013-03-27 22:23:23
10,1.0,2013-03-28 07:24:33
11,1.0,2013-03-28 22:24:20
12,1.0,2013-03-29 22:19:56
13,2.0,2013-03-30 19:10:53
14,1.0,2013-04-01 08:33:23
15,1.0,2013-04-02 07:51:04
16,1.0,2013-04-03 00:18:18
17,2.0,2013-04-03 06:12:05
18,1.0,2013-04-04 00:17:41
19,1.0,2013-04-04 06:00:08
20,2.0,2013-04-04 08:14:08
21,2.0,2013-04-08 08:32:10
22,1.0,2013-04-05 00:36:36
23,2.0,2013-04-05 06:33:16
24,2.0,2013-04-06 06:32:39
25,3.0,2013-04-07 09:36:40
26,2.0,2013-04-08 20:18:42
27,1.0,2013-04-09 04:55:27
28,1.0,2013-04-09 03:27:27
29,1.0,2013-04-09 08:20:28
30,2.0,2013-04-09 22:11:07
31,2.0,2013-04-11 22:23:13
32,2.0,2013-04-10 22:19:15
33,2.0,2013-04-11 09:01:57
34,2.0,2013-04-17 08:04:22
35,1.0,2013-04-12 22:18:01
36,2.0,2013-04-13 22:13:27
37,2.0,2013-04-16 08:54:36
38,1.0,2013-04-15 00:21:18
39,2.0,2013-04-14 04:16:50
40,1.0,2013-04-15 18:26:12
41,2.0,2013-04-15 20:01:31
42,2.0,2013-04-16 05:06:52
43,2.0,2013-04-17 05:57:03
44,2.0,2013-04-18 09:15:46
45,2.0,2013-04-18 04:00:27
46,1.0,2013-04-19 08:44:44
47,2.0,2013-04-21 08:13:25
48,1.0,2013-04-23 07:44:51
49,3.0,2013-04-29 07:54:28
50,2.0,2013-04-25 18:15:34
51,1.0,2013-04-26 18:04:38
52,2.0,2013-04-29 00:02:59
53,3.0,2013-04-29 20:00:01
54,2.0,2013-05-01 09:28:03
55,2.0,2013-05-02 06:54:17
56,1.0,2013-05-03 05:03:29
57,1.0,2013-05-06 07:31:51
58,2.0,2013-05-09 22:03:11
59,3.0,2013-05-07 04:18:44
60,1.0,2013-05-15 02:31:56
61,2.0,2013-05-08 04:51:02
62,3.0,2013-05-08 08:00:08
63,1.0,2013-05-14 08:15:23
64,3.0,2013-05-16 07:29:55
65,1.0,2013-05-04 02:48:55
66,3.0,2013-05-07 19:10:01
67,2.0,2013-05-09 04:16:39
68,1.0,2013-05-05 07:54:12
69,4.0,2013-05-15 19:14:20
70,1.0,2013-05-08 18:00:21
71,2.0,2013-05-13 20:27:19
72,1.0,2013-05-16 02:18:27
73,3.0,2013-05-17 02:07:40
74,4.0,2013-05-12 09:06:17
75,3.0,2013-05-17 07:25:46
76,4.0,2013-05-19 19:25:04
77,3.0,2013-05-18 03:58:01
78,4.0,2013-05-20 08:26:20
79,1.0,2013-05-20 19:43:56
80,1.0,2013-05-21 09:12:30
81,1.0,2013-05-21 06:01:30
82,1.0,2013-05-22 04:13:29
83,1.0,2013-05-21 19:14:56
84,4.0,2013-05-22 19:19:53
85,4.0,2013-05-22 08:10:55
86,2.0,2013-05-23 07:43:49
87,1.0,2013-05-24 04:49:10
88,3.0,2013-05-23 19:22:13
89,4.0,2013-05-24 20:04:12
90,1.0,2013-05-25 04:07:36
91,3.0,2013-05-25 08:23:25
92,5.0,2013-05-31 07:12:40
93,2.0,2013-05-26 09:53:09
94,4.0,2013-05-29 18:31:45
95,4.0,2013-06-01 07:06:41
