,level,resp_time
2,1.0,2013-04-02 10:42:51
3,5.0,2013-04-02 10:42:53
7,5.0,2013-04-03 08:22:11
8,4.0,2013-04-04 00:50:57
9,4.0,2013-04-03 08:22:13
10,5.0,2013-04-05 07:08:11
11,4.0,2013-04-06 00:01:13
12,1.0,2013-04-06 06:03:32
13,4.0,2013-04-08 17:55:14
14,5.0,2013-04-08 20:51:49
15,1.0,2013-04-09 04:00:09
16,5.0,2013-04-16 08:08:46
17,5.0,2013-04-12 22:03:58
18,5.0,2013-04-13 22:09:58
19,5.0,2013-04-14 22:00:05
20,5.0,2013-04-16 08:13:47
21,5.0,2013-04-18 08:18:19
22,4.0,2013-04-29 20:40:41
23,1.0,2013-05-08 18:09:57
24,1.0,2013-05-06 04:30:57
25,1.0,2013-05-05 21:59:28
26,4.0,2013-05-08 04:06:17
27,1.0,2013-05-05 21:59:28
28,1.0,2013-05-07 18:03:24
29,2.0,2013-05-18 02:00:11
30,1.0,2013-05-20 04:20:54
31,3.0,2013-05-20 19:14:35
32,1.0,2013-05-25 05:55:17
