,level,resp_time
0,4.0,2013-03-31 23:26:00
6,1.0,2013-03-30 22:28:29
7,1.0,2013-03-27 22:37:42
8,1.0,2013-03-28 23:30:46
9,1.0,2013-03-29 22:00:55
10,2.0,2013-04-03 00:39:00
11,1.0,2013-04-02 17:49:24
12,1.0,2013-04-04 00:04:19
13,4.0,2013-04-03 16:14:03
14,1.0,2013-04-03 22:01:26
15,1.0,2013-04-04 22:00:54
16,3.0,2013-04-08 23:02:40
17,4.0,2013-04-05 01:33:43
18,4.0,2013-04-06 01:13:19
19,1.0,2013-04-05 23:34:01
20,1.0,2013-04-07 21:09:36
21,2.0,2013-04-08 00:04:16
22,2.0,2013-04-08 03:52:04
23,2.0,2013-04-08 21:19:11
24,1.0,2013-04-09 04:00:30
25,3.0,2013-04-11 02:58:33
26,1.0,2013-04-09 19:27:22
27,1.0,2013-04-10 02:31:22
28,2.0,2013-04-10 04:48:55
29,1.0,2013-04-11 23:13:56
30,3.0,2013-04-10 20:00:24
31,3.0,2013-04-10 22:37:26
32,1.0,2013-04-13 22:35:50
33,4.0,2013-04-12 23:47:00
34,1.0,2013-04-12 06:46:21
35,3.0,2013-04-15 06:38:15
36,3.0,2013-04-14 00:40:27
37,1.0,2013-04-14 22:00:57
38,2.0,2013-04-14 20:19:34
39,1.0,2013-04-16 02:39:18
40,1.0,2013-04-16 04:01:16
41,1.0,2013-04-17 04:03:27
42,1.0,2013-04-18 04:00:26
43,2.0,2013-04-18 20:43:29
44,1.0,2013-04-18 02:34:52
45,2.0,2013-04-18 08:56:17
46,2.0,2013-04-19 06:17:35
47,2.0,2013-04-19 16:06:10
48,3.0,2013-04-19 19:30:05
49,2.0,2013-04-20 06:13:05
50,3.0,2013-04-21 20:37:33
51,3.0,2013-04-22 02:09:58
52,3.0,2013-04-22 02:10:04
53,3.0,2013-04-21 20:18:10
54,3.0,2013-04-30 04:00:57
55,1.0,2013-04-23 16:16:28
56,3.0,2013-04-26 06:14:26
57,3.0,2013-04-26 18:02:17
58,3.0,2013-04-28 18:23:31
59,3.0,2013-04-29 00:30:41
60,3.0,2013-04-28 20:05:35
61,3.0,2013-04-29 04:13:25
62,3.0,2013-04-29 20:46:26
63,4.0,2013-04-30 17:12:49
64,3.0,2013-04-30 00:00:16
65,1.0,2013-05-02 05:09:39
66,1.0,2013-05-02 01:39:35
67,1.0,2013-05-02 17:27:12
68,3.0,2013-05-03 06:52:52
69,3.0,2013-05-06 17:17:53
70,2.0,2013-05-09 05:36:26
71,2.0,2013-05-05 00:16:02
72,2.0,2013-05-05 17:10:02
73,3.0,2013-05-06 05:25:29
74,3.0,2013-05-06 05:26:43
75,3.0,2013-05-09 01:10:32
76,4.0,2013-05-11 05:28:27
77,2.0,2013-05-15 02:08:57
78,2.0,2013-05-07 18:18:22
79,1.0,2013-05-12 19:14:04
80,2.0,2013-05-14 02:45:04
81,2.0,2013-05-07 16:12:16
82,3.0,2013-05-10 17:34:20
83,1.0,2013-05-08 04:13:58
84,2.0,2013-05-15 00:10:19
85,4.0,2013-05-15 20:37:55
86,2.0,2013-05-16 03:20:14
87,1.0,2013-05-04 18:19:23
88,3.0,2013-05-07 04:00:12
89,1.0,2013-05-08 18:03:07
90,1.0,2013-05-11 16:34:20
91,1.0,2013-05-11 19:25:16
92,2.0,2013-05-14 19:59:24
93,4.0,2013-05-17 19:25:34
94,1.0,2013-05-18 02:31:00
95,4.0,2013-05-19 20:19:44
96,1.0,2013-05-19 05:39:09
97,1.0,2013-05-18 19:14:10
98,2.0,2013-05-21 02:46:42
99,3.0,2013-05-20 03:19:23
100,1.0,2013-05-20 04:06:37
101,4.0,2013-05-20 03:19:48
102,1.0,2013-05-20 19:29:32
103,3.0,2013-05-21 04:40:49
104,1.0,2013-05-22 05:58:40
105,3.0,2013-05-23 04:18:58
106,1.0,2013-05-22 19:34:01
107,2.0,2013-05-24 04:09:20
108,2.0,2013-05-23 22:48:54
109,1.0,2013-05-24 20:54:41
110,3.0,2013-05-28 05:41:44
111,3.0,2013-05-28 08:18:23
