,level,resp_time
0,3.0,2013-03-30 22:06:35
6,3.0,2013-03-29 22:01:34
7,3.0,2013-03-29 06:01:14
8,3.0,2013-03-31 06:52:53
9,4.0,2013-04-01 06:35:30
10,1.0,2013-03-31 17:43:25
11,4.0,2013-03-31 22:36:02
12,4.0,2013-04-02 18:44:22
13,2.0,2013-04-04 02:04:54
14,3.0,2013-04-03 06:57:58
15,1.0,2013-04-03 00:39:42
16,4.0,2013-04-04 06:01:51
17,2.0,2013-04-05 00:03:18
18,2.0,2013-04-08 20:02:50
19,4.0,2013-04-06 02:08:07
20,1.0,2013-04-06 04:54:22
21,5.0,2013-04-07 02:27:23
22,5.0,2013-04-07 19:05:04
23,4.0,2013-04-08 02:38:21
24,5.0,2013-04-09 08:09:31
25,1.0,2013-04-12 22:00:54
26,5.0,2013-04-10 22:58:24
27,4.0,2013-04-17 08:52:26
28,5.0,2013-04-11 22:54:01
29,1.0,2013-04-16 14:13:46
30,4.0,2013-04-13 06:02:05
31,4.0,2013-04-13 20:01:50
32,5.0,2013-04-13 22:05:43
33,4.0,2013-04-14 22:06:13
34,4.0,2013-04-15 20:29:25
35,3.0,2013-04-18 04:38:21
36,4.0,2013-04-18 08:30:49
37,1.0,2013-04-20 05:01:02
38,5.0,2013-04-23 08:03:05
39,2.0,2013-04-26 18:03:29
40,4.0,2013-04-29 04:00:22
41,5.0,2013-04-30 04:07:35
42,5.0,2013-04-30 00:03:09
43,1.0,2013-05-02 05:00:37
44,4.0,2013-05-01 05:16:29
45,1.0,2013-05-10 07:54:21
46,4.0,2013-05-08 18:59:13
47,3.0,2013-05-04 22:01:23
48,5.0,2013-05-07 18:06:58
49,4.0,2013-05-10 20:10:11
50,3.0,2013-05-07 06:02:00
51,4.0,2013-05-06 04:54:28
52,5.0,2013-05-17 02:11:27
53,1.0,2013-05-13 04:00:35
54,2.0,2013-05-15 02:17:52
55,5.0,2013-05-18 02:06:26
56,5.0,2013-05-18 06:32:54
57,5.0,2013-05-19 20:21:47
58,2.0,2013-05-18 19:43:04
59,1.0,2013-05-20 23:31:11
60,5.0,2013-05-23 04:02:43
61,4.0,2013-05-23 19:14:22
62,4.0,2013-05-24 05:00:36
63,1.0,2013-05-27 00:59:04
64,5.0,2013-05-30 04:56:51
65,2.0,2013-05-31 07:52:44
