,level,resp_time
0,2.0,2013-03-30 02:07:48
1,1.0,2013-04-01 07:19:02
2,1.0,2013-03-31 22:57:17
9,4.0,2013-04-02 02:32:04
10,1.0,2013-04-02 18:56:33
11,2.0,2013-03-28 00:01:02
12,1.0,2013-03-30 02:07:51
13,1.0,2013-03-30 02:07:45
14,4.0,2013-03-30 02:07:49
15,1.0,2013-03-30 04:28:19
16,4.0,2013-03-31 04:07:33
17,4.0,2013-03-31 03:11:14
18,1.0,2013-03-30 23:52:25
19,4.0,2013-03-30 22:01:58
20,1.0,2013-03-31 16:31:29
21,4.0,2013-03-31 17:47:31
22,1.0,2013-04-01 03:35:10
23,4.0,2013-04-03 05:55:20
24,4.0,2013-04-01 08:50:52
25,4.0,2013-04-01 16:32:35
26,4.0,2013-04-03 05:55:19
27,1.0,2013-04-03 00:01:46
28,5.0,2013-04-03 06:19:50
29,4.0,2013-04-04 01:58:01
30,1.0,2013-04-04 18:50:07
31,1.0,2013-04-04 08:01:51
32,1.0,2013-04-04 17:48:38
33,1.0,2013-04-05 01:30:58
34,2.0,2013-04-05 00:11:45
35,1.0,2013-04-05 08:04:55
36,1.0,2013-04-05 16:35:56
37,2.0,2013-04-06 00:15:46
38,4.0,2013-04-06 02:00:50
39,4.0,2013-04-06 07:47:38
40,1.0,2013-04-07 01:59:22
41,4.0,2013-04-06 16:45:23
42,4.0,2013-04-07 17:51:19
43,1.0,2013-04-07 08:05:12
44,1.0,2013-04-08 02:17:43
45,5.0,2013-04-08 04:25:53
46,4.0,2013-04-08 05:50:48
47,4.0,2013-04-08 16:30:31
48,4.0,2013-04-09 02:14:23
49,1.0,2013-04-15 02:07:35
50,4.0,2013-04-09 04:48:14
51,5.0,2013-04-09 04:04:10
52,1.0,2013-04-09 18:58:08
53,1.0,2013-04-09 22:31:53
54,1.0,2013-04-09 16:26:24
55,1.0,2013-04-11 18:55:31
56,1.0,2013-04-11 23:22:20
57,4.0,2013-04-10 02:43:32
58,1.0,2013-04-10 22:17:04
59,4.0,2013-04-11 05:09:30
60,2.0,2013-04-11 03:57:47
61,1.0,2013-04-11 08:13:02
62,4.0,2013-04-12 03:50:20
63,1.0,2013-04-12 22:10:37
64,1.0,2013-04-13 23:41:55
65,2.0,2013-04-15 20:29:40
66,1.0,2013-04-16 08:14:36
67,2.0,2013-04-17 01:52:31
68,2.0,2013-04-17 05:18:30
69,1.0,2013-04-17 16:30:31
70,4.0,2013-04-18 16:26:39
71,1.0,2013-04-18 04:15:36
72,4.0,2013-04-21 01:23:55
73,4.0,2013-04-20 04:17:14
74,1.0,2013-04-26 16:31:08
75,1.0,2013-04-20 05:14:22
76,2.0,2013-04-26 18:02:06
77,4.0,2013-04-22 01:55:14
78,1.0,2013-04-25 18:50:38
79,4.0,2013-04-21 16:43:40
80,4.0,2013-04-22 03:17:32
81,4.0,2013-04-22 07:51:03
82,4.0,2013-04-22 16:40:05
83,1.0,2013-04-24 07:48:15
84,4.0,2013-04-24 16:44:47
85,4.0,2013-04-25 05:39:35
86,1.0,2013-04-30 01:44:12
87,4.0,2013-04-23 02:19:36
88,4.0,2013-04-22 19:06:27
89,1.0,2013-04-23 04:02:59
90,2.0,2013-04-23 16:27:46
91,1.0,2013-04-23 17:56:54
92,1.0,2013-04-23 07:57:35
93,1.0,2013-04-23 16:48:33
94,1.0,2013-04-25 01:23:16
95,4.0,2013-04-25 16:34:14
96,4.0,2013-04-27 04:17:25
97,3.0,2013-04-29 04:04:38
98,1.0,2013-04-28 20:01:59
99,4.0,2013-04-30 04:01:45
100,4.0,2013-04-29 20:25:24
101,1.0,2013-05-02 06:07:04
102,1.0,2013-05-03 05:21:08
103,1.0,2013-05-07 20:00:57
104,4.0,2013-05-15 21:16:06
105,1.0,2013-05-08 16:34:23
106,1.0,2013-05-09 04:29:25
107,1.0,2013-05-15 03:40:34
108,4.0,2013-05-15 21:17:00
109,2.0,2013-05-18 20:15:48
110,1.0,2013-05-17 20:17:32
111,4.0,2013-05-23 16:46:18
