,level,resp_time
0,3.0,2013-03-31 02:40:52
7,1.0,2013-03-27 07:35:32
8,1.0,2013-03-27 22:03:18
9,5.0,2013-03-28 07:20:12
10,4.0,2013-03-28 03:06:40
11,5.0,2013-03-28 10:00:35
12,1.0,2013-03-29 01:28:51
13,4.0,2013-03-29 17:48:32
14,1.0,2013-03-29 23:38:15
15,2.0,2013-03-30 00:21:29
16,1.0,2013-03-31 10:15:33
17,3.0,2013-03-30 04:41:24
18,1.0,2013-03-31 02:40:53
19,1.0,2013-03-31 22:07:10
20,4.0,2013-03-31 20:33:06
21,1.0,2013-04-01 08:45:56
22,4.0,2013-04-03 07:16:53
23,1.0,2013-04-01 22:52:53
24,1.0,2013-04-02 04:44:10
25,4.0,2013-04-03 00:01:23
26,1.0,2013-04-04 05:19:20
27,1.0,2013-04-04 06:13:01
28,4.0,2013-04-04 20:25:08
29,1.0,2013-04-05 00:00:23
30,5.0,2013-04-08 17:38:25
31,1.0,2013-04-06 00:38:34
32,5.0,2013-04-07 06:29:33
33,4.0,2013-04-08 02:04:46
34,4.0,2013-04-09 08:28:00
35,4.0,2013-04-09 22:21:11
36,4.0,2013-04-10 18:25:25
37,1.0,2013-04-11 00:07:26
38,4.0,2013-04-11 07:54:15
39,1.0,2013-04-12 22:28:12
40,4.0,2013-04-11 23:11:09
41,1.0,2013-04-12 07:39:48
42,4.0,2013-04-13 02:44:03
43,2.0,2013-04-13 23:23:54
44,1.0,2013-04-14 21:44:02
45,1.0,2013-04-14 23:37:31
46,1.0,2013-04-16 00:37:43
47,1.0,2013-04-15 21:46:19
48,1.0,2013-04-16 08:00:08
49,1.0,2013-04-17 05:19:01
50,1.0,2013-04-18 04:03:18
51,1.0,2013-04-18 08:09:26
52,4.0,2013-04-19 02:42:46
53,1.0,2013-04-20 05:00:09
54,4.0,2013-04-23 08:01:16
55,4.0,2013-05-06 04:34:16
56,4.0,2013-05-07 07:57:26
57,4.0,2013-05-12 05:21:27
58,1.0,2013-05-16 02:09:02
59,4.0,2013-05-07 20:54:07
60,4.0,2013-05-23 19:24:03
