,level,resp_time
5,1.0,2013-03-28 00:07:55
6,4.0,2013-03-27 18:47:55
7,5.0,2013-03-27 18:47:56
8,1.0,2013-03-31 23:50:41
9,1.0,2013-03-31 23:50:43
10,4.0,2013-03-31 23:50:42
11,5.0,2013-03-31 23:50:44
12,5.0,2013-03-31 23:50:38
13,5.0,2013-03-31 23:50:45
14,1.0,2013-03-31 23:50:36
15,5.0,2013-03-31 23:50:34
16,5.0,2013-04-04 06:40:37
17,5.0,2013-04-08 03:19:16
18,5.0,2013-04-05 09:24:20
19,2.0,2013-04-06 16:09:59
20,1.0,2013-04-07 06:58:59
21,1.0,2013-04-09 08:46:07
22,4.0,2013-04-14 22:00:09
23,2.0,2013-04-17 16:47:50
24,2.0,2013-04-21 17:20:08
25,1.0,2013-04-23 18:07:27
26,5.0,2013-04-30 05:34:42
27,1.0,2013-04-25 18:17:16
28,1.0,2013-04-26 18:08:14
29,2.0,2013-04-28 20:00:27
30,3.0,2013-04-29 00:00:35
31,3.0,2013-04-29 04:00:06
32,4.0,2013-04-29 20:18:19
33,1.0,2013-05-12 19:35:12
