,level,resp_time
1,1.0,2013-04-01 00:20:50
6,2.0,2013-04-01 09:05:49
7,5.0,2013-04-01 06:03:11
8,1.0,2013-04-01 20:20:40
9,4.0,2013-04-03 06:10:32
10,4.0,2013-04-03 00:17:57
11,2.0,2013-04-02 09:45:47
12,2.0,2013-04-01 03:56:25
13,4.0,2013-04-01 05:05:10
14,1.0,2013-04-04 00:13:51
15,5.0,2013-04-04 06:43:54
16,3.0,2013-04-05 06:56:11
17,1.0,2013-04-05 00:06:43
18,3.0,2013-04-06 00:03:13
19,4.0,2013-04-06 07:22:17
20,3.0,2013-04-07 02:19:09
21,3.0,2013-04-08 03:25:49
22,4.0,2013-04-08 20:00:28
23,4.0,2013-04-09 08:01:42
24,3.0,2013-04-13 22:03:38
25,3.0,2013-04-11 22:29:14
26,1.0,2013-04-12 22:15:11
27,3.0,2013-04-15 16:35:02
28,3.0,2013-04-17 08:00:59
29,3.0,2013-04-26 18:00:10
30,3.0,2013-04-30 04:02:01
31,3.0,2013-04-29 04:03:44
32,3.0,2013-04-29 00:23:09
33,3.0,2013-04-29 20:00:10
34,1.0,2013-05-02 05:05:41
35,2.0,2013-05-06 04:26:38
36,1.0,2013-05-09 04:11:48
37,1.0,2013-05-07 08:13:18
