,level,resp_time
1,2.0,2013-04-01 08:48:08
10,1.0,2013-03-27 22:52:09
11,2.0,2013-03-29 00:39:16
12,3.0,2013-03-29 06:53:09
13,4.0,2013-03-29 09:12:36
14,1.0,2013-03-29 21:01:19
15,1.0,2013-03-30 19:31:52
16,5.0,2013-03-31 10:56:11
17,2.0,2013-03-30 09:39:29
18,3.0,2013-03-31 06:42:32
19,1.0,2013-03-31 21:14:31
20,4.0,2013-04-02 01:31:07
21,4.0,2013-04-05 22:58:34
22,1.0,2013-04-06 08:45:47
23,1.0,2013-04-06 01:49:54
24,2.0,2013-04-07 09:40:09
25,1.0,2013-04-08 08:37:13
26,1.0,2013-04-08 20:26:44
27,3.0,2013-04-09 04:00:17
28,2.0,2013-04-12 08:14:40
29,1.0,2013-04-09 22:25:56
30,2.0,2013-04-09 19:47:34
31,1.0,2013-04-12 19:08:43
32,1.0,2013-04-12 15:06:39
33,1.0,2013-04-13 20:58:42
34,2.0,2013-04-14 01:13:20
35,2.0,2013-04-14 09:13:10
36,3.0,2013-04-14 07:02:36
37,1.0,2013-04-14 22:01:04
38,1.0,2013-04-15 20:25:28
39,2.0,2013-04-17 08:11:45
40,2.0,2013-04-18 02:01:09
41,2.0,2013-04-29 04:00:05
42,1.0,2013-05-13 18:05:38
43,2.0,2013-05-15 20:00:39
44,3.0,2013-05-18 03:32:21
45,1.0,2013-05-18 20:06:57
46,2.0,2013-05-20 08:51:19
47,2.0,2013-05-22 04:06:40
