date,level
 01:04:2013 ,2.6666666666666665
 01:05:2013 ,1.0
 01:06:2013 ,3.0
 02:04:2013 ,1.4285714285714286
 02:05:2013 ,3.0
 02:06:2013 ,4.0
 03:04:2013 ,2.0833333333333335
 03:05:2013 ,4.0
 03:06:2013 ,4.0
 04:04:2013 ,2.4285714285714284
 04:05:2013 ,3.0
 04:06:2013 ,4.0
 05:04:2013 ,1.6666666666666667
 05:05:2013 ,4.0
 05:06:2013 ,4.25
 06:04:2013 ,1.0
 06:05:2013 ,1.75
 06:06:2013 ,4.0
 07:04:2013 ,2.1666666666666665
 07:05:2013 ,1.6
 08:04:2013 ,1.0
 08:05:2013 ,1.3333333333333333
 08:06:2013 ,4.0
 09:04:2013 ,2.6666666666666665
 09:05:2013 ,4.0
 10:04:2013 ,1.8
 10:05:2013 ,1.0
 11:04:2013 ,2.5
 11:05:2013 ,2.5
 12:04:2013 ,2.75
 12:05:2013 ,3.0
 13:04:2013 ,3.0
 14:04:2013 ,3.4
 15:04:2013 ,2.6666666666666665
 15:05:2013 ,2.0
 16:04:2013 ,2.8
 16:05:2013 ,1.0
 17:04:2013 ,1.8
 18:04:2013 ,1.75
 18:05:2013 ,2.5
 19:04:2013 ,2.4
 19:05:2013 ,4.0
 20:04:2013 ,4.333333333333333
 20:05:2013 ,4.0
 21:04:2013 ,1.0
 21:05:2013 ,3.0
 22:04:2013 ,1.0
 22:05:2013 ,3.3333333333333335
 23:04:2013 ,1.6666666666666667
 23:05:2013 ,4.0
 24:04:2013 ,2.5
 24:05:2013 ,1.0
 25:04:2013 ,2.8
 25:05:2013 ,1.0
 26:04:2013 ,2.5
 26:05:2013 ,4.0
 27:03:2013 ,2.0
 27:04:2013 ,4.0
 27:05:2013 ,3.0
 28:03:2013 ,2.0
 28:04:2013 ,2.5
 28:05:2013 ,2.0
 29:03:2013 ,3.0
 29:04:2013 ,1.875
 29:05:2013 ,2.0
 30:03:2013 ,3.0
 30:04:2013 ,3.0
 30:05:2013 ,3.5
 31:03:2013 ,2.2
 31:05:2013 ,4.5
