date,level
 01:04:2013 ,4.0
 01:05:2013 ,4.0
 02:04:2013 ,4.0
 02:05:2013 ,1.0
 03:04:2013 ,2.0
 04:04:2013 ,3.0
 05:04:2013 ,2.0
 05:05:2013 ,3.0
 06:04:2013 ,2.5
 06:05:2013 ,4.0
 07:04:2013 ,5.0
 07:05:2013 ,4.0
 08:04:2013 ,3.0
 08:05:2013 ,4.0
 09:04:2013 ,5.0
 10:05:2013 ,2.5
 11:04:2013 ,5.0
 12:04:2013 ,5.0
 13:04:2013 ,3.0
 13:05:2013 ,1.0
 14:04:2013 ,5.0
 15:04:2013 ,4.0
 15:05:2013 ,2.0
 16:04:2013 ,1.0
 17:04:2013 ,4.0
 17:05:2013 ,5.0
 18:04:2013 ,3.5
 18:05:2013 ,4.0
 19:05:2013 ,5.0
 20:04:2013 ,1.0
 21:05:2013 ,1.0
 23:04:2013 ,5.0
 23:05:2013 ,4.5
 24:05:2013 ,4.0
 26:04:2013 ,2.0
 27:05:2013 ,1.0
 29:03:2013 ,3.0
 29:04:2013 ,4.0
 30:03:2013 ,3.0
 30:04:2013 ,5.0
 30:05:2013 ,5.0
 31:03:2013 ,2.3333333333333335
 31:05:2013 ,2.0
