date,level
 01:05:2013 ,3.0
 01:06:2013 ,3.0
 02:05:2013 ,3.0
 04:05:2013 ,3.0
 07:05:2013 ,3.0
 08:05:2013 ,3.0
 09:05:2013 ,3.0
 11:05:2013 ,3.0
 12:04:2013 ,3.0
 15:04:2013 ,3.0
 15:05:2013 ,3.0
 16:04:2013 ,3.0
 17:04:2013 ,2.0
 17:05:2013 ,3.0
 18:04:2013 ,3.0
 18:05:2013 ,3.0
 19:04:2013 ,3.0
 19:05:2013 ,3.0
 20:04:2013 ,2.0
 20:05:2013 ,3.0
 21:04:2013 ,3.0
 21:05:2013 ,3.0
 22:04:2013 ,3.0
 22:05:2013 ,3.0
 23:04:2013 ,3.0
 24:05:2013 ,3.0
 26:04:2013 ,3.0
 26:05:2013 ,3.0
 28:05:2013 ,3.0
 29:03:2013 ,1.0
 29:04:2013 ,3.0
 30:04:2013 ,3.0
 31:03:2013 ,2.0
 31:05:2013 ,3.0
