date,level
 01:04:2013 ,5.0
 01:05:2013 ,2.0
 02:05:2013 ,3.0
 03:04:2013 ,1.0
 03:05:2013 ,2.0
 03:06:2013 ,5.0
 04:04:2013 ,1.0
 05:04:2013 ,1.0
 06:04:2013 ,1.0
 06:05:2013 ,3.0
 07:05:2013 ,1.0
 08:04:2013 ,1.0
 08:05:2013 ,1.0
 09:04:2013 ,2.5
 09:05:2013 ,2.5
 10:04:2013 ,1.0
 11:04:2013 ,4.0
 12:04:2013 ,1.0
 13:04:2013 ,1.0
 14:04:2013 ,1.0
 15:04:2013 ,2.0
 15:05:2013 ,1.0
 16:04:2013 ,2.0
 16:05:2013 ,1.0
 17:04:2013 ,2.0
 17:05:2013 ,1.0
 18:04:2013 ,1.0
 18:05:2013 ,1.0
 19:05:2013 ,2.0
 20:04:2013 ,2.0
 20:05:2013 ,1.0
 21:05:2013 ,1.0
 22:04:2013 ,2.0
 22:05:2013 ,1.0
 23:04:2013 ,3.0
 23:05:2013 ,1.0
 24:05:2013 ,1.0
 25:04:2013 ,3.0
 26:04:2013 ,3.0
 27:04:2013 ,3.0
 28:03:2013 ,4.5
 29:03:2013 ,4.0
 29:04:2013 ,3.0
 30:03:2013 ,4.0
 30:04:2013 ,2.5
