date,level
 01:04:2013 ,1.0
 03:04:2013 ,1.0
 04:04:2013 ,2.0
 05:04:2013 ,1.5
 06:04:2013 ,1.0
 06:05:2013 ,2.0
 07:05:2013 ,1.5
 08:04:2013 ,1.0
 08:05:2013 ,2.0
 09:04:2013 ,3.0
 10:04:2013 ,1.0
 12:04:2013 ,1.0
 13:04:2013 ,5.0
 13:05:2013 ,5.0
 14:04:2013 ,1.5
 14:05:2013 ,1.0
 15:04:2013 ,2.0
 15:05:2013 ,1.0
 16:04:2013 ,1.5
 16:05:2013 ,2.0
 17:04:2013 ,2.0
 17:05:2013 ,2.0
 18:04:2013 ,2.0
 19:04:2013 ,1.0
 20:05:2013 ,2.0
 21:04:2013 ,5.0
 21:05:2013 ,1.5
 22:04:2013 ,2.0
 22:05:2013 ,1.0
 23:04:2013 ,3.0
 23:05:2013 ,2.0
 24:04:2013 ,1.0
 26:04:2013 ,2.0
 28:03:2013 ,1.0
 28:04:2013 ,2.0
 29:03:2013 ,1.0
 29:04:2013 ,1.5
 29:05:2013 ,1.0
 30:03:2013 ,1.0
 30:04:2013 ,2.0
 31:03:2013 ,4.0
