date,level
 01:05:2013 ,1.0
 02:05:2013 ,1.0
 03:04:2013 ,4.0
 03:05:2013 ,1.0
 04:04:2013 ,3.1666666666666665
 04:05:2013 ,1.0
 05:04:2013 ,3.25
 05:05:2013 ,1.0
 06:04:2013 ,2.5
 06:05:2013 ,2.5
 07:04:2013 ,1.0
 07:05:2013 ,1.0
 08:04:2013 ,2.3333333333333335
 08:05:2013 ,2.0
 09:04:2013 ,2.0
 09:05:2013 ,1.0
 10:04:2013 ,1.0
 11:04:2013 ,1.5
 12:04:2013 ,1.0
 12:05:2013 ,2.5
 13:04:2013 ,1.3333333333333333
 13:05:2013 ,1.0
 14:04:2013 ,1.0
 14:05:2013 ,1.0
 15:04:2013 ,1.5
 15:05:2013 ,3.6666666666666665
 16:04:2013 ,3.0
 16:05:2013 ,4.0
 17:05:2013 ,4.0
 18:04:2013 ,1.0
 18:05:2013 ,1.0
 19:05:2013 ,1.0
 20:04:2013 ,1.0
 20:05:2013 ,1.0
 21:04:2013 ,1.0
 21:05:2013 ,1.0
 22:04:2013 ,2.0
 22:05:2013 ,1.0
 23:04:2013 ,2.5
 23:05:2013 ,1.0
 24:05:2013 ,1.0
 25:04:2013 ,1.0
 26:04:2013 ,1.0
 27:04:2013 ,1.0
 27:05:2013 ,2.0
 29:04:2013 ,2.0
 30:04:2013 ,2.3333333333333335
 31:05:2013 ,5.0
