date,level
 01:04:2013 ,2.2
 02:04:2013 ,2.5
 02:05:2013 ,1.0
 03:04:2013 ,3.5
 03:05:2013 ,1.0
 04:04:2013 ,1.75
 05:04:2013 ,1.25
 06:04:2013 ,3.5
 07:04:2013 ,2.0
 07:05:2013 ,1.0
 08:04:2013 ,3.5
 08:05:2013 ,1.0
 09:04:2013 ,3.0
 09:05:2013 ,1.0
 10:04:2013 ,2.5
 11:04:2013 ,1.8
 12:04:2013 ,2.5
 13:04:2013 ,1.0
 14:04:2013 ,1.0
 15:04:2013 ,1.5
 15:05:2013 ,3.0
 16:04:2013 ,1.0
 17:04:2013 ,1.6666666666666667
 17:05:2013 ,1.0
 18:04:2013 ,2.5
 18:05:2013 ,2.0
 20:04:2013 ,2.5
 21:04:2013 ,4.0
 22:04:2013 ,4.0
 23:04:2013 ,1.6666666666666667
 23:05:2013 ,4.0
 24:04:2013 ,2.5
 25:04:2013 ,2.5
 26:04:2013 ,1.5
 27:04:2013 ,4.0
 28:03:2013 ,2.0
 28:04:2013 ,1.0
 29:04:2013 ,3.5
 30:03:2013 ,1.8
 30:04:2013 ,2.5
 31:03:2013 ,3.0
