date,level
 01:04:2013 ,1.0
 02:04:2013 ,2.0
 03:04:2013 ,2.0
 04:04:2013 ,1.0
 05:04:2013 ,2.0
 06:04:2013 ,1.0
 07:04:2013 ,1.0
 07:05:2013 ,2.0
 08:04:2013 ,1.0
 08:05:2013 ,1.0
 09:04:2013 ,1.0
 09:05:2013 ,3.0
 12:04:2013 ,3.0
 15:04:2013 ,2.0
 16:04:2013 ,2.6666666666666665
 17:04:2013 ,1.0
 18:04:2013 ,1.0
 22:04:2013 ,1.0
 25:04:2013 ,3.0
 26:04:2013 ,3.0
 27:03:2013 ,1.0
 28:03:2013 ,2.5
 28:04:2013 ,3.0
 29:03:2013 ,1.5
 29:04:2013 ,3.0
 30:03:2013 ,1.0
 30:04:2013 ,3.0
 31:03:2013 ,1.0
