date,level
 01:05:2013 ,3.0
 02:04:2013 ,1.5
 02:05:2013 ,1.0
 03:04:2013 ,2.0
 03:05:2013 ,1.0
 04:04:2013 ,1.75
 05:04:2013 ,1.4
 06:04:2013 ,2.8
 07:04:2013 ,2.75
 07:05:2013 ,1.0
 08:04:2013 ,1.0
 08:05:2013 ,1.0
 09:04:2013 ,1.0
 09:05:2013 ,1.0
 10:04:2013 ,1.0
 12:04:2013 ,1.6666666666666667
 13:04:2013 ,2.0
 14:04:2013 ,1.0
 15:04:2013 ,2.3333333333333335
 15:05:2013 ,1.0
 16:04:2013 ,3.0
 16:05:2013 ,1.0
 17:04:2013 ,3.0
 18:04:2013 ,2.5
 20:05:2013 ,1.0
 21:05:2013 ,1.0
 22:04:2013 ,2.5
 23:04:2013 ,3.0
 24:05:2013 ,1.0
 25:04:2013 ,3.0
 26:04:2013 ,4.0
 29:04:2013 ,3.0
 30:04:2013 ,2.5
