date,level
 01:04:2013 ,4.0
 02:04:2013 ,1.0
 02:05:2013 ,1.0
 03:04:2013 ,1.0
 04:04:2013 ,3.0
 05:04:2013 ,4.0
 06:04:2013 ,5.0
 08:05:2013 ,5.0
 09:04:2013 ,4.0
 09:05:2013 ,1.0
 11:04:2013 ,1.0
 12:04:2013 ,5.0
 13:04:2013 ,1.0
 13:05:2013 ,3.0
 14:04:2013 ,1.0
 15:04:2013 ,4.0
 16:04:2013 ,1.0
 18:04:2013 ,1.5
 20:04:2013 ,4.0
 20:05:2013 ,1.0
 21:04:2013 ,1.0
 21:05:2013 ,1.0
 22:04:2013 ,2.0
 22:05:2013 ,1.0
 23:04:2013 ,3.0
 23:05:2013 ,1.0
 29:03:2013 ,2.5
 29:04:2013 ,3.0
 30:04:2013 ,1.0
 31:03:2013 ,5.0
