date,level
 01:04:2013 ,1.0
 01:05:2013 ,2.0
 01:06:2013 ,4.0
 02:04:2013 ,1.0
 02:05:2013 ,2.0
 03:04:2013 ,1.5
 03:05:2013 ,1.0
 04:04:2013 ,1.3333333333333333
 04:05:2013 ,1.0
 05:04:2013 ,1.5
 05:05:2013 ,1.0
 06:04:2013 ,2.0
 06:05:2013 ,1.0
 07:04:2013 ,3.0
 07:05:2013 ,3.0
 08:04:2013 ,2.0
 08:05:2013 ,2.6666666666666665
 09:04:2013 ,1.25
 09:05:2013 ,1.5
 10:04:2013 ,2.0
 10:05:2013 ,2.0
 11:04:2013 ,2.0
 12:04:2013 ,2.0
 12:05:2013 ,4.0
 13:04:2013 ,1.0
 14:04:2013 ,2.0
 14:05:2013 ,1.5
 15:04:2013 ,1.0
 15:05:2013 ,1.0
 16:04:2013 ,1.75
 16:05:2013 ,2.6666666666666665
 17:04:2013 ,2.0
 17:05:2013 ,3.0
 18:04:2013 ,2.0
 18:05:2013 ,3.0
 19:04:2013 ,1.0
 20:05:2013 ,4.0
 21:04:2013 ,2.0
 21:05:2013 ,1.0
 22:05:2013 ,2.0
 23:04:2013 ,1.0
 23:05:2013 ,3.0
 24:05:2013 ,2.0
 25:05:2013 ,2.6666666666666665
 26:04:2013 ,2.0
 26:05:2013 ,2.0
 27:03:2013 ,1.0
 27:04:2013 ,1.0
 28:03:2013 ,2.0
 29:03:2013 ,1.0
 29:04:2013 ,2.5
 30:03:2013 ,1.0
 30:04:2013 ,3.0
 30:05:2013 ,4.0
 31:03:2013 ,1.5
 31:05:2013 ,5.0
