date,home_time,recreational_activities,travel_time,school_time,orthers,date_in_week,volunteer
01:04:2013 ,40799.0,7201.0,40800.0,0.0,0.0,0,26
01:05:2013 ,1240008.0,0.0,0.0,0.0,0.0,2,26
02:04:2013 ,37197.0,12003.0,0.0,3600.0,0.0,1,26
03:04:2013 ,47042.0,14399.0,16801.0,8400.0,0.0,2,26
04:04:2013 ,27601.0,48827.0,0.0,8400.0,1200.0,3,26
05:04:2013 ,13197.0,12000.0,50610.0,10803.0,0.0,4,26
06:04:2013 ,73195.0,13201.0,2402.0,2402.0,0.0,5,26
07:04:2013 ,104407.0,0.0,1200.0,0.0,0.0,-1,26
08:04:2013 ,46545.0,1200.0,9590.0,6001.0,0.0,0,26
09:04:2013 ,40799.0,35693.0,12000.0,4802.0,0.0,1,26
10:04:2013 ,8398.0,3602.0,44791.0,21600.0,0.0,2,26
11:04:2013 ,58987.0,15598.0,7201.0,2400.0,2401.0,3,26
12:04:2013 ,65830.0,12002.0,0.0,8399.0,0.0,4,26
13:04:2013 ,11999.0,127838.0,33600.0,2400.0,0.0,5,26
15:04:2013 ,67195.0,9604.0,0.0,7200.0,0.0,0,26
15:05:2013 ,37200.0,0.0,2404.0,4798.0,3599.0,2,26
16:04:2013 ,45600.0,28798.0,7202.0,3600.0,0.0,1,26
16:05:2013 ,778304.0,8400.0,2400.0,5998.0,10804.0,3,26
17:04:2013 ,0.0,0.0,85357.0,2406.0,0.0,2,26
18:04:2013 ,44399.0,12568.0,14403.0,6000.0,8400.0,3,26
19:04:2013 ,53999.0,10800.0,19201.0,2400.0,0.0,4,26
20:04:2013 ,28800.0,1200.0,67807.0,7200.0,0.0,5,26
21:04:2013 ,70807.0,1200.0,2400.0,3600.0,0.0,-1,26
22:04:2013 ,63600.0,5999.0,2400.0,4800.0,0.0,0,26
23:04:2013 ,2416.0,37461.0,22788.0,25199.0,0.0,1,26
24:04:2013 ,70800.0,5998.0,8400.0,0.0,0.0,2,26
25:04:2013 ,140966.0,9600.0,4800.0,0.0,0.0,3,26
25:05:2013 ,74830.0,1199.0,0.0,0.0,0.0,5,26
26:04:2013 ,8399.0,0.0,1200.0,7200.0,0.0,4,26
26:05:2013 ,157296.0,0.0,0.0,0.0,0.0,-1,26
27:04:2013 ,0.0,10800.0,91200.0,8400.0,0.0,5,26
28:03:2013 ,64140.0,4799.0,6003.0,8399.0,1200.0,3,26
28:04:2013 ,0.0,2400.0,0.0,0.0,91924.0,-1,26
28:05:2013 ,121577.0,0.0,0.0,0.0,0.0,1,26
29:03:2013 ,53955.0,18002.0,7200.0,7203.0,0.0,4,26
29:04:2013 ,48000.0,2400.0,3600.0,0.0,0.0,0,26
29:05:2013 ,0.0,0.0,4799.0,0.0,0.0,2,26
30:03:2013 ,1200.0,25201.0,72000.0,1200.0,0.0,5,26
30:04:2013 ,20399.0,7200.0,62400.0,3601.0,1200.0,1,26
31:03:2013 ,104399.0,0.0,0.0,0.0,0.0,-1,26
