date,home_time,recreational_activities,school_time,orthers,travel_time,shopping,date_in_week,volunteer,location_names
01:04:2013,30542.0,2396.0,34314.0,0.0,0.0,0.0,0,52,"0,0,Sudikoff Hall,Hanover Inn Dartmouth,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
01:05:2013,127200.0,0.0,27600.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
01:06:2013,1165.0,0.0,0.0,0.0,0.0,0.0,5,52,"0,0"
02:04:2013,43200.0,0.0,46800.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall"
02:05:2013,0.0,1200.0,28801.0,0.0,0.0,0.0,3,52,"Hood Museum of Art,Sudikoff Hall"
03:04:2013,120000.0,0.0,42000.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0"
03:05:2013,51600.0,0.0,10800.0,1199.0,0.0,0.0,4,52,"Coldwell Banker,Dartmouth College,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
04:04:2013,0.0,0.0,8318.0,0.0,0.0,0.0,3,52,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,36246.0,0.0,172761.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,0,Sudikoff Hall"
05:04:2013,52800.0,0.0,45682.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
06:04:2013,146401.0,0.0,12000.0,0.0,1199.0,0.0,5,52,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0"
06:05:2013,35366.0,673.0,128257.0,0.0,0.0,0.0,0,52,"0,0,Hood Museum of Art,Sudikoff Hall"
08:04:2013,57715.0,1200.0,28695.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
08:05:2013,52200.0,0.0,9000.0,0.0,0.0,0.0,2,52,"0,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education"
09:04:2013,45600.0,0.0,39600.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,0"
09:05:2013,74400.0,0.0,20402.0,0.0,0.0,0.0,3,52,"0,Sudikoff Hall"
10:04:2013,48000.0,0.0,36000.0,0.0,2400.0,0.0,2,52,"0,Sudikoff Hall,0"
10:05:2013,44400.0,0.0,59998.0,0.0,0.0,0.0,4,52,"Steele Hall,Steele Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Sudikoff Hall"
11:04:2013,50400.0,3600.0,32400.0,0.0,0.0,0.0,3,52,"Sudikoff Hall,Hanover Inn Dartmouth,Hopkins Center for the Arts,Sudikoff Hall,0,0,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,58747.0,0.0,3600.0,0.0,0.0,0.0,5,52,"0,0,0,Wilson Hall,Sudikoff Hall,Sudikoff Hall,0"
12:04:2013,54000.0,0.0,51600.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall"
12:05:2013,39599.0,2400.0,39600.0,0.0,1255.0,0.0,-1,52,"0,Berry Hall,Sudikoff Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,0,0"
13:04:2013,58800.0,0.0,13200.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
13:05:2013,45659.0,0.0,40797.0,0.0,603.0,0.0,0,52,"0,0,Sudikoff Hall,0,Sudikoff Hall,Reed Hall,East Wheelock Street,Wentworth Hall,Sudikoff Hall,Guarini Institute for International Education"
14:04:2013,44400.0,1200.0,39601.0,0.0,0.0,0.0,-1,52,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall"
14:05:2013,49874.0,0.0,38326.0,0.0,0.0,0.0,1,52,"Anonymous Hall,Sudikoff Hall,Dartmouth College,0,Sudikoff Hall"
