date,home_time,recreational_activities,school_time,working,orthers,shopping,travel_time,date_in_week,volunteer
01:04:2013 ,73200.0,1200.0,3600.0,8400.0,0.0,0.0,0.0,0,3
01:05:2013 ,68499.0,0.0,18000.0,0.0,0.0,0.0,0.0,2,3
01:06:2013 ,19860.0,0.0,0.0,0.0,547.0,0.0,0.0,5,3
02:04:2013 ,69600.0,16800.0,0.0,0.0,1200.0,0.0,0.0,1,3
02:05:2013 ,79160.0,7199.0,0.0,0.0,0.0,0.0,0.0,3,3
03:04:2013 ,63600.0,0.0,21600.0,0.0,0.0,0.0,0.0,2,3
03:05:2013 ,76798.0,1200.0,18676.0,0.0,0.0,0.0,0.0,4,3
04:04:2013 ,80399.0,7201.0,0.0,0.0,0.0,0.0,0.0,3,3
04:05:2013 ,77315.0,0.0,1201.0,0.0,0.0,0.0,0.0,5,3
05:04:2013 ,66000.0,0.0,19200.0,0.0,0.0,0.0,0.0,4,3
05:05:2013 ,95100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3
06:04:2013 ,76800.0,9600.0,0.0,0.0,0.0,0.0,0.0,5,3
06:05:2013 ,63000.0,0.0,12600.0,0.0,0.0,0.0,0.0,0,3
07:04:2013 ,72000.0,0.0,16800.0,0.0,0.0,0.0,0.0,-1,3
07:05:2013 ,70201.0,15599.0,0.0,0.0,601.0,0.0,0.0,1,3
08:04:2013 ,82800.0,1200.0,0.0,0.0,0.0,0.0,0.0,0,3
08:05:2013 ,71428.0,9602.0,3600.0,0.0,1797.0,0.0,0.0,2,3
09:04:2013 ,78000.0,9600.0,0.0,0.0,0.0,0.0,0.0,1,3
09:05:2013 ,74095.0,8400.0,0.0,0.0,1800.0,1799.0,0.0,3,3
10:04:2013 ,64801.0,1200.0,19199.0,0.0,0.0,0.0,0.0,2,3
10:05:2013 ,74999.0,601.0,12000.0,0.0,0.0,0.0,0.0,4,3
11:04:2013 ,76800.0,3600.0,6000.0,0.0,0.0,0.0,0.0,3,3
11:05:2013 ,75498.0,3600.0,3000.0,0.0,4200.0,0.0,0.0,5,3
12:04:2013 ,68400.0,2400.0,15600.0,0.0,0.0,0.0,0.0,4,3
12:05:2013 ,81600.0,4802.0,597.0,0.0,0.0,0.0,4201.0,-1,3
13:04:2013 ,19175.0,0.0,0.0,0.0,4800.0,63627.0,0.0,5,3
13:05:2013 ,72000.0,0.0,8400.0,0.0,0.0,0.0,0.0,0,3
14:04:2013 ,80470.0,9530.0,0.0,0.0,1198.0,0.0,0.0,-1,3
14:05:2013 ,72600.0,7200.0,6600.0,0.0,0.0,0.0,0.0,1,3
15:04:2013 ,72000.0,0.0,16800.0,0.0,0.0,0.0,0.0,0,3
15:05:2013 ,80400.0,1200.0,4800.0,0.0,0.0,0.0,0.0,2,3
16:04:2013 ,68402.0,7198.0,0.0,0.0,2400.0,0.0,0.0,1,3
16:05:2013 ,69716.0,18001.0,1200.0,0.0,0.0,0.0,0.0,3,3
17:04:2013 ,69638.0,0.0,11962.0,0.0,4800.0,0.0,0.0,2,3
17:05:2013 ,32405.0,0.0,3600.0,0.0,0.0,0.0,47994.0,4,3
18:04:2013 ,69635.0,8398.0,7167.0,0.0,2400.0,0.0,0.0,3,3
18:05:2013 ,39002.0,0.0,0.0,0.0,0.0,0.0,47400.0,5,3
19:04:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
19:05:2013 ,100200.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3
20:04:2013 ,91124.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
20:05:2013 ,67803.0,600.0,3000.0,0.0,1197.0,0.0,0.0,0,3
21:04:2013 ,80476.0,1200.0,0.0,0.0,0.0,0.0,0.0,-1,3
21:05:2013 ,79803.0,6600.0,597.0,0.0,0.0,0.0,0.0,1,3
22:04:2013 ,93600.0,0.0,0.0,0.0,1200.0,0.0,0.0,0,3
22:05:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
23:04:2013 ,70840.0,7160.0,0.0,0.0,0.0,0.0,0.0,1,3
23:05:2013 ,76200.0,6602.0,598.0,0.0,0.0,0.0,0.0,3,3
24:04:2013 ,9599.0,1200.0,75588.0,0.0,0.0,0.0,0.0,2,3
24:05:2013 ,77398.0,3602.0,7200.0,0.0,0.0,0.0,0.0,4,3
25:04:2013 ,70402.0,1648.0,21550.0,0.0,0.0,0.0,0.0,3,3
25:05:2013 ,84601.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
26:04:2013 ,73287.0,0.0,8400.0,0.0,0.0,0.0,0.0,4,3
26:05:2013 ,100197.0,4202.0,0.0,0.0,0.0,0.0,0.0,-1,3
27:03:2013 ,18000.0,0.0,3599.0,0.0,0.0,0.0,0.0,2,3
27:04:2013 ,67152.0,4799.0,13249.0,0.0,0.0,0.0,1200.0,5,3
27:05:2013 ,72002.0,598.0,0.0,0.0,0.0,0.0,0.0,0,3
28:03:2013 ,63894.0,4800.0,14401.0,0.0,1200.0,0.0,905.0,3,3
28:04:2013 ,78002.0,0.0,0.0,0.0,6000.0,0.0,0.0,-1,3
28:05:2013 ,81836.0,1800.0,0.0,0.0,0.0,0.0,0.0,1,3
29:03:2013 ,70799.0,2401.0,4800.0,0.0,0.0,0.0,0.0,4,3
29:04:2013 ,79203.0,0.0,4800.0,0.0,0.0,0.0,2397.0,0,3
29:05:2013 ,66022.0,600.0,42421.0,0.0,597.0,0.0,0.0,2,3
30:03:2013 ,80400.0,0.0,0.0,0.0,6000.0,0.0,0.0,5,3
30:04:2013 ,63840.0,2352.0,19200.0,0.0,0.0,0.0,0.0,1,3
30:05:2013 ,56040.0,2395.0,0.0,0.0,4201.0,0.0,0.0,3,3
31:03:2013 ,77999.0,4801.0,0.0,3600.0,0.0,0.0,0.0,-1,3
31:05:2013 ,85632.0,0.0,0.0,0.0,1199.0,0.0,0.0,4,3
