,level,resp_time,time
5,4.0,2013-04-03 06:35:26,1364970926.0
6,5.0,2013-04-04 01:39:42,1365039582.0
7,4.0,2013-04-03 00:06:25,1364947585.0
8,4.0,2013-04-04 00:19:38,1365034778.0
9,4.0,2013-04-04 06:11:20,1365055880.0
10,4.0,2013-04-04 16:14:34,1365092074.0
11,1.0,2013-04-04 18:20:47,1365099647.0
12,1.0,2013-04-04 21:54:36,1365112476.0
13,4.0,2013-04-05 02:21:50,1365128510.0
14,1.0,2013-04-05 00:31:38,1365121898.0
15,4.0,2013-04-05 06:05:55,1365141955.0
16,4.0,2013-04-05 16:45:57,1365180357.0
17,1.0,2013-04-07 18:06:47,1365358007.0
18,1.0,2013-04-06 16:30:47,1365265847.0
19,4.0,2013-04-06 09:25:02,1365240302.0
20,2.0,2013-04-08 05:21:01,1365398461.0
21,1.0,2013-04-08 16:40:14,1365439214.0
22,4.0,2013-04-08 20:41:39,1365453699.0
23,4.0,2013-04-09 08:03:03,1365494583.0
24,1.0,2013-04-09 04:58:05,1365483485.0
25,1.0,2013-04-09 16:38:23,1365525503.0
26,1.0,2013-04-09 22:30:16,1365546616.0
27,1.0,2013-04-10 17:18:36,1365614316.0
28,2.0,2013-04-10 23:02:12,1365634932.0
29,1.0,2013-04-11 17:03:54,1365699834.0
30,1.0,2013-04-15 08:14:29,1366013669.0
31,1.0,2013-04-11 22:02:24,1365717744.0
32,1.0,2013-04-12 23:18:58,1365808738.0
33,1.0,2013-04-12 17:57:03,1365789423.0
34,1.0,2013-04-13 16:49:05,1365871745.0
35,2.0,2013-04-13 19:54:47,1365882887.0
36,1.0,2013-04-13 23:48:07,1365896887.0
37,1.0,2013-04-18 16:35:25,1366302925.0
38,2.0,2013-04-15 16:21:57,1366042917.0
39,4.0,2013-04-16 04:22:01,1366086121.0
40,4.0,2013-04-16 02:50:27,1366080627.0
41,1.0,2013-04-16 16:28:20,1366129700.0
42,1.0,2013-04-20 16:33:40,1366475620.0
43,1.0,2013-04-20 05:42:33,1366436553.0
44,1.0,2013-04-26 16:26:38,1366993598.0
45,1.0,2013-04-21 17:09:26,1366564166.0
46,2.0,2013-04-22 16:09:56,1366646996.0
47,4.0,2013-04-23 06:23:58,1366698238.0
48,1.0,2013-04-25 00:29:37,1366849777.0
49,1.0,2013-04-23 16:24:13,1366734253.0
50,1.0,2013-04-25 16:29:39,1366907379.0
51,1.0,2013-04-27 17:10:17,1367082617.0
52,1.0,2013-04-26 18:02:32,1366999352.0
53,1.0,2013-04-29 04:30:08,1367209808.0
54,3.0,2013-04-29 15:12:40,1367248360.0
55,3.0,2013-04-30 01:17:12,1367284632.0
56,3.0,2013-04-30 04:03:18,1367294598.0
57,1.0,2013-04-30 15:28:49,1367335729.0
58,1.0,2013-05-01 15:04:19,1367420659.0
59,1.0,2013-05-02 05:11:41,1367471501.0
60,1.0,2013-05-02 16:27:05,1367512025.0
61,1.0,2013-05-03 15:34:00,1367595240.0
62,1.0,2013-05-14 17:31:37,1368552697.0
63,1.0,2013-05-06 04:10:39,1367813439.0
64,1.0,2013-05-07 18:24:07,1367951047.0
65,1.0,2013-05-04 17:11:16,1367687476.0
66,4.0,2013-05-06 20:10:50,1367871050.0
67,4.0,2013-05-15 20:29:08,1368649748.0
68,4.0,2013-05-16 17:49:19,1368726559.0
69,4.0,2013-05-15 16:49:08,1368636548.0
70,1.0,2013-05-12 04:30:06,1368333006.0
71,1.0,2013-05-08 18:03:13,1368036193.0
72,1.0,2013-05-09 17:39:30,1368121170.0
73,1.0,2013-05-13 17:11:16,1368465076.0
74,1.0,2013-05-05 17:46:03,1367775963.0
75,1.0,2013-05-07 18:24:12,1367951052.0
76,3.0,2013-05-08 16:27:11,1368030431.0
77,4.0,2013-05-12 17:05:49,1368378349.0
78,3.0,2013-05-15 02:15:43,1368584143.0
79,4.0,2013-05-16 02:15:08,1368670508.0
80,4.0,2013-05-16 19:45:50,1368733550.0
81,4.0,2013-05-17 17:44:39,1368812679.0
82,1.0,2013-05-18 17:40:34,1368898834.0
83,1.0,2013-05-19 19:36:14,1368992174.0
84,1.0,2013-05-20 16:44:36,1369068276.0
85,1.0,2013-05-21 05:10:15,1369113015.0
86,1.0,2013-05-22 04:58:45,1369198725.0
87,1.0,2013-05-22 17:41:44,1369244504.0
88,1.0,2013-05-23 17:13:33,1369329213.0
89,1.0,2013-05-24 17:20:38,1369416038.0
90,2.0,2013-05-27 17:28:35,1369675715.0
91,5.0,2013-05-31 21:15:52,1370034952.0
