,level,resp_time,time
9,5.0,2013-04-03 06:57:11,1364972231.0
10,4.0,2013-04-04 00:14:30,1365034470.0
11,5.0,2013-04-03 02:36:18,1364956578.0
12,5.0,2013-04-02 12:10:05,1364904605.0
13,5.0,2013-04-03 02:27:25,1364956045.0
14,1.0,2013-04-04 06:35:44,1365057344.0
15,4.0,2013-04-05 00:58:47,1365123527.0
16,4.0,2013-04-05 06:29:02,1365143342.0
17,4.0,2013-04-06 00:11:58,1365207118.0
18,2.0,2013-04-08 02:07:51,1365386871.0
19,4.0,2013-04-09 05:53:57,1365486837.0
20,4.0,2013-04-13 23:14:39,1365894879.0
21,4.0,2013-04-13 23:13:46,1365894826.0
22,1.0,2013-04-14 22:11:55,1365977515.0
23,1.0,2013-04-23 09:48:54,1366710534.0
24,4.0,2013-04-26 19:05:02,1367003102.0
25,1.0,2013-04-29 00:51:40,1367196700.0
26,1.0,2013-04-29 04:26:40,1367209600.0
27,4.0,2013-05-08 09:15:06,1368004506.0
28,3.0,2013-05-08 04:30:12,1367987412.0
29,1.0,2013-05-13 19:40:39,1368474039.0
30,1.0,2013-05-13 19:40:26,1368474026.0
31,4.0,2013-05-14 17:41:49,1368553309.0
32,4.0,2013-05-14 17:42:43,1368553363.0
33,5.0,2013-05-15 21:34:15,1368653655.0
34,1.0,2013-05-08 19:54:20,1368042860.0
35,4.0,2013-05-19 19:51:08,1368993068.0
36,4.0,2013-05-21 05:00:39,1369112439.0
37,4.0,2013-05-22 11:06:59,1369220819.0
