,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,49205.0,4800.0,0.0,0.0,0.0,0.0,0.0,1.0,11700.0,20.0,"Berry Hall,Berry Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Berry Hall,Berry Hall,Goldstein Hall,Haldeman Center",17272.0,4256.0,50.0,719.6666666666666,1040.1424094248143,98.5,262.0,658.25,24.0,1.0,7200.0,2403.0,1200.0,1800.0,692.8246531410383,1200.0,1798.5,2398.5,4.0,1.0
01:05:2013,44400.0,2400.0,2400.0,0.0,0.0,0.0,2.0,1.0,11700.0,20.0,"Sudikoff Hall,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Bildner Hall,Bildner Hall,0",8286.0,3732.0,81.0,1381.0,1490.9307160294204,144.75,1026.0,2184.0,6.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.0
01:06:2013,19201.0,10799.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Bildner Hall,Bildner Hall,Dartmouth College,Class of 1953 Commons,Collis Student Center,Sudikoff Hall,Bildner Hall",1490.0,252.0,80.0,186.25,72.88493867538261,133.25,222.0,236.75,8.0,2.0,1778.0,1202.0,576.0,889.0,442.64884502277874,732.5,889.0,1045.5,2.0,4.0
02:04:2013,58839.0,7200.0,20399.0,0.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Haldeman Center,0,Bildner Hall,Berry Hall,Alumni Gymnasium,Class of 1953 Commons,Bildner Hall,Berry Hall,Guarini Institute for International Education,Black Family Visual Arts Center,Black Family Visual Arts Center,Collis Student Center,Collis Student Center",23327.0,6151.0,41.0,518.3777777777777,1182.824264379134,81.0,121.0,302.0,45.0,1.0,2401.0,1200.0,1.0,800.3333333333334,692.2429727583612,600.5,1200.0,1200.0,3.0,1.0
02:05:2013,37200.0,0.0,3602.0,44399.0,0.0,0.0,3.0,1.0,3900.0,20.0,"0,Bildner Hall,Bildner Hall,0,0,Bildner Hall,Berry Library,The Lodge,Life Sciences Greenhouse,Life Sciences Greenhouse",7958.0,3046.0,101.0,530.5333333333333,741.3914395693187,202.0,253.0,509.5,15.0,1.0,1148.0,1148.0,1148.0,1148.0,,1148.0,1148.0,1148.0,1.0,2.0
03:04:2013,43200.0,30000.0,14400.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Berry Hall,Berry Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,Haldeman Center,Collis Student Center,Collis Student Center,Berry Hall,Bildner Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bildner Hall,Berry Hall,Sudikoff Hall,Haldeman Center",26166.0,4380.0,71.0,688.578947368421,1031.1880220610135,128.75,338.0,540.0,38.0,1.0,14348.0,4803.0,1150.0,2391.3333333333335,1867.0018389564232,1196.5,1199.5,3900.25,6.0,1.5
03:05:2013,50401.0,6000.0,14400.0,1200.0,15600.0,0.0,4.0,1.0,9000.0,20.0,"Hood Museum of Art,Black Family Visual Arts Center,The Lodge,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Bildner Hall,Sudikoff Hall,Dartmouth College,Berry Library,0,Alpha Theta,Alpha Theta,Bildner Hall,Bildner Hall,Dartmouth College,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Haldeman Center",,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
04:04:2013,52800.0,3600.0,30000.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,0,Class of 1953 Commons,Class of 1953 Commons,Berry Hall,Berry Hall,Black Family Visual Arts Center,Life Sciences Greenhouse,Life Sciences Greenhouse",25064.0,7200.0,60.0,928.2962962962964,1517.4166258889534,141.0,312.0,1240.5,27.0,1.0,5998.0,1203.0,1197.0,1199.6,2.302172886644267,1198.0,1200.0,1200.0,5.0,1.3333333333333333
04:05:2013,246018.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Dartmouth College,Bildner Hall",121.0,61.0,60.0,60.5,0.7071067811865476,60.25,60.5,60.75,2.0,1.0,,,,,,,,,,1.0
05:04:2013,66000.0,6000.0,13200.0,0.0,0.0,0.0,4.0,1.0,9000.0,20.0,"Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Hall,Bildner Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,Haldeman Center",17951.0,3732.0,81.0,718.04,1052.498791764944,131.0,272.0,525.0,25.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.5
