,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,109193.0,1196.0,3608.0,1203.0,0.0,0.0,1.0,11700.0,24.0,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hanover Inn Dartmouth,0",10749,3621.0,50.0,467.3478260869565,744.2027221796523,121.0,202.0,519.5,23.0,2.0,8297.0,3600.0,1098.0,2074.25,1176.258581265191,1174.5,1799.5,2699.25,4.0,4.0
01:05:2013,96320.0,0.0,0.0,1200.0,0.0,2.0,1.0,11700.0,24.0,"0,Vail Dartmouth Medical School,Life Sciences Greenhouse,Life Sciences Greenhouse,0",15785,2129.0,60.0,607.1153846153846,639.9637069036385,163.5,263.0,1033.5,26.0,1.0,18004.0,5683.0,21.0,1286.0,1704.13763438376,30.25,692.5,2100.0,14.0,1.0
02:05:2013,210000.0,0.0,4800.0,0.0,0.0,3.0,1.0,7800.0,24.0,"0,Sudikoff Hall,Sudikoff Hall,0",15604,1542.0,40.0,300.0769230769231,369.3463673367544,71.75,131.0,299.5,52.0,,30005.0,8400.0,45.0,1765.0,2473.8266663208237,182.0,804.0,2255.0,17.0,
03:04:2013,132950.0,0.0,1234.0,6197.0,0.0,2.0,1.0,11700.0,24.0,"0,Dartmouth Row Parking Lot,Wilder Hall,0,0,0,0,0",7407,847.0,90.0,411.5,234.6522458247273,193.5,423.5,621.75,18.0,1.0,,,,,,,,,,1.0
04:04:2013,81602.0,0.0,4799.0,0.0,0.0,3.0,1.0,7800.0,24.0,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,0",19384,3358.0,60.0,625.2903225806451,847.9888440126394,122.0,211.0,786.5,31.0,1.0,7921.0,3600.0,233.0,1320.1666666666667,1363.2387049474007,491.75,601.5,1972.75,6.0,1.0
05:04:2013,116399.0,0.0,3600.0,1200.0,0.0,4.0,1.0,9000.0,24.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,0",17991,4327.0,70.0,719.64,978.9522409188304,121.0,403.0,947.0,25.0,1.0,46138.0,20763.0,41.0,4194.363636363636,6377.644663552953,643.5,1200.0,4200.5,11.0,1.0
05:05:2013,447602.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,24.0,"0,0,0",3799,615.0,60.0,211.05555555555557,166.1715882214109,70.25,141.0,297.0,18.0,,49859.0,20568.0,135.0,3561.3571428571427,5587.662255185256,172.0,1113.5,4475.75,14.0,
07:04:2013,135166.0,0.0,3542.0,0.0,0.0,-1.0,0.0,0.0,24.0,"0,Class of 1953 Commons,Class of 1953 Commons,0",13784,1554.0,21.0,382.8888888888889,393.8591320167858,111.0,216.5,555.0,36.0,1.0,32316.0,10716.0,26.0,3590.6666666666665,3973.112633691625,1200.0,2364.0,3074.0,9.0,2.5
08:04:2013,148800.0,0.0,21600.0,1200.0,0.0,0.0,0.0,11700.0,24.0,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",11416,2451.0,60.0,475.6666666666667,610.8284941580266,85.25,181.5,481.5,24.0,1.0,51271.0,14650.0,48.0,4272.583333333333,4885.388315418156,855.75,2423.0,5111.0,12.0,1.0
10:04:2013,169272.0,0.0,3528.0,0.0,0.0,2.0,1.0,11700.0,24.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0",8018,5285.0,50.0,534.5333333333333,1326.9707643817212,80.0,141.0,252.5,15.0,1.0,4729.0,2400.0,2329.0,2364.5,50.204581464244875,2346.75,2364.5,2382.25,2.0,1.0
10:05:2013,97198.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,24.0,"0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0",9383,3906.0,70.0,938.3,1213.9375830558815,173.75,419.0,1116.75,10.0,,41485.0,19200.0,1200.0,10371.25,9911.574357789988,2100.0,10542.5,18813.75,4.0,
11:05:2013,25200.0,0.0,13201.0,0.0,0.0,5.0,0.0,0.0,24.0,"0,0,0,0,Sudikoff Hall,Sudikoff Hall",14771,3136.0,40.0,509.3448275862069,757.1446019591383,121.0,252.0,393.0,29.0,,20419.0,8399.0,1200.0,5104.75,2998.983758431068,3915.0,5410.0,6599.75,4.0,
12:04:2013,24001.0,0.0,13199.0,0.0,0.0,4.0,0.0,9000.0,24.0,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,0,0,Sudikoff Hall,0,Sudikoff Hall",19239,3267.0,40.0,534.4166666666666,752.2516058948818,101.0,216.5,632.75,36.0,1.0,46802.0,32400.0,1201.0,9360.4,13210.595758708232,1201.0,3600.0,8400.0,5.0,
12:05:2013,43200.0,2399.0,0.0,0.0,0.0,-1.0,0.0,0.0,24.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0",3863,1048.0,40.0,275.92857142857144,308.27471871336155,83.5,106.0,391.0,14.0,,2788.0,1200.0,388.0,929.3333333333334,468.8084185819761,794.0,1200.0,1200.0,3.0,
13:04:2013,642000.0,0.0,30000.0,0.0,0.0,5.0,0.0,0.0,24.0,"Sudikoff Hall,0",10396,1926.0,50.0,433.1666666666667,483.9542438546515,118.25,227.0,567.5,24.0,1.0,28799.0,21597.0,1200.0,9599.666666666666,10663.80824721325,3601.0,6002.0,13799.5,3.0,1.0
20:04:2013,66000.0,0.0,3600.0,0.0,0.0,5.0,0.0,0.0,24.0,"0,Bildner Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0",9920,1613.0,70.0,450.9090909090909,387.06759703613096,133.75,418.5,564.0,22.0,1.0,22843.0,9599.0,4.0,1903.5833333333333,2727.075871809595,6.75,1205.5,2400.0,12.0,1.0
21:04:2013,79200.0,0.0,6000.0,0.0,0.0,-1.0,0.0,0.0,24.0,"0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0",20073,2439.0,51.0,557.5833333333334,602.248851033714,141.0,337.5,716.25,36.0,,44975.0,18585.0,1196.0,4997.222222222223,5751.21097634615,1200.0,2400.0,7195.0,9.0,
22:04:2013,91200.0,0.0,2400.0,2400.0,0.0,0.0,1.0,11700.0,24.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Dartmouth College,0",13788,3592.0,50.0,417.8181818181818,673.8005293921124,71.0,121.0,504.0,33.0,,53382.0,23450.0,141.0,4106.307692307692,6105.460184466243,1200.0,2225.0,3600.0,13.0,
23:04:2013,4800.0,0.0,24000.0,0.0,0.0,1.0,0.0,3900.0,24.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",17303,3451.0,50.0,865.15,1080.4922014380395,78.5,378.5,1250.75,20.0,,76948.0,34604.0,1178.0,9618.5,11030.87640605742,2977.25,6195.5,10805.0,8.0,
24:04:2013,314400.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,24.0,0,5394,1512.0,30.0,385.2857142857143,446.197684469982,78.5,206.5,511.25,14.0,,56183.0,10796.0,656.0,3304.8823529411766,3420.623661745635,1085.0,1170.0,4769.0,17.0,
27:04:2013,7200.0,0.0,18000.0,0.0,0.0,5.0,0.0,0.0,24.0,"0,Sudikoff Hall,Sudikoff Hall",14090,1391.0,41.0,402.57142857142856,351.02189354497415,106.0,343.0,560.0,35.0,,47357.0,18035.0,349.0,5261.888888888889,7035.966146245383,865.0,1144.0,8458.0,9.0,
28:03:2013,72000.0,0.0,15600.0,0.0,0.0,3.0,0.0,7800.0,24.0,"Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",21695,3258.0,20.0,602.6388888888889,715.3117663060443,159.25,342.5,723.0,36.0,1.0,6281.0,2482.0,130.0,1570.25,1108.2786577992615,984.25,1834.5,2420.5,4.0,1.0
28:04:2013,98343.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,24.0,"0,0",25558,8258.0,51.0,774.4848484848485,1466.7039817481095,162.0,363.0,697.0,33.0,,70660.0,38430.0,29.0,7851.111111111111,12479.14322424064,31.0,2400.0,9631.0,9.0,
29:03:2013,91200.0,0.0,3600.0,0.0,0.0,4.0,1.0,9000.0,24.0,"0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",8164,4004.0,70.0,544.2666666666667,990.1479302657376,101.0,141.0,600.0,15.0,1.0,7199.0,2400.0,1199.0,1799.75,693.109118393345,1199.75,1800.0,2400.0,4.0,1.5
29:04:2013,91200.0,0.0,8457.0,2400.0,0.0,0.0,0.0,11700.0,24.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",9953,1926.0,50.0,414.7083333333333,461.59614186906487,121.0,236.5,514.5,24.0,,64767.0,38358.0,330.0,10794.5,14124.55504077916,2341.75,6883.5,10334.0,6.0,
30:03:2013,220800.0,0.0,1201.0,0.0,1199.0,5.0,0.0,0.0,24.0,"0,Sudikoff Hall,Rollins Chapel,0",5860,1633.0,70.0,366.25,452.6987961106148,108.5,131.0,471.5,16.0,1.0,3636.0,1236.0,1200.0,1212.0,20.784609690826528,1200.0,1200.0,1218.0,3.0,1.6
30:04:2013,112801.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,24.0,0,5382,1180.0,31.0,336.375,360.6432909861673,85.0,166.5,466.25,16.0,1.0,53500.0,9600.0,25.0,5350.0,3576.7080768028395,2426.25,5988.5,8275.25,10.0,1.0
27:03:2013,,,,,,,,,,,11645,3318.0,90.0,895.7692307692307,1130.8519026119316,235.0,357.0,756.0,13.0,1.0,10800.0,10800.0,10800.0,10800.0,,10800.0,10800.0,10800.0,1.0,
31:03:2013,,,,,,,,,,,2258,383.0,62.0,141.125,94.21031436808464,70.75,106.0,168.5,16.0,1.0,,,,,,,,,,
02:04:2013,,,,,,,,,,,17033,4872.0,30.0,630.8518518518518,1026.4408148737784,85.5,205.0,771.5,27.0,1.0,9132.0,2400.0,969.0,1304.571428571429,489.4166109232696,1109.5,1144.0,1200.0,7.0,
06:04:2013,,,,,,,,,,,11090,1402.0,30.0,426.5384615384616,382.99339219043776,113.0,303.0,680.0,26.0,1.0,95979.0,45626.0,31.0,15996.5,16877.642166487592,3397.75,14303.5,20040.25,6.0,
09:04:2013,,,,,,,,,,,13808,4730.0,50.0,627.6363636363636,1111.466622057564,80.25,156.5,584.75,22.0,1.0,54074.0,33634.0,37.0,9012.333333333334,12605.333373880543,1221.0,5402.5,8678.75,6.0,
11:04:2013,,,,,,,,,,,13648,3812.0,61.0,718.3157894736842,888.9656319210783,171.5,504.0,831.5,19.0,,64889.0,43303.0,1200.0,21629.666666666668,21079.03418881741,10793.0,20386.0,31844.5,3.0,
14:04:2013,,,,,,,,,,,6796,2169.0,60.0,377.55555555555554,487.9090105894532,111.0,228.0,440.5,18.0,1.0,40953.0,11998.0,893.0,2925.214285714286,3140.972073408814,1194.0,1232.0,3533.5,14.0,
15:04:2013,,,,,,,,,,,13100,3701.0,40.0,436.6666666666667,739.2432912635467,83.5,227.0,358.0,30.0,,22665.0,3585.0,9.0,1333.235294117647,1037.287962031986,662.0,1186.0,2384.0,17.0,
