,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,12000.0,16796.0,8400.0,38400.0,0.0,0.0,0.0,0.0,0.0,32.0,"0,0,0,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",19777,4358.0,70.0,637.9677419354839,1044.1023731375185,151.0,202.0,579.5,31.0,,33661.0,13197.0,1195.0,2589.3076923076924,3277.698338382576,1198.0,1206.0,2402.0,13.0,
01:05:2013,50453.0,0.0,34746.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Byrne II Hall",12666,1633.0,40.0,361.8857142857143,389.8541787287509,101.0,192.0,459.0,35.0,,8414.0,1307.0,1106.0,1202.0,58.10622456616273,1200.0,1200.0,1200.5,7.0,
02:04:2013,42080.0,2343.0,40800.0,9577.0,0.0,0.0,1.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,0,0,0,0",24971,5798.0,60.0,542.8478260869565,922.5477275793572,131.0,262.0,519.25,46.0,,14696.0,2727.0,1079.0,1336.0,463.9394357025494,1196.0,1205.0,1208.5,11.0,
02:05:2013,40697.0,40903.0,1199.0,4801.0,0.0,0.0,3.0,0.0,0.0,32.0,"0,Irving,0,Scott Avenue,0,0,North Main Street,Sudikoff Hall,Irving",12695,2300.0,60.0,528.9583333333334,612.2658188818109,128.75,231.5,661.0,24.0,,5853.0,1200.0,1108.0,1170.6,42.329658633161685,1145.0,1200.0,1200.0,5.0,
03:04:2013,28800.0,0.0,4794.0,45600.0,1206.0,0.0,2.0,0.0,0.0,32.0,"Wilder Hall,Hopkins Center for the Arts,Lot 6,Lot 6,Sudikoff Hall,Sudikoff Hall,North Main Street,0,0,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street",15762,1977.0,40.0,463.5882352941176,486.2583250138514,102.75,352.5,587.25,34.0,2.0,26395.0,4803.0,1195.0,2199.5833333333335,1123.9921916853768,1205.0,2388.5,2405.25,12.0,4.0
03:05:2013,11820.0,0.0,107290.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,"0,0,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center",13232,2752.0,50.0,456.2758620689655,617.6189241498192,121.0,232.0,394.0,29.0,,7200.0,3600.0,1200.0,1800.0,1200.0,1200.0,1200.0,1800.0,4.0,
04:04:2013,18008.0,0.0,28801.0,37191.0,0.0,0.0,3.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dewey Parking Lot",30982,3912.0,40.0,516.3666666666667,740.818968866732,131.0,292.5,489.75,60.0,1.0,13231.0,2405.0,1195.0,1323.1,380.1574089184052,1201.0,1205.0,1205.75,10.0,1.0
04:05:2013,90000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32.0,0,5685,575.0,30.0,258.40909090909093,150.23557979796075,161.25,231.5,360.5,22.0,,4724.0,2324.0,1200.0,1574.6666666666667,648.9417025691394,1200.0,1200.0,1762.0,3.0,
05:04:2013,33598.0,0.0,25202.0,27600.0,0.0,0.0,4.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wheeler Hall,Sudikoff Hall,North Main Street,0,North Main Street,Sudikoff Hall,Berry Hall,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",17427,3767.0,50.0,370.7872340425532,584.0515885556317,100.5,225.0,398.5,47.0,2.0,24381.0,2723.0,1195.0,1625.4,619.5186841411646,1205.0,1206.0,2397.5,15.0,4.0
05:05:2013,101981.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,"0,0",21649,2350.0,60.0,313.7536231884058,342.43536984874123,121.0,201.0,363.0,69.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
06:04:2013,50400.0,0.0,10800.0,30328.0,0.0,0.0,5.0,0.0,0.0,32.0,"Byrne II Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,0,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0",24821,2360.0,50.0,477.3269230769231,523.9816910868819,121.0,262.5,657.75,52.0,1.0,18027.0,3605.0,1204.0,2003.0,1036.9274323693053,1205.0,1206.0,2406.0,9.0,1.0
