,recreational_activities,school_time,working,home_time,shopping,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,1200.0,3600.0,156102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"0,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta",18922,5101.0,61.0,860.0909090909091,1284.1657254379634,153.5,307.0,880.25,22.0,,115269.0,61194.0,1200.0,38423.0,32503.311169786994,27037.5,52875.0,57034.5,3.0,5.0
01:05:2013,2404.0,13081.0,16807.0,45637.0,1297.0,3621.0,0.0,2.0,0.0,0.0,58.0,"Sudikoff Hall,Sudikoff Hall,Alpha Theta,Hanover Park,Phi Tau,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Dartmouth College,Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Hopkins Center for the Arts,Phi Tau,Phi Tau",25536,2944.0,40.0,543.3191489361702,694.9070662414533,111.0,272.0,524.0,47.0,1.0,16902.0,2403.0,1167.0,1300.1538461538462,332.57526620647496,1198.0,1204.0,1207.0,13.0,2.0
02:04:2013,0.0,4805.0,7254.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,"Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall",18960,3833.0,40.0,632.0,904.9002231147384,93.25,186.5,809.0,30.0,1.0,7194.0,3600.0,1203.0,2398.0,1198.5153315665175,1797.0,2391.0,2995.5,3.0,1.0
02:05:2013,0.0,24056.0,49208.0,8278.0,0.0,4858.0,0.0,3.0,0.0,0.0,58.0,"Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Alpha Theta,0,Native American House,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse",19538,6896.0,50.0,610.5625,1283.862994838674,110.75,211.5,440.75,32.0,0.0,16664.0,2405.0,1109.0,1281.8461538461538,339.8396303537514,1197.0,1203.0,1204.0,13.0,3.0
03:04:2013,3600.0,8409.0,69596.0,4799.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,"Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Carson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta",18515,3747.0,60.0,617.1666666666666,847.9284323790433,128.5,227.0,688.25,30.0,1.0,9408.0,2483.0,1091.0,1344.0,504.59455671525694,1115.0,1197.0,1203.5,7.0,1.0
03:05:2013,3483.0,21558.0,43034.0,13200.0,0.0,2395.0,2396.0,4.0,0.0,0.0,58.0,"0,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0,Native American House,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Dartmouth College",14758,4750.0,201.0,1475.8,1501.5378635104596,307.25,1094.0,1862.0,10.0,1.0,25071.0,12864.0,1195.0,2785.6666666666665,3816.098531222694,1205.0,1255.0,2415.0,9.0,2.0
04:04:2013,4803.0,13175.0,7259.0,61164.0,0.0,0.0,0.0,3.0,0.0,0.0,58.0,"Collis Student Center,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Theta,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",19086,10164.0,61.0,829.8260869565217,2076.162602061223,126.0,242.0,544.5,23.0,1.0,19479.0,3660.0,1201.0,1770.8181818181818,984.2316615697564,1204.5,1208.0,1861.0,11.0,1.0
04:05:2013,3558.0,42207.0,27820.0,4199.0,0.0,604.0,7239.0,5.0,0.0,0.0,58.0,"Phi Tau,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Peaceful Serenity,Alpha Theta,Alpha Theta,Sanborn House,Sanborn House,Alpha Theta,Native American House,Left Bank Books,0,0,Sudikoff Hall,Sudikoff Hall,Parker House,0,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Phi Tau,Alpha Theta,Dartmouth College",18471,3611.0,40.0,559.7272727272727,773.1223331695022,91.0,303.0,605.0,33.0,,9885.0,1817.0,493.0,706.0714285714286,353.00652952900157,593.25,600.5,604.5,14.0,
05:04:2013,10848.0,14401.0,57496.0,3597.0,0.0,0.0,8460.0,4.0,0.0,0.0,58.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Phi Tau,Alpha Theta,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Collis Student Center,Alumni Gymnasium,Alumni Gymnasium",12752,1321.0,60.0,344.64864864864865,340.6997061780209,101.0,191.0,473.0,37.0,1.0,153200.0,140930.0,1152.0,15320.0,44136.842549305926,1203.5,1226.5,1257.5,10.0,1.0
05:05:2013,2995.0,22057.0,50505.0,4213.0,0.0,7784.0,1849.0,-1.0,0.0,0.0,58.0,"0,Phi Tau,0,Dartmouth College,Phi Tau,Dartmouth College,Native American House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1953 Commons,0,Alpha Phi,0,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Collis Student Center,Dartmouth College,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Parkhurst Hall,Class of 1953 Commons,Alpha Theta,Peaceful Serenity,Dartmouth College,0,Battle Field,Battle Field,Battle Field,Alpha Theta",19097,3753.0,20.0,489.6666666666667,636.8842881491332,191.0,292.0,630.0,39.0,,11420.0,1882.0,500.0,761.3333333333334,438.5537378159956,595.0,605.0,610.5,15.0,
